match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,confirmed,injury,length,from
10407484,FT,0.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10407484,,0.0,2.0,,90,,,1,,,goal,168426016.0,False,regular,984989.0,Kristian Arnstad,,,,,,,
10407484,,,,,81,,,10,,,card,120671605.0,True,yellow,190413.0,Siebe Schrijvers,Siebe Schrijvers,Foul,False,,,,
10407484,,,,,80,,,11,,,varDecision,16096.0,False,goalAwarded,839493.0,Amir Murillo,,,,False,,,
10407484,,,,,77,,,14,,,substitution,121639345.0,True,regular,,,,,,,False,,
10407484,,,,,77,,,14,,,substitution,121639344.0,True,regular,,,,,,,False,,
10407484,,,,,77,,,14,,,substitution,121639341.0,False,injury,,,,,,,True,,
10407484,,,,,70,,,21,,,substitution,121639310.0,True,regular,,,,,,,False,,
10407484,,,,,69,,,22,,,substitution,121639311.0,True,regular,,,,,,,False,,
10407484,,,,,69,,,22,,,substitution,121639312.0,False,regular,,,,,,,False,,
10407484,,,,,62,,,29,,,card,120671551.0,True,yellow,876600.0,Mousa Tamari,Musa Al-Taamari,Argument,False,,,,
10407484,,,,,62,,,29,,,card,120671552.0,False,yellow,788895.0,Amadou Diawara,Amadou Diawara,Argument,False,,,,
10407484,,,,,59,,,32,,,card,120671536.0,False,yellow,901149.0,Majeed Ashimeru,Majeed Ashimeru,Argument,False,,,,
10407484,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10407484,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,,4.0,
10407484,,0.0,1.0,,33,,,13,,,goal,168423994.0,False,penalty,238708.0,Islam Slimani,,,,,,,penalty
10407484,,,,,32,,,14,,,card,120671299.0,True,yellow,846447.0,Hamza Mendyl,Hamza Mendyl,Foul,False,,,,
10407484,,,,,31,,,15,,,varDecision,16085.0,False,penaltyNotAwarded,809280.0,Anders Dreyer,,,,False,,,
10407484,,,,,9,,,37,,,substitution,121638644.0,False,injury,,,,,,,True,,
