match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_wonTackle,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_ownGoals,stat_totalOffside
10583817,home,Al Wehda,Munir El Kajoui,munir-mohamedi,M. El Kajoui,G,1,190.0,3804,M,Munir,141967,EUR,610761600,G,1,1,False,19.0,10.0,17.0,8.0,4.0,5.0,6.0,14.0,1.0,8.0,1.0,3.0,4.0,90.0,29.0,7.7,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583817,home,Al Wehda,Hamad Al-Jayzani,hamad-al-jayzani,H. Al-Jayzani,D,28,176.0,11,M,,802975,EUR,731203200,D,28,28,False,16.0,11.0,1.0,,3.0,4.0,9.0,14.0,3.0,4.0,,,,45.0,30.0,6.7,9.0,0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10583817,home,Al Wehda,Alberto Botía,alberto-botia,A. Botía,D,4,189.0,71,M,,31877,EUR,601776000,D,14,14,False,17.0,14.0,4.0,2.0,9.0,11.0,5.0,6.0,3.0,1.0,,,,90.0,29.0,7.4,3.0,1,Alberto,Botía,,,,3.0,2.0,,,5.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,
10583817,home,Al Wehda,Óscar Duarte,oscar-duarte,Ó. Duarte,D,6,184.0,231,M,,156401,EUR,612835200,D,6,6,False,25.0,20.0,4.0,1.0,14.0,16.0,6.0,9.0,4.0,5.0,1.0,,,90.0,41.0,7.4,5.0,0,,,,,4.0,,6.0,,,4.0,,3.0,,2.0,,,2.0,,1.0,,,,,,,,,
10583817,home,Al Wehda,Abdullah Bukhari,abdullah-bukhari,A. Bukhari,D,3,177.0,10,M,,832637,EUR,774489600,D,3,3,False,16.0,11.0,2.0,1.0,4.0,8.0,7.0,10.0,2.0,1.0,1.0,,,90.0,43.0,7.1,9.0,0,,,2.0,,,,2.0,,,4.0,3.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,
10583817,home,Al Wehda,Waleed Bakshween,waleed-bakshween,W. Bakshween,M,,176.0,23,M,,911303,EUR,626832000,M,4,4,False,40.0,32.0,7.0,5.0,14.0,18.0,18.0,22.0,4.0,8.0,1.0,,,90.0,50.0,7.0,9.0,0,,,,,3.0,2.0,4.0,,,3.0,1.0,1.0,1.0,,1.0,,,,,True,,,,,,,,
10583817,home,Al Wehda,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,,143786,EUR,586396800,M,76,76,False,38.0,31.0,4.0,2.0,11.0,12.0,26.0,38.0,5.0,9.0,1.0,,,90.0,61.0,8.6,13.0,2,,,12.0,6.0,,,1.0,,,,2.0,4.0,,,1.0,1.0,,6.0,4.0,,1.0,1.0,,,,,,
10583817,home,Al Wehda,Abdulaziz Noor,abdulaziz-noor,A. Noor,M,24,173.0,80,M,,1085115,EUR,916617600,M,24,24,False,17.0,9.0,3.0,1.0,3.0,7.0,6.0,11.0,3.0,5.0,2.0,,,82.0,33.0,6.2,15.0,1,Abdulaziz Noor,,1.0,,,1.0,6.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,4.0,,,,,
10583817,home,Al Wehda,Anselmo,anselmo,Anselmo,M,87,182.0,171,M,,256671,EUR,603936000,M,87,87,False,23.0,17.0,4.0,2.0,5.0,6.0,12.0,18.0,8.0,2.0,1.0,,,90.0,45.0,7.0,13.0,4,,,1.0,,,3.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,,,2.0,,,,2.0,1.0,1.0,1.0,,
10583817,home,Al Wehda,Karim Yoda,karim-yoda,K. Yoda,M,10,182.0,57,M,,23448,EUR,593740800,M,74,74,False,12.0,10.0,2.0,1.0,3.0,3.0,7.0,12.0,3.0,5.0,1.0,,,64.0,28.0,6.7,13.0,2,,,3.0,,,1.0,5.0,2.0,1.0,,,,3.0,1.0,,,,1.0,,,,,3.0,,2.0,,,
10583817,home,Al Wehda,Jean-David Beauguel,jean-david-beauguel,J. Beauguel,F,9,192.0,94,M,,174895,EUR,701136000,F,9,9,False,11.0,9.0,,,4.0,4.0,5.0,7.0,4.0,2.0,,,,89.0,20.0,6.7,6.0,3,,,,,5.0,2.0,11.0,2.0,1.0,,,1.0,3.0,4.0,1.0,2.0,,,,,,1.0,,,,1.0,,
