match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_onTargetScoringAttempt,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_hitWoodwork,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_accurateCross,stat_dispossessed,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized
13981570,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197,2162,M,891656,EUR,935798400,G,40,40,False,30.0,15.0,24.0,9.0,0.0,8.0,13.0,7.0,17.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,90.0,34.0,6.7,15.0,0.0029664,31.757479311291,5.0,-12.075,2.31,0,0.09,-0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981570,home,Udinese,Thomas Kristensen,Thomas Kristensen,,thomas-kristensen,T. Kristensen,D,31,197,904,M,1063373,EUR,1011225600,D,31,31,False,33.0,24.0,5.0,2.0,0.0,11.0,14.0,13.0,19.0,,2.0,8.0,,,,,,90.0,49.0,7.0,10.0,0.00573379,44.984171701447,7.0,-5.565,2.52,0,0.02,0.01,0.4,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981570,home,Udinese,Christian Kabasele,,,christian-kabasele,C. Kabasele,D,27,186,477,M,58351,EUR,667353600,D,27,27,False,26.0,21.0,5.0,1.0,0.0,16.0,19.0,5.0,7.0,8.0,12.0,8.0,2.0,,,,,90.0,41.0,7.7,5.0,0.00144471,40.75560967649,7.0,5.355,6.72,1,0.01,0.01,0.32,,,,,1.0,3.0,1.0,1.0,1.0,0.0291,0.0967,-0.31,,,,,,,,,,,,,,,,,,,,,,,
13981570,home,Udinese,Oumar Solet,,,oumar-solet,O. Solet,D,28,192,1946,M,892979,EUR,949881600,D,28,28,False,46.0,38.0,6.0,4.0,0.0,23.0,25.0,15.0,21.0,,1.0,1.0,4.0,,,,,90.0,55.0,6.7,9.0,0.0108264,109.50449476261,14.0,22.575,14.7,1,-0.03,0.1,-0.16,1.0,,1.0,,2.0,,,,,0.0268,,-0.07,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13981570,home,Udinese,Alessandro Zanoli,,,zanoli-alessandro,A. Zanoli,M,59,186,923,M,922928,EUR,970531200,M,59,59,False,28.0,24.0,3.0,,0.0,6.0,9.0,18.0,19.0,1.0,4.0,,7.0,,,,,89.0,46.0,6.9,12.0,0.035369,230.26234731965,15.0,113.82,28.455,0,-0.02,0.42,0.17,1.0,,4.0,,2.0,2.0,,,,,,,,3.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
13981570,home,Udinese,Jakub Piotrowski,,,jakub-piotrowski,J. Piotrowski,M,24,188,2357,M,825271,EUR,875923200,M,24,24,False,21.0,19.0,1.0,1.0,0.0,9.0,9.0,10.0,12.0,1.0,8.0,2.0,5.0,,,,,90.0,40.0,7.2,4.0,0.0212447,183.760453171,15.0,72.555,29.715,3,0.13,0.23,0.31,1.0,2.0,5.0,,1.0,4.0,1.0,2.0,2.0,0.2054,0.2881,-0.43,,1.0,1.0,2.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
13981570,home,Udinese,Jesper Karlström,,,jesper-karlstrom,J. Karlström,M,8,179,729,M,227894,EUR,803692800,M,8,8,False,30.0,25.0,3.0,,0.0,11.0,14.0,14.0,16.0,1.0,5.0,1.0,,,,,,90.0,40.0,6.8,5.0,0.0141872,100.47284818856,11.0,19.215,17.955,0,0.05,0.07,-0.04,,1.0,5.0,,2.0,2.0,,1.0,3.0,,,,2.0,,,,,,2.0,,,,True,,,,,,,,,,,,
13981570,home,Udinese,Jürgen Ekkelenkamp,,,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,32,32,False,26.0,20.0,1.0,,0.0,3.0,3.0,17.0,23.0,,2.0,3.0,4.0,,,,,83.0,43.0,8.2,9.0,0.137234,80.964218121369,8.0,60.69,32.445,5,0.23,0.1,0.4,1.0,,1.0,,1.0,2.0,2.0,1.0,,0.4511,0.1997,0.55,,1.0,,1.0,,1.0,,5.0,,,,2.0,2.0,1.0,,,,,,,,,
13981570,home,Udinese,Nicolò Bertola,,,nicolo-bertola,N. Bertola,D,13,185,508,M,1136399,EUR,1048377600,M,13,13,False,27.0,18.0,5.0,,0.0,9.0,11.0,9.0,16.0,3.0,5.0,6.0,4.0,,,,,84.0,47.0,7.0,11.0,0.0108355,66.958715872061,5.0,21.0,21.63,2,-0.07,0.1,0.39,1.0,,3.0,,,1.0,1.0,,,0.0347,0.0172,0.0,1.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,
13981570,home,Udinese,Nicolò Zaniolo,,,nicolo-zaniolo,N. Zaniolo,F,10,189,9127,M,864898,EUR,930873600,F,10,10,False,25.0,20.0,,,0.0,3.0,3.0,17.0,22.0,,3.0,,1.0,,,,,89.0,48.0,6.6,14.0,0.153443,211.05830121533,16.0,87.255,34.86,4,0.4,0.31,-0.01,2.0,2.0,10.0,,,2.0,,1.0,1.0,0.4325,,-0.43,,1.0,,1.0,,3.0,3.0,3.0,1.0,,,,3.0,,nicolozaniolo,1.0,4.0,,,,,,
13981570,home,Udinese,Keinan Davis,,,keinan-davis,K. Davis,F,9,189,1417,M,830858,EUR,887328000,F,9,9,False,22.0,17.0,2.0,2.0,1.0,3.0,3.0,14.0,19.0,1.0,3.0,,3.0,,,,,84.0,34.0,6.5,11.0,0.0448808,131.69690157047,8.0,88.83,39.69,1,-0.06,0.41,0.13,,5.0,11.0,,,,,,1.0,0.0447,,-0.24,,1.0,1.0,,,4.0,4.0,2.0,,,,,1.0,,,,2.0,1.0,,,,,
13981570,home,Udinese,Oier Zarraga,,,oier-zarraga,O. Zarraga,M,6,175,217,M,1009661,EUR,915408000,M,6,6,True,1.0,,,,0.0,,,,1.0,,,1.0,1.0,,,,,14.0,4.0,6.5,2.0,,,,,,1,0.0,,0.13,,,1.0,,,,,,,0.1109,,0.01,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,
13981570,home,Udinese,Kingsley Ehizibue,,,kingsley-ehizibue,K. Ehizibue,M,19,189,682,M,609206,EUR,801360000,D,19,19,True,3.0,2.0,,,0.0,2.0,2.0,,1.0,,,,1.0,,,,,13.0,4.0,6.6,1.0,1.92e-05,23.976257769402,3.0,14.7,8.61,0,-0.12,0.15,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
