match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_unsuccessfulTouch,stat_fouls,stat_onTargetScoringAttempt,stat_wasFouled,stat_penaltyWon,stat_expectedGoalsOnTarget,stat_totalCross,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,player_sofascoreId,stat_accurateCross,stat_wonContest,stat_penaltyMiss,stat_penaltyConceded,stat_penaltySave,stat_penaltyFaced,stat_goals,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot,stat_totalOffside
12530771,home,Göztepe,Mateusz Lis,mateusz-lis,M. Lis,G,1,192,577,M,798375,EUR,857001600,G,97,97,False,True,30.0,11.0,27.0,9.0,0.0,3.0,6.0,8.0,24.0,1.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,90.0,38.0,6.9,20.0,0.00836983,0,-0.2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530771,home,Göztepe,Koray Günter,koray-gunter,K. Günter,D,22,185,219,M,138165,EUR,776995200,D,22,22,False,,16.0,11.0,2.0,2.0,0.0,10.0,12.0,1.0,4.0,3.0,3.0,1.0,2.0,,,,,24.0,19.0,7.1,5.0,0.00028804,1,,1.0,1.0,0.0149,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530771,home,Göztepe,Héliton,heliton,Héliton,D,5,196,324,M,922725,EUR,816220800,D,5,5,False,,33.0,24.0,11.0,6.0,0.0,12.0,15.0,12.0,18.0,8.0,8.0,7.0,5.0,,,,,90.0,48.0,7.6,11.0,0.26132,3,,3.0,2.0,0.3079,2.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
12530771,home,Göztepe,Malcom Bokele,malcom-bokele,M. Bokele,D,26,193,545,M,1122632,EUR,950313600,D,26,26,False,,32.0,22.0,2.0,1.0,0.0,11.0,14.0,11.0,18.0,7.0,7.0,4.0,1.0,,,,,90.0,42.0,7.4,10.0,0.00789922,2,,,1.0,0.1574,,,1.0,,,1.0,,,1.0,2.0,1.0,1.0,0.6355,,,,,,,,,,,,,,,,,,,,
12530771,home,Göztepe,Lasse Nielsen,lasse-nielsen,L. Nielsen,D,4,185,71,M,21547,EUR,568598400,M,24,24,False,,37.0,28.0,12.0,6.0,0.0,17.0,23.0,11.0,15.0,6.0,9.0,6.0,2.0,,,,,90.0,55.0,7.4,10.0,0.0166087,0,,,4.0,,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
12530771,home,Göztepe,Victor Hugo,victor-hugo,V. Hugo,M,30,184,3548,M,1170954,EUR,1084233600,M,6,6,False,,21.0,15.0,3.0,2.0,0.0,5.0,7.0,10.0,14.0,4.0,6.0,2.0,3.0,,,,,71.0,37.0,7.0,11.0,0.00813651,3,,1.0,,0.161,1.0,1.0,6.0,,1.0,,,1.0,1.0,1.0,2.0,,0.2362,,,,,,2.0,2.0,1.0,,,,,,,,,,,,
12530771,home,Göztepe,Novatus Miroshi,novatus-miroshi,N. Miroshi,M,20,185,3867,M,1103597,EUR,1030924800,M,20,20,False,,45.0,34.0,4.0,2.0,0.0,16.0,20.0,18.0,26.0,1.0,6.0,1.0,9.0,,,,,90.0,60.0,7.7,12.0,0.267362,1,,,2.0,0.03,3.0,3.0,6.0,1.0,1.0,,,,2.0,1.0,2.0,,0.0544,1.0,3.0,3.0,,,,,,novatus_40,,,,,,,,,,,
12530771,home,Göztepe,Djalma,djalma-silva,Djalma,M,,180,97,M,973933,EUR,779932800,M,66,66,False,,27.0,19.0,4.0,1.0,0.0,9.0,13.0,12.0,20.0,1.0,4.0,1.0,3.0,,,,,87.0,52.0,6.3,18.0,0.218662,1,,1.0,1.0,0.1052,2.0,2.0,7.0,2.0,,,,1.0,2.0,,,,,6.0,1.0,,,,,4.0,,,2.0,2.0,,,,,,,,,
12530771,home,Göztepe,David Tijanič,david-tijanic,D. Tijanič,F,43,174,389,M,827369,EUR,869011200,F,43,43,False,,22.0,18.0,,,0.0,7.0,9.0,15.0,19.0,1.0,2.0,,3.0,,,,,71.0,38.0,7.2,10.0,0.294891,2,,,,0.1475,2.0,2.0,5.0,,,1.0,,2.0,1.0,1.0,,,0.135,6.0,,,,,1.0,2.0,1.0,,4.0,1.0,,,,,,,,,
12530771,home,Göztepe,Rômulo,romulo,Rômulo,F,40,193,3722,M,1133743,EUR,1013126400,F,79,79,False,,11.0,9.0,,,0.0,1.0,1.0,8.0,10.0,,,,1.0,,,,,45.0,16.0,7.0,3.0,0.119111,2,,1.0,,0.0784,1.0,2.0,3.0,,,,,1.0,1.0,1.0,,,0.1561,,,,Rômulo,,,,,,,,,,,,,,,,
