match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_firstName,player_lastName,stat_dispossessed,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_clearanceOffLine,stat_totalOffside,stat_goodHighClaim,stat_blockedScoringAttempt,player_sofascoreId,stat_hitWoodwork
14131877,home,CD Nacional,Lucas França,lucas-franca,L. França,G,37,194,104,M,832672,EUR,822009600,G,37,37,False,26.0,11.0,24.0,9.0,0.0,3.0,4.0,8.0,22.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,90.0,31.0,6.2,15.0,0.00126826,0.2501,0,-2.0672,0.05,0.0,-0.36,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131877,home,CD Nacional,João Aurélio,joao-aurelio,J. Aurélio,D,2,185,24,M,44684,EUR,587779200,D,2,2,False,20.0,14.0,4.0,,0.0,5.0,6.0,9.0,14.0,4.0,4.0,,,,,,90.0,46.0,6.3,14.0,0.00623594,,0,,0.03,0.13,-0.5,,True,1.0,2.0,5.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14131877,home,CD Nacional,Léo Santos,leo-santos,L. Santos,D,34,186,158,M,822509,EUR,913161600,D,34,34,False,12.0,9.0,4.0,2.0,0.0,8.0,9.0,1.0,3.0,7.0,4.0,,,,,,90.0,28.0,7.5,4.0,0.00024886,,1,,0.04,0.12,-0.08,,,2.0,4.0,3.0,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0232,0.0761,0.53,,,,,,,,,,,,,,,
14131877,home,CD Nacional,Ze Vitor,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,11.0,7.0,4.0,2.0,0.0,4.0,6.0,3.0,5.0,9.0,3.0,,,,,,90.0,30.0,5.9,5.0,0.00271822,,0,,0.03,0.06,-0.44,,,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,
14131877,home,CD Nacional,José Gomes,jose-gomes,J. Gomes,D,5,185,33,M,344181,EUR,837820800,D,5,5,False,9.0,5.0,1.0,,0.0,1.0,2.0,4.0,7.0,6.0,1.0,,,,,,90.0,34.0,6.1,12.0,0.0033504,,0,,-0.01,0.04,-0.46,,,,4.0,4.0,,2.0,,1.0,,3.0,2.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
14131877,home,CD Nacional,Liziero,liziero,Liziero,M,28,175,757,M,822510,EUR,886809600,M,28,28,False,15.0,9.0,3.0,,1.0,6.0,8.0,3.0,7.0,3.0,4.0,,,,,,75.0,37.0,6.8,14.0,0.131946,,0,,0.21,0.02,0.34,,,2.0,7.0,2.0,1.0,1.0,,2.0,3.0,2.0,,4.0,,,,,2.0,,,,,,1.0,3.0,2.0,1.0,2.0,,,,,,,,
14131877,home,CD Nacional,Matheus Dias,dias-matheus,Matheus Dias,M,6,187,228,M,1020610,EUR,1020902400,M,6,6,False,22.0,17.0,3.0,1.0,0.0,6.0,8.0,11.0,14.0,4.0,4.0,,,,,,89.0,35.0,7.3,7.0,0.404222,,1,,0.27,0.03,0.18,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,,,1.0,0.255,,-0.22,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
14131877,home,CD Nacional,Chiheb Labidi,chiheb-labidi,C. Labidi,M,15,190,432,M,1011997,EUR,991353600,M,15,15,False,12.0,8.0,4.0,2.0,0.0,4.0,5.0,4.0,7.0,2.0,,,,,,,45.0,18.0,6.3,5.0,0.00167312,,0,,-0.03,-0.04,0.21,,,4.0,6.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
14131877,home,CD Nacional,Pablo,messias-cardozo-pablo-ruan,Pablo,F,99,181,97,M,1579664,EUR,1044057600,F,99,99,False,7.0,5.0,1.0,,0.0,2.0,2.0,3.0,5.0,1.0,3.0,,,,,,37.0,13.0,5.0,6.0,0.00410085,,0,,0.07,0.04,-0.11,,,3.0,5.0,1.0,,,,,,1.0,,2.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,
14131877,home,CD Nacional,Jesús Ramírez,jesus-ramirez,J. Ramírez,F,9,187,1078,M,987597,EUR,894240000,F,9,9,False,10.0,7.0,1.0,1.0,0.0,3.0,4.0,4.0,6.0,2.0,,,,,,,70.0,17.0,7.0,4.0,0.0032423,,0,,0.06,0.06,0.24,,,1.0,2.0,5.0,,,,1.0,,1.0,1.0,1.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,
