match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,player_firstName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,player_lastName,stat_aerialWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_dispossessed,stat_penaltyWon,stat_errorLeadToAGoal,stat_crossNotClaimed,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed
12117209,home,Palmeiras,Weverton,weverton,Weverton,G,1,189.0,7138,M,Weverton,243529,EUR,566352000,G,21,21,False,True,17.0,15.0,7.0,5.0,0.0,13.0,13.0,2.0,4.0,10.0,3.0,3.0,3.0,90.0,31.0,7.8,2.0,0.0004585,0,1.2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117209,home,Palmeiras,Mayke,mayke,Mayke,D,12,178.0,2322,M,,273329,EUR,721353600,D,12,12,False,,12.0,11.0,1.0,1.0,0.0,7.0,8.0,4.0,5.0,2.0,,,,21.0,18.0,6.6,3.0,0.00108969,0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117209,home,Palmeiras,Kaiky Naves,kaiky-naves,K. Naves,D,4,186.0,1828,M,,1167068,EUR,1020816000,D,34,34,False,,40.0,38.0,9.0,7.0,0.0,25.0,26.0,13.0,14.0,2.0,,,,90.0,44.0,7.0,2.0,0.00357704,0,,,Kaiky Naves,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12117209,home,Palmeiras,Murilo,murilo,Murilo,D,26,188.0,4420,M,,874729,EUR,859420800,D,26,26,False,,51.0,45.0,9.0,5.0,0.0,34.0,37.0,11.0,14.0,6.0,,,,90.0,59.0,7.7,8.0,0.00899561,1,,,,1.0,3.0,3.0,,,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4648,0.9501,,,,,,,,,,,,,,,
12117209,home,Palmeiras,Caio Paulista,caio-paulista,C. Paulista,D,38,184.0,1649,M,,931591,EUR,894844800,D,16,16,False,,61.0,57.0,3.0,2.0,0.0,33.0,34.0,24.0,28.0,5.0,,,,90.0,81.0,6.9,10.0,0.0299372,2,,1.0,,1.0,8.0,2.0,1.0,2.0,,,5.0,,1.0,1.0,,1.0,,,4.0,0.041,0.067,1.0,1.0,1.0,1.0,,,,,,,,,,,
12117209,home,Palmeiras,Aníbal Moreno,anibal-moreno,A. Moreno,M,5,177.0,5203,M,,977677,EUR,926553600,M,5,5,False,,48.0,41.0,9.0,6.0,0.0,24.0,28.0,17.0,20.0,5.0,,,,83.0,54.0,6.9,8.0,0.0150016,1,,,,,3.0,3.0,3.0,,2.0,2.0,,,,1.0,1.0,,,,1.0,0.0266,,,,,,1.0,,,,,,,,,,
12117209,home,Palmeiras,Richard Ríos,richard-rios,R. Ríos,M,20,185.0,34402,M,richardrios,1015292,EUR,959904000,M,27,27,False,,44.0,37.0,5.0,2.0,1.0,20.0,21.0,17.0,26.0,8.0,,,,90.0,61.0,7.0,15.0,0.0707845,1,,3.0,,1.0,9.0,6.0,3.0,,4.0,2.0,4.0,,,1.0,,1.0,,,4.0,0.0085,0.011,,1.0,2.0,1.0,,,,,,,,,,,
12117209,home,Palmeiras,Estêvão,estevao,Estêvão,M,41,176.0,196577,M,Estêvão,1597265,EUR,1177372800,M,41,41,False,,22.0,19.0,1.0,1.0,2.0,5.0,5.0,16.0,20.0,1.0,,,,61.0,37.0,10.0,7.0,0.17657,3,,3.0,Estêvão,,1.0,3.0,,,1.0,1.0,,,,3.0,2.0,3.0,2.0,,2.0,0.8676,1.3763,,,,2.0,,2.0,2.0,1.0,,,,,,,
12117209,home,Palmeiras,Mauricio,mauricio,Mauricio,M,18,174.0,5655,M,,986233,EUR,993168000,M,18,18,False,,36.0,30.0,2.0,1.0,0.0,17.0,18.0,14.0,19.0,2.0,,,,83.0,46.0,8.0,9.0,0.0185161,1,,1.0,,,2.0,4.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,2.0,0.8729,0.9941,,1.0,3.0,1.0,,1.0,,,1.0,1.0,,,,,
12117209,home,Palmeiras,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175.0,6076,M,F_Andersoon,152276,EUR,734832000,M,9,9,False,,52.0,37.0,3.0,,0.0,12.0,15.0,26.0,43.0,2.0,,,,90.0,69.0,8.0,22.0,0.122734,1,,6.0,,,2.0,6.0,,,2.0,2.0,1.0,,1.0,4.0,3.0,1.0,1.0,1.0,1.0,0.1582,0.8334,,,,2.0,,1.0,,,,,,,,,
