match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,player_firstName,player_lastName,stat_shotOffTarget,stat_ownGoals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_penaltyWon,captain,stat_goals,stat_totalOffside,player_sofascoreId,stat_penaltyFaced,stat_lastManTackle,stat_penaltyConceded,stat_goalAssist
11391436,home,Montpellier,Benjamin Lecomte,benjamin-lecomte,B. Lecomte,G,23,186,336,M,123207,EUR,672624000,G,40,40,False,30.0,23.0,11.0,4.0,21.0,22.0,2.0,8.0,1.0,7.0,2.0,2.0,3.0,90.0,43.0,6.7,7.0,0.00118722,0,-1.42513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391436,home,Montpellier,Falaye Sacko,falaye-sacko,F. Sacko,D,77,179,2233,M,796372,EUR,799286400,D,77,77,False,51.0,39.0,4.0,2.0,18.0,25.0,22.0,29.0,,4.0,,,,90.0,83.0,6.4,20.0,0.322312,0,,3.0,1.0,5.0,2.0,11.0,7.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11391436,home,Montpellier,Boubakar Kouyaté,boubakar-kouyate,B. Kouyaté,D,25,192,907,M,848537,EUR,861062400,D,4,4,False,39.0,28.0,5.0,3.0,15.0,17.0,13.0,22.0,5.0,3.0,,,,90.0,53.0,6.2,14.0,0.0112928,2,,,,5.0,3.0,10.0,4.0,4.0,1.0,,,,,1.0,,2.0,,1.0,1.0,2.0,0.0449,,,,,,,,,,,,,,,,,
11391436,home,Montpellier,Maxime Estève,maxime-esteve,M. Estève,D,5,192,1470,M,1117223,EUR,1022371200,D,14,14,False,38.0,30.0,9.0,2.0,19.0,19.0,11.0,19.0,5.0,4.0,,,,90.0,55.0,6.6,8.0,0.0924825,1,,,,4.0,3.0,5.0,6.0,,,,,1.0,3.0,2.0,,,1.0,1.0,,,0.037,Maxime Estève,,1.0,1.0,2.0,0.0615665,,,,,,,,,,,
11391436,home,Montpellier,Theo Sainte Luce,theo-sainte-luce,T. S. Luce,D,17,181,53,M,901152,EUR,908841600,D,17,17,False,32.0,27.0,2.0,1.0,19.0,22.0,9.0,13.0,2.0,8.0,,,,90.0,63.0,6.4,18.0,0.0895175,0,,3.0,1.0,2.0,1.0,5.0,5.0,1.0,,2.0,1.0,1.0,,2.0,1.0,3.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,
11391436,home,Montpellier,Jordan Ferri,jordan-ferri,J. Ferri,M,4,172,146,M,123229,EUR,700358400,M,12,12,False,58.0,47.0,12.0,8.0,21.0,25.0,26.0,36.0,,13.0,,,,90.0,69.0,6.9,18.0,0.274909,0,,3.0,,3.0,1.0,10.0,4.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
11391436,home,Montpellier,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,36.0,25.0,5.0,1.0,12.0,17.0,13.0,20.0,1.0,4.0,,,,82.0,45.0,6.6,13.0,0.0216058,0,,1.0,,1.0,2.0,2.0,5.0,1.0,,,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
11391436,home,Montpellier,Mousa Tamari,mousa-al-taamari,M. Tamari,F,11,175,5388,M,876600,EUR,865900800,M,9,9,False,30.0,23.0,1.0,1.0,6.0,9.0,17.0,27.0,,5.0,,,,90.0,67.0,6.8,26.0,0.0234578,2,,6.0,,2.0,,10.0,7.0,,4.0,5.0,1.0,,1.0,1.0,1.0,4.0,,,,,0.0828,,,1.0,,5.0,0.186949,1.0,1.0,1.0,,,,,,,,
11391436,home,Montpellier,Teji Savanier,teji-savanier,T. Savanier,M,11,171,790,M,156682,EUR,693360000,M,11,11,False,58.0,37.0,9.0,5.0,15.0,18.0,26.0,55.0,1.0,5.0,,,,90.0,98.0,8.0,39.0,0.625752,4,,15.0,4.0,2.0,2.0,9.0,9.0,3.0,,4.0,2.0,,,1.0,1.0,5.0,2.0,5.0,2.0,2.0,0.895,,,1.0,,4.0,0.990715,,1.0,,True,1.0,,,,,,
11391436,home,Montpellier,Khalil Fayad,khalil-fayad,K. Fayad,M,10,172,588,M,1387157,EUR,1086739200,M,22,22,False,15.0,12.0,1.0,,6.0,7.0,6.0,9.0,,5.0,,,,66.0,30.0,6.5,10.0,0.0175822,0,,1.0,,2.0,,5.0,5.0,,1.0,1.0,,,,3.0,1.0,4.0,1.0,,,,,Khalil Fayad,,,,2.0,,,,,,,,,,,,
