match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_dispossessed,stat_challengeLost,player_sofascoreId,stat_totalOffside,stat_penaltyConceded,stat_goals,stat_penaltyWon
12499260,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195.0,839,M,256667,EUR,797644800,G,30,30,False,True,22.0,16.0,12.0,6.0,0.0,11.0,12.0,5.0,10.0,7.0,2.0,1.0,2.0,1.0,1.0,90.0,28.0,6.3,6.0,0.00149793,0,-1.6203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499260,home,Lecce,Valentin Gendrey,,,valentin-gendrey,V. Gendrey,D,15,179.0,294,M,944899,EUR,961545600,D,17,17,False,,17.0,13.0,,,0.0,6.0,7.0,8.0,13.0,2.0,,,,,,90.0,38.0,6.5,11.0,0.0505686,1,,3.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.1574,2.0,,,,,,,,,,,,,,,
12499260,home,Lecce,Kialonda Gaspar,Kialonda Gaspar,,kialonda-gaspar,K. Gaspar,D,4,193.0,1228,M,1090374,EUR,875318400,D,4,4,False,,53.0,42.0,6.0,1.0,0.0,29.0,34.0,13.0,19.0,4.0,,,,,,90.0,73.0,7.1,11.0,0.00481461,1,,,,1.0,6.0,1.0,15.0,,1.0,1.0,3.0,6.0,3.0,,4.0,,0.0653,,1.0,,,,,,,,,,,,,,
12499260,home,Lecce,Federico Baschirotto,,,federico-baschirotto,F. Baschirotto,D,6,187.0,1366,M,786175,EUR,843177600,D,6,6,False,,46.0,39.0,6.0,3.0,0.0,31.0,33.0,8.0,13.0,1.0,,,,,,90.0,51.0,6.1,7.0,0.00272226,2,,,,2.0,5.0,3.0,5.0,1.0,2.0,,2.0,,,,,1.0,0.1469,,,,,,,,,,,,,,,,
12499260,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183.0,673,M,945616,EUR,947030400,D,25,25,False,,43.0,34.0,10.0,3.0,0.0,20.0,21.0,19.0,32.0,7.0,,,,,,90.0,71.0,7.0,18.0,0.610473,1,,10.0,5.0,2.0,1.0,3.0,6.0,,,1.0,1.0,2.0,1.0,,2.0,,0.031,5.0,,2.0,1.0,2.0,1.0,,,,,,,,,,
12499260,home,Lecce,Ylber Ramadani,,,ylber-ramadani,Y. Ramadani,M,20,185.0,1041,M,841977,EUR,829267200,M,20,20,False,,48.0,41.0,5.0,3.0,0.0,20.0,21.0,21.0,27.0,5.0,,,,,,76.0,59.0,6.6,10.0,0.0094195,2,,,,1.0,1.0,1.0,4.0,,1.0,2.0,1.0,3.0,,2.0,,,0.0987,,,,,,,1.0,1.0,0.0801,,,,,,,
12499260,home,Lecce,Balthazar Pierret,,,balthazar-pierret,B. Pierret,M,4,186.0,216,M,1014651,EUR,958348800,M,75,75,False,,15.0,14.0,,,0.0,9.0,10.0,5.0,5.0,2.0,,,,,,45.0,22.0,6.3,3.0,0.00580502,0,,,,3.0,,4.0,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,
12499260,home,Lecce,Tete Morente,,,tete-morente,T. Morente,F,15,180.0,435,M,605374,EUR,849657600,M,7,7,False,,12.0,10.0,2.0,2.0,0.0,4.0,4.0,6.0,8.0,1.0,,,,,,45.0,17.0,6.3,4.0,0.003312,0,,,,,2.0,3.0,2.0,,,1.0,,,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,
12499260,home,Lecce,Hamza Rafia,,,hamza-rafia,H. Rafia,M,24,178.0,2318,M,857772,EUR,923011200,M,8,8,False,,47.0,40.0,2.0,1.0,0.0,17.0,18.0,26.0,32.0,5.0,,,,,,83.0,66.0,7.2,12.0,0.375055,2,,3.0,3.0,2.0,,7.0,6.0,,1.0,,,1.0,1.0,3.0,4.0,3.0,0.0601,4.0,,1.0,1.0,1.0,1.0,,,,2.0,,,,,,
12499260,home,Lecce,Patrick Dorgu,,,dorgu-patrick,P. Dorgu,M,13,185.0,26643,M,1397168,EUR,1098748800,M,13,13,False,,28.0,20.0,3.0,1.0,0.0,8.0,9.0,12.0,19.0,7.0,,,,,,90.0,48.0,6.9,13.0,0.0248832,4,,,,1.0,3.0,6.0,9.0,,3.0,1.0,1.0,,,2.0,6.0,,0.2287,1.0,,,,,1.0,,,,3.0,2.0,Odogwu,,,,
