match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_wonContest,stat_shotOffTarget,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_outfielderBlock,stat_penaltyMiss,stat_errorLeadToAGoal,stat_totalOffside,stat_penaltyWon
12765131,home,Pafos FC,Ivica Ivušić,ivica-ivusic,I. Ivušić,G,1,195,1529,M,190417,EUR,791596800,G,1,1,False,36.0,23.0,21.0,8.0,0.0,22.0,26.0,1.0,10.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,47.0,7.6,13.0,0.00029016,0,0.7168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765131,home,Pafos FC,Bruno,bruno,Bruno,D,7,179,665,M,800106,EUR,769910400,D,7,7,False,42.0,34.0,3.0,2.0,0.0,23.0,24.0,13.0,20.0,,1.0,,8.0,,,,,,90.0,61.0,6.7,16.0,0.0592002,0,,,,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12765131,home,Pafos FC,Derrick Luckassen,derrick-luckassen,D. Luckassen,D,23,186,348,M,363782,EUR,804729600,D,23,23,False,58.0,49.0,11.0,5.0,0.0,38.0,40.0,11.0,18.0,1.0,2.0,7.0,5.0,,,,,,90.0,68.0,6.7,10.0,0.00361908,0,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
12765131,home,Pafos FC,David Goldar,david-goldar,D. Goldar,D,5,180,125,M,546180,EUR,779587200,D,5,5,False,48.0,44.0,4.0,2.0,0.0,35.0,37.0,9.0,11.0,2.0,2.0,3.0,3.0,,,,,,90.0,59.0,7.0,6.0,0.00433226,1,,,,,,1.0,1.0,,,,2.0,,,,1.0,0.0593,0.3988,,,,,,,,,,,,,,,,
12765131,home,Pafos FC,Kostas Pileas,kostas-pileas,K. Pileas,D,2,180,126,M,889002,EUR,913334400,D,2,2,False,37.0,24.0,8.0,1.0,0.0,16.0,18.0,9.0,23.0,,3.0,,2.0,,,,,,59.0,58.0,7.0,17.0,0.120477,0,,,,4.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,
12765131,home,Pafos FC,Ivan Šunjić,ivan-sunjic,I. Šunjić,M,26,185,1159,M,283833,EUR,844819200,M,26,26,False,23.0,19.0,2.0,1.0,0.0,10.0,10.0,9.0,13.0,2.0,8.0,1.0,2.0,,,,,,90.0,35.0,7.1,6.0,0.00825441,1,,,,,,2.0,,,,,2.0,1.0,,,,0.0504,,2.0,,4.0,1.0,2.0,1.0,,,,,,,,,,
12765131,home,Pafos FC,Pêpê,pepe,Pêpê,M,88,182,438,M,896354,EUR,864086400,M,88,88,False,60.0,47.0,8.0,5.0,0.0,26.0,34.0,21.0,26.0,,1.0,,4.0,,,,,,85.0,68.0,6.6,16.0,0.0149183,0,,,,,,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
12765131,home,Pafos FC,João Correia,joao-correia,J. Correia,M,77,175,844,M,804272,EUR,841881600,M,77,77,False,16.0,12.0,,,0.0,6.0,6.0,6.0,11.0,,4.0,1.0,1.0,,,,,,67.0,30.0,7.7,8.0,0.052005,3,,,,1.0,,1.0,,,,,3.0,1.0,,,1.0,0.2055,0.161,1.0,,3.0,,1.0,2.0,1.0,,,,,,,,,
12765131,home,Pafos FC,Vlad Dragomir,vlad-dragomir,V. Dragomir,M,30,178,1174,M,559058,EUR,924912000,M,30,30,False,19.0,11.0,1.0,,0.0,4.0,7.0,8.0,15.0,,4.0,1.0,2.0,,,,,,90.0,34.0,7.5,12.0,0.0285644,1,,,,3.0,1.0,3.0,,1.0,,,,1.0,2.0,,1.0,0.0645,0.1267,2.0,1.0,3.0,,1.0,,1.0,1.0,,,,,,,,
12765131,home,Pafos FC,Muamer Tanković,muamer-tankovic,M. Tanković,M,22,180,371,M,151131,EUR,793411200,M,22,22,False,23.0,18.0,2.0,2.0,0.0,8.0,10.0,11.0,18.0,2.0,5.0,1.0,2.0,,,,,,85.0,40.0,7.0,11.0,0.00917965,3,,,,5.0,1.0,3.0,,1.0,,,1.0,1.0,,,1.0,0.1495,0.0174,2.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,
