match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_interceptionWon,stat_wonTackle,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,captain,stat_hitWoodwork,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11352530,home,Brentford,Mark Flekken,mark-flekken,M. Flekken,G,1,194,2856,M,171919,EUR,739929600,G,1,1,False,35.0,22.0,27.0,14.0,11.0,13.0,11.0,22.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,3.0,90.0,45.0,6.9,13.0,0.00554838,0,-0.7911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352530,home,Brentford,Zanka,zanka,Zanka,D,,189,466,M,26404,EUR,640828800,D,13,13,False,35.0,25.0,8.0,4.0,9.0,11.0,16.0,24.0,5.0,5.0,,,,2.0,6.0,,,,90.0,53.0,7.4,15.0,0.0646813,1,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.028,1.0,,,,,,,,,,,,,,,,,,
11352530,home,Brentford,Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1144,M,576384,EUR,892771200,D,20,20,False,16.0,11.0,4.0,1.0,9.0,10.0,2.0,6.0,4.0,3.0,,1.0,,4.0,1.0,,,,90.0,25.0,6.4,6.0,0.00046213,0,,3.0,3.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
11352530,home,Brentford,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,22,22,False,25.0,19.0,4.0,1.0,14.0,16.0,5.0,9.0,3.0,5.0,2.0,,,4.0,4.0,,,,90.0,47.0,6.8,8.0,0.00203179,0,,,1.0,,,,,2.0,3.0,1.0,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,
11352530,home,Brentford,Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,428,M,826057,EUR,930182400,M,30,30,False,28.0,19.0,3.0,2.0,7.0,8.0,17.0,25.0,8.0,5.0,2.0,2.0,,3.0,6.0,,,,90.0,50.0,7.4,14.0,0.200838,1,,2.0,2.0,2.0,,,,,3.0,1.0,,,0.5575,3.0,1.0,2.0,Mads,Roerslev,5.0,5.0,1.0,1.0,0.9799,,,,,,,,,
11352530,home,Brentford,Frank Onyeka,frank-onyeka,F. Onyeka,M,16,183,4631,M,885864,EUR,883612800,M,15,15,False,17.0,13.0,1.0,,7.0,8.0,7.0,10.0,6.0,3.0,,5.0,1.0,,5.0,,,,77.0,31.0,6.7,9.0,0.0721729,1,,,,,,,,,2.0,1.0,,2.0,0.0874,1.0,2.0,1.0,,,1.0,1.0,1.0,,0.0227,1.0,,,,,,,,
11352530,home,Brentford,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,135256,EUR,763257600,M,6,6,False,45.0,35.0,3.0,2.0,12.0,15.0,23.0,31.0,7.0,5.0,4.0,,,3.0,10.0,,,,90.0,73.0,7.3,16.0,0.0141574,0,,2.0,1.0,1.0,,,,,4.0,,,,,1.0,6.0,3.0,,,1.0,,,,,,True,,,,,,,
11352530,home,Brentford,Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1191,M,814873,EUR,894758400,M,27,27,False,17.0,13.0,2.0,1.0,1.0,3.0,12.0,15.0,2.0,1.0,,1.0,,1.0,2.0,,,,87.0,29.0,6.6,8.0,0.00877877,2,,,,1.0,,1.0,,,1.0,1.0,,,0.1202,,1.0,,,,1.0,,1.0,,0.2563,,,1.0,,,,,,
11352530,home,Brentford,Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,5856,M,858195,EUR,850694400,M,12,12,False,25.0,15.0,7.0,2.0,6.0,7.0,11.0,21.0,6.0,6.0,,2.0,,1.0,5.0,,,,90.0,53.0,7.2,16.0,0.065951,3,,1.0,2.0,1.0,,2.0,,1.0,3.0,2.0,1.0,2.0,0.2513,1.0,2.0,2.0,,,3.0,2.0,,,,,,1.0,sergio_regui,1.0,,,,
11352530,home,Brentford,Ivan Toney,ivan-toney,I. Toney,F,17,185,12673,M,290927,EUR,826934400,F,17,17,False,27.0,15.0,2.0,,3.0,4.0,13.0,25.0,10.0,5.0,,2.0,,,4.0,,,,90.0,51.0,6.4,27.0,0.151601,1,,1.0,4.0,4.0,,,,,1.0,7.0,,3.0,0.0915,2.0,1.0,,,,2.0,1.0,,,,,,,ivantoney,1.0,,,,
