match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,player_firstName,player_lastName,stat_aerialLost,stat_wasFouled,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_totalOffside
11067618,home,Vasco da Gama,Léo Jardim,leo-jardim,L. Jardim,G,1,188,5904,M,leocjardim,595598,EUR,795657600,G,1,1,False,13.0,7.0,12.0,6.0,1.0,2.0,6.0,11.0,4.0,2.0,1.0,90.0,17.0,6.5,6.0,0.0025075,0,-0.0229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067618,home,Vasco da Gama,Paulo Henrique,paulo-henrique,P. Henrique,D,96,175,6662,M,,1021721,EUR,838252800,D,96,96,False,28.0,19.0,6.0,1.0,9.0,12.0,13.0,22.0,7.0,,,90.0,64.0,7.4,20.0,0.488664,0,,1.0,6.0,3.0,1.0,5.0,6.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
11067618,home,Vasco da Gama,Maicon,maicon,Maicon,D,3,191,836,M,,44691,EUR,590198400,D,4,4,False,53.0,41.0,13.0,7.0,26.0,30.0,16.0,24.0,5.0,,,90.0,63.0,7.2,12.0,0.028594,1,,,1.0,1.0,3.0,,4.0,,,,,,5.0,,1.0,1.0,,,1.0,1.0,2.0,0.0738,0.2983,,,,,,,,,,,,
11067618,home,Vasco da Gama,Gary Medel,gary-medel,G. Medel,D,17,171,1841,M,,22975,EUR,554947200,D,17,17,False,27.0,25.0,,,19.0,21.0,6.0,6.0,3.0,,,71.0,32.0,6.8,2.0,0.00110506,0,,,,,2.0,,2.0,,,,,,3.0,2.0,,,,,,,,,,True,,,,,,,,,,,
11067618,home,Vasco da Gama,Lucas Piton,lucas-piton,L. Piton,D,6,176,3645,M,,982174,EUR,971049600,D,6,6,False,30.0,26.0,6.0,2.0,13.0,16.0,15.0,16.0,6.0,,,90.0,46.0,7.0,8.0,0.170395,0,,,2.0,2.0,,1.0,3.0,,,2.0,1.0,,2.0,,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,
11067618,home,Vasco da Gama,Marlon Gomes,marlon-gomes,M. Gomes,M,6,184,1923,M,,1105833,EUR,1071360000,M,25,25,False,11.0,7.0,2.0,1.0,5.0,5.0,2.0,7.0,2.0,,,25.0,17.0,6.3,8.0,0.0134211,0,,,1.0,,1.0,2.0,1.0,1.0,,1.0,,,,,,,2.0,,,,1.0,,,,Marlon Gomes,,,,,,,,,,
11067618,home,Vasco da Gama,Jair,jair,Jair,M,8,178,1707,M,,268419,EUR,777859200,M,8,8,False,35.0,29.0,6.0,5.0,18.0,21.0,11.0,14.0,3.0,,,71.0,50.0,6.9,7.0,0.0150322,0,,,,,1.0,5.0,5.0,2.0,,1.0,,,2.0,1.0,3.0,2.0,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,
11067618,home,Vasco da Gama,Bruno Praxedes,bruno-praxedes,B. Praxedes,M,25,186,445,M,,1018093,EUR,1013126400,M,21,21,False,22.0,20.0,1.0,1.0,9.0,10.0,11.0,12.0,2.0,,,90.0,33.0,6.8,3.0,0.0174006,2,,,,,2.0,7.0,4.0,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,3.0,0.2619,,,,,4.0,1.0,1.0,1.0,,,,,
11067618,home,Vasco da Gama,Dimitri Payet,dimitri-payet,D. Payet,M,,175,8203,M,payet27,14216,EUR,543974400,M,10,10,False,21.0,16.0,6.0,3.0,10.0,12.0,6.0,12.0,3.0,,,64.0,33.0,6.9,9.0,0.0665642,1,,,3.0,,,1.0,3.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,0.0357,0.0635,,,,,2.0,,,,,,,
11067618,home,Vasco da Gama,Gabriel Pec,gabriel-pec,G. Pec,F,11,172,4603,M,GabrielPec,995072,EUR,981849600,F,11,11,False,8.0,6.0,,,2.0,2.0,6.0,8.0,3.0,,,90.0,21.0,6.9,6.0,0.302973,1,,,2.0,2.0,1.0,6.0,6.0,,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,1.0,,,0.0834,,,,,2.0,1.0,1.0,,,,,,
