match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_dispossessed,player_firstName,player_lastName,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,stat_shotOffTarget,stat_goals,stat_goodHighClaim,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyWon,stat_errorLeadToAShot
10411644,home,Milan,Ciprian Tătărușanu,ciprian-tatarusanu,C. Tătărușanu,G,198,630,M,44453,EUR,508291200,G,1,1,False,20.0,17.0,9.0,6.0,14.0,15.0,3.0,5.0,7.0,1.0,1.0,2.0,90.0,29.0,5.5,3.0,0.0,0.0,0.00149898,0,-2.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411644,home,Milan,Davide Calabria,davide-calabria,D. Calabria,D,177,2430,M,318607,EUR,849830400,D,2,2,False,39.0,31.0,8.0,3.0,18.0,19.0,16.0,25.0,7.0,,,,90.0,71.0,6.8,16.0,0.0,0.0,0.0838552,0,,2,True,1.0,5.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10411644,home,Milan,Pierre Kalulu,pierre-kalulu,P. Kalulu,D,183,6630,M,965330,EUR,960163200,D,20,20,False,73.0,63.0,9.0,4.0,45.0,46.0,18.0,27.0,6.0,,,,90.0,83.0,6.4,10.0,0.0,0.0,0.00557733,0,,15,,,,,2.0,6.0,,,1.0,,1.0,4.0,2.0,,1.0,,Kalulujr_,1.0,1.0,1.0,,,,,,,,,,,,,,,
10411644,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,185,3401,M,826195,EUR,940464000,D,46,46,False,65.0,55.0,13.0,6.0,37.0,38.0,18.0,28.0,10.0,,,,90.0,76.0,6.0,11.0,0.0,0.0,0.0060704,0,,46,,,1.0,,3.0,3.0,1.0,,3.0,,1.0,3.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,
10411644,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,184,26616,M,788027,EUR,876096000,D,19,19,False,41.0,31.0,5.0,2.0,18.0,18.0,15.0,28.0,10.0,,,,90.0,70.0,5.7,18.0,0.0,0.0,0.110831,0,,19,,,5.0,2.0,2.0,5.0,,2.0,1.0,,1.0,2.0,1.0,,,2.0,TheoHdez,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
10411644,home,Milan,Rade Krunić,rade-krunic,R. Krunić,M,184,2486,M,155449,EUR,749952000,M,33,33,False,16.0,13.0,1.0,1.0,7.0,7.0,6.0,9.0,2.0,,,,70.0,21.0,6.2,4.0,0.0,0.0,0.00150123,0,,33,,,,,5.0,4.0,1.0,,1.0,,,2.0,1.0,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,
10411644,home,Milan,Sandro Tonali,sandro-tonali,S. Tonali,M,181,14225,M,892673,EUR,957744000,M,8,8,False,41.0,27.0,9.0,2.0,16.0,16.0,11.0,28.0,6.0,,,,90.0,49.0,5.9,19.0,0.0,0.0,0.0129405,0,,8,,,3.0,,2.0,1.0,2.0,,,,,,,,,,sandrotonali,,,1.0,,,,,,,,,,,,,,,
10411644,home,Milan,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,180,7592,M,901891,EUR,930441600,M,56,56,False,20.0,15.0,1.0,,5.0,6.0,12.0,17.0,2.0,,,,70.0,35.0,6.3,12.0,0.0714,0.1187,0.134399,1,,56,,,3.0,2.0,4.0,4.0,,2.0,,,1.0,1.0,,,1.0,,AS56,,1.0,1.0,,2.0,3.0,,,1.0,1.0,,,,,,,,
10411644,home,Milan,Charles De Ketelaere,charles-de-ketelaere,C. De Ketelaere,F,192,14835,M,960441,EUR,984182400,M,90,90,False,14.0,12.0,2.0,2.0,4.0,4.0,8.0,10.0,4.0,,,,45.0,24.0,6.3,8.0,0.0,0.0,0.0210809,0,,17,,,,,4.0,4.0,,4.0,,,,1.0,,,1.0,,cdk,,1.0,,,3.0,1.0,,,2.0,,1.0,,,,,,,
10411644,home,Milan,Ante Rebić,ante-rebic,A. Rebić,F,185,4196,M,152769,EUR,748569600,M,12,12,False,14.0,5.0,1.0,,1.0,1.0,4.0,15.0,,,,,70.0,25.0,6.3,15.0,0.3573,0.1257,0.00635702,3,,9,,,2.0,,4.0,3.0,,1.0,,,,1.0,1.0,,1.0,1.0,_anterebic,1.0,2.0,,,2.0,1.0,,,,1.0,3.0,2.0,,,,,,
