match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,from,id,isHome,incidentClass,player_id,player_name,injury,length,playerName,reason,rescinded,confirmed
12764369,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12764369,,1.0,1.0,,90,6.0,,1,,,goal,owngoal,189929101.0,True,ownGoal,982315.0,Moussa Ndiaye,,,,,,
12764369,,,,,90,1.0,,1,,,substitution,,123274233.0,False,regular,,,False,,,,,
12764369,,,,,90,,,1,,,substitution,,123274232.0,True,regular,,,False,,,,,
12764369,,,,,90,,,1,,,substitution,,123274231.0,True,regular,,,False,,,,,
12764369,,,,,90,0.0,,1,,,injuryTime,,,,,,,,7.0,,,,
12764369,,0.0,1.0,,85,,,6,,,goal,,189928742.0,False,regular,1101702.0,Mario Stroeykens,,,,,,
12764369,,,,,79,,,12,,,substitution,,123274178.0,False,regular,,,False,,,,,
12764369,,,,,72,,,19,,,card,,121705694.0,False,yellow,122399.0,Colin Coosemans,,,Colin Coosemans,Argument,False,
12764369,,,,,67,,,24,,,card,,121705691.0,False,yellow,1214992.0,Jan-Carlo Simić,,,Jan-Carlo Simić,Foul,False,
12764369,,,,,63,,,28,,,substitution,,123274089.0,False,regular,,,False,,,,,
12764369,,,,,63,,,28,,,substitution,,123274088.0,False,regular,,,False,,,,,
12764369,,,,,63,,,28,,,substitution,,123274090.0,False,regular,,,False,,,,,
12764369,,,,,60,,,31,,,substitution,,123274077.0,True,injury,,,True,,,,,
12764369,,,,,60,,,31,,,substitution,,123274078.0,True,regular,,,False,,,,,
12764369,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12764369,,,,,45,0.0,,1,,,injuryTime,,,,,,,,1.0,,,,
12764369,,,,,23,,,23,,,card,,121705602.0,True,yellow,170345.0,Jānis Ikaunieks,,,Jānis Ikaunieks,Foul,False,
12764369,,,,,22,,,24,,,varDecision,,29360.0,False,goalAwarded,795761.0,Kasper Dolberg,,,,,,False
