match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_unsuccessfulTouch,stat_keyPass,captain,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_firstName,player_lastName,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals
12499600,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,37.0,31.0,12.0,6.0,0.0,25.0,28.0,6.0,9.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,90.0,46.0,6.3,7.0,0.0127784,0,-0.5218,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499600,home,1. FC Heidenheim,Marnon Busch,marnon-busch,M. Busch,D,2,182,76,M,168861,EUR,786844800,D,2,2,False,34.0,26.0,7.0,2.0,0.0,21.0,22.0,7.0,15.0,1.0,1.0,2.0,3.0,,,,,,60.0,42.0,6.2,11.0,0.0420179,0,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499600,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,49.0,40.0,11.0,8.0,0.0,25.0,27.0,15.0,22.0,5.0,5.0,4.0,7.0,,,,,,90.0,60.0,7.0,10.0,0.00887466,0,,,,4.0,,,1.0,True,2.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,
12499600,home,1. FC Heidenheim,Benedikt Gimber,benedikt-gimber,B. Gimber,D,5,185,137,M,798936,EUR,856310400,D,5,5,False,55.0,39.0,10.0,2.0,0.0,38.0,47.0,1.0,8.0,1.0,3.0,2.0,5.0,,,,,,90.0,68.0,6.6,16.0,0.00063611,0,,,,1.0,,,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,
12499600,home,1. FC Heidenheim,Lennard Maloney,lennard-maloney,L. Maloney,M,15,187,256,M,893962,EUR,939340800,M,33,33,False,29.0,18.0,6.0,1.0,0.0,11.0,17.0,7.0,12.0,3.0,5.0,3.0,4.0,,,,,,71.0,42.0,6.4,14.0,0.00495792,1,,,,4.0,,3.0,,,3.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.2557,,,,,,,
12499600,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,M,23,23,False,25.0,21.0,1.0,1.0,0.0,14.0,14.0,7.0,13.0,,4.0,1.0,1.0,,,,,,90.0,41.0,6.8,10.0,0.00416808,0,,2.0,,1.0,1.0,4.0,,,,,1.0,,1.0,2.0,2.0,1.0,,,,,,1.0,,,,,,
12499600,home,1. FC Heidenheim,Paul Wanner,paul-wanner,P. Wanner,M,10,186,3841,M,1146018,EUR,1135296000,M,10,10,False,21.0,17.0,3.0,1.0,0.0,9.0,11.0,9.0,12.0,2.0,3.0,1.0,6.0,,,,,,71.0,33.0,6.2,11.0,0.0242523,0,,2.0,1.0,5.0,1.0,4.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,
12499600,home,1. FC Heidenheim,Mathias Honsak,mathias-honsak,M. Honsak,M,17,188,255,M,575952,EUR,851040000,M,17,17,False,19.0,15.0,,,0.0,10.0,11.0,6.0,11.0,,1.0,1.0,3.0,,,,,,60.0,31.0,6.7,10.0,0.258326,2,,3.0,1.0,2.0,,2.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,1.0,0.1768,,1.0,,,,,
12499600,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,M,19,19,False,31.0,24.0,5.0,3.0,0.0,16.0,18.0,8.0,14.0,1.0,1.0,,4.0,,,,,,90.0,48.0,6.4,13.0,0.00764766,0,,1.0,,3.0,1.0,2.0,,,,,,4.0,1.0,,,,,,1.0,,,,,,,,,
12499600,home,1. FC Heidenheim,Maximilian Breunig,breunig-maximilian,M. Breunig,F,9,193,140,M,935281,EUR,966211200,F,14,14,False,17.0,11.0,1.0,1.0,0.0,6.0,9.0,5.0,8.0,1.0,1.0,1.0,2.0,,,,,,60.0,23.0,6.5,8.0,0.00800251,0,,,,5.0,,2.0,,,5.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,
