match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,stat_outfielderBlock,stat_totalOffside,captain,stat_penaltyFaced,stat_ownGoals,stat_penaltyConceded,stat_lastManTackle
12530746,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,28.0,26.0,6.0,4.0,0.0,24.0,25.0,2.0,3.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,39.0,6.8,3.0,0.00156813,0,0.3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530746,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,51.0,37.0,7.0,2.0,0.0,17.0,18.0,23.0,43.0,7.0,3.0,6.0,2.0,,,,,,,90.0,86.0,7.9,27.0,0.461527,2,,10.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,0.8327,0.8031,3.0,,,,,,,,,,,,,,
12530746,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,72.0,65.0,11.0,7.0,0.0,39.0,39.0,26.0,33.0,3.0,5.0,2.0,,,,,,,,90.0,87.0,7.2,8.0,0.0208167,2,,,,1.0,6.0,,,,,,2.0,1.0,1.0,0.1832,,2.0,5.0,1.0,1.0,2.0,,,,,,,,,,
12530746,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,69.0,63.0,2.0,1.0,0.0,39.0,40.0,24.0,30.0,4.0,3.0,3.0,2.0,2.0,,,,,,90.0,85.0,6.5,10.0,0.0103045,2,,1.0,,,6.0,,,,1.0,,2.0,2.0,2.0,0.4335,0.1478,,3.0,1.0,,1.0,1.0,2.0,,,,,,,,
12530746,home,Alanyaspor,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,False,13.0,11.0,3.0,2.0,0.0,6.0,6.0,8.0,11.0,2.0,1.0,1.0,1.0,1.0,,,,,,41.0,25.0,6.9,6.0,0.630279,1,,4.0,3.0,1.0,,,,,,,,,,0.0274,,2.0,,1.0,,1.0,,,2.0,,,,,,,
12530746,home,Alanyaspor,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,298,M,847013,EUR,869788800,M,42,42,False,18.0,13.0,,,0.0,7.0,8.0,6.0,10.0,1.0,,3.0,1.0,,,,,,,45.0,24.0,6.2,9.0,0.022361,0,,,,,6.0,,,,,,1.0,,2.0,,,,1.0,,,,3.0,,,,,,,,,
12530746,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,M,20,20,False,23.0,20.0,1.0,,0.0,11.0,11.0,9.0,12.0,4.0,1.0,3.0,1.0,,,,,,,45.0,35.0,7.1,4.0,0.0772841,3,,,,,2.0,,,,1.0,,4.0,2.0,1.0,0.4703,0.2606,,1.0,1.0,1.0,,,,,1.0,,,,,,
12530746,home,Alanyaspor,Sergio Córdova,,,sergio-cordova,S. Córdova,F,9,188,672,M,881222,EUR,871084800,M,9,9,False,25.0,14.0,1.0,,1.0,4.0,5.0,12.0,24.0,8.0,1.0,3.0,2.0,3.0,,,,,,90.0,48.0,7.9,18.0,1.03993,4,,4.0,2.0,2.0,3.0,,1.0,1.0,,,2.0,2.0,1.0,0.6831,,3.0,1.0,3.0,1.0,,1.0,1.0,2.0,,2.0,,,,,
12530746,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,11.0,11.0,,,0.0,6.0,6.0,5.0,6.0,1.0,,2.0,,1.0,,,,,,41.0,16.0,6.4,2.0,0.0577295,0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,True,,,,
12530746,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,38.0,29.0,2.0,,0.0,6.0,9.0,23.0,30.0,6.0,2.0,5.0,3.0,1.0,,,,,,90.0,63.0,7.6,14.0,0.310847,1,,1.0,,3.0,4.0,,1.0,,1.0,1.0,2.0,1.0,1.0,0.4646,0.904,2.0,2.0,,,1.0,,,,,2.0,,,,,
