match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_dispossessed,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_lastManTackle,stat_totalOffside,stat_shotOffTarget,stat_wonContest,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_savedShotsFromInsideTheBox,player_sofascoreId
11453020,home,Al-Okhdood,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195.0,133,M,861003,EUR,596073600,G,1,1,False,25.0,18.0,10.0,3.0,17.0,18.0,1.0,7.0,7.0,1.0,2.0,1.0,90.0,33.0,5.9,7.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453020,home,Al-Okhdood,Hussain Al Zabdani,Hussain Al Zabdani,,hussain-al-zabdani,H. A. Zabdani,D,8,183.0,18,M,1521661,EUR,797904000,D,8,8,False,34.0,23.0,4.0,3.0,15.0,19.0,9.0,19.0,4.0,,,,90.0,63.0,6.3,22.0,,0,True,4.0,1.0,6.0,14.0,7.0,4.0,1.0,2.0,1.0,6.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
11453020,home,Al-Okhdood,Solomon Kvirkvelia,,,solomon-kvirkvelia,S. Kvirkvelia,D,,196.0,258,M,95636,EUR,697334400,D,5,5,False,50.0,45.0,7.0,5.0,31.0,33.0,14.0,17.0,5.0,,,,90.0,61.0,6.9,6.0,,0,,,,,1.0,4.0,,,3.0,2.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,
11453020,home,Al-Okhdood,Andrei Burcă,,,andrei-burca,A. Burcă,D,33,188.0,560,M,846999,EUR,734832000,D,3,3,False,50.0,44.0,2.0,1.0,28.0,30.0,16.0,20.0,1.0,,,,90.0,62.0,7.4,7.0,,2,,,,4.0,4.0,7.0,,,,2.0,3.0,2.0,1.0,,,4.0,,1.0,2.0,1.0,,,,,,,,,,
11453020,home,Al-Okhdood,Awdh Faraj,,,awdh-faraj,A. Faraj,D,,172.0,16,M,791404,EUR,584928000,D,27,27,False,36.0,29.0,3.0,1.0,12.0,14.0,17.0,24.0,12.0,,,,84.0,58.0,7.0,12.0,2.0,0,,2.0,,3.0,4.0,5.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,,
11453020,home,Al-Okhdood,Juan Pedroza,,,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600,M,18,18,False,62.0,58.0,1.0,1.0,32.0,33.0,26.0,29.0,6.0,,,,64.0,70.0,7.1,4.0,,1,,,,,3.0,3.0,2.0,,,2.0,2.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,
11453020,home,Al-Okhdood,Eid Al Muwallad,Eid Al Muwallad,,eid-al-muwallad,E. A. Muwallad,M,14,175.0,194,M,1521467,EUR,1008288000,M,6,6,False,52.0,47.0,6.0,4.0,20.0,21.0,27.0,31.0,2.0,,,,84.0,65.0,6.7,7.0,,1,,,,,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,1.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,
11453020,home,Al-Okhdood,Alex Collado,Alex,Collado,alex-collado,A. Collado,M,8,177.0,1606,M,859767,EUR,924739200,M,11,11,False,45.0,35.0,5.0,3.0,7.0,9.0,30.0,51.0,9.0,,,,90.0,85.0,7.4,30.0,2.0,4,,15.0,2.0,1.0,8.0,4.0,3.0,5.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,2.0,,,1.0,2.0,,1.0,1.0,1.0,,,
11453020,home,Al-Okhdood,Florin Tănase,,,florin-tanase,F. Tănase,M,10,185.0,1396,M,537032,EUR,788745600,M,10,10,False,53.0,43.0,3.0,1.0,13.0,14.0,30.0,39.0,8.0,,,,90.0,68.0,7.6,12.0,1.0,4,,,,1.0,3.0,4.0,,3.0,,,2.0,2.0,,,1.0,,,,,,,2.0,2.0,,,1.0,2.0,,,
11453020,home,Al-Okhdood,Saviour Godwin,,,saviour-godwin,S. Godwin,M,77,170.0,248,M,359650,EUR,840672000,M,99,99,False,22.0,19.0,,,8.0,8.0,12.0,16.0,5.0,,,,73.0,44.0,6.8,17.0,,2,,2.0,1.0,1.0,8.0,,,2.0,,1.0,,,5.0,,3.0,,2.0,,1.0,,,,,,,,1.0,1.0,,
