match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_hitWoodwork,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_aerialWon,player_sofascoreId,stat_errorLeadToAShot,stat_outfielderBlock,stat_totalOffside,stat_accurateCross
14053793,home,AFC Ajax,Vítězslav Jaroš,vitezslav-jaros,V. Jaroš,G,1,190.0,4420,M,927359,EUR,995846400,G,1,1,False,50.0,31.0,27.0,8.0,0.0,27.0,32.0,4.0,18.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,4.0,1.0,90.0,64.0,6.3,19.0,0.00086401,78.416797682062,14.0,30.87,8.925,0.1569,0,-0.1881,0.05,-0.06,-0.12,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053793,home,AFC Ajax,Anton Gaaei,anton-gaaei,A. Gaaei,D,3,183.0,906,M,1120315,EUR,1037664000,D,3,3,False,48.0,43.0,2.0,1.0,0.0,21.0,22.0,22.0,26.0,,2.0,1.0,2.0,,,,,,90.0,66.0,6.2,9.0,0.217223,140.61754130427,16.0,51.45,16.59,,3,,0.41,0.13,-0.41,,,,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0891,18.14283428795,1.0,2.0,-0.52,,,,,,,,,,,,,,,,,,,
14053793,home,AFC Ajax,Aaron Bouwman,aaron-bouwman,A. Bouwman,D,3,188.0,790,M,1586649,EUR,1188259200,D,30,30,False,72.0,70.0,2.0,1.0,0.0,50.0,52.0,20.0,20.0,,6.0,,5.0,,,,,,90.0,81.0,6.7,2.0,0.182107,243.16176120147,32.0,36.12,22.47,,0,,0.38,0.09,-0.21,,Aaron Bouwman,,,1.0,,1.0,,,1.0,,42.552482336427,2.0,1.0,,,,,,,,,,,,,,,,,,,,
14053793,home,AFC Ajax,Ko Itakura,ko-itakura,K. Itakura,D,4,189.0,3073,M,790989,EUR,854323200,D,4,4,False,49.0,48.0,3.0,2.0,0.0,36.0,36.0,12.0,13.0,,6.0,,2.0,,,,,,90.0,60.0,6.2,2.0,0.0125722,82.587946999565,13.0,29.295,17.535,,0,,0.13,0.07,-0.22,,,,,4.0,,,,,2.0,,17.557268608756,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
14053793,home,AFC Ajax,Lucas Rosa,lucas-rosa,L. Rosa,D,2,177.0,710,M,970860,EUR,954720000,D,2,2,False,50.0,45.0,7.0,4.0,0.0,29.0,29.0,16.0,21.0,9.0,1.0,2.0,3.0,4.0,,,,,90.0,73.0,7.0,7.0,0.0229556,147.66485982446,22.0,43.89,14.7,,1,,0.09,0.14,-0.27,,,,,2.0,,,1.0,,2.0,0.2984,18.048622772943,1.0,2.0,-0.13,,,1.0,1.0,1.0,1.0,4.0,3.0,2.0,,,,,,,,,,
14053793,home,AFC Ajax,Davy Klaassen,davy-klaassen,D. Klaassen,M,18,179.0,1575,M,97410,EUR,730252800,M,18,18,False,22.0,20.0,2.0,2.0,1.0,11.0,12.0,9.0,10.0,3.0,1.0,,5.0,1.0,,,,,75.0,33.0,8.3,4.0,0.0144177,37.795510166972,6.0,18.48,8.715,,1,,0.13,0.34,-0.01,,,,,4.0,,1.0,,,1.0,0.141,,,1.0,0.53,3.0,,1.0,,,,2.0,1.0,1.0,True,1.0,1.0,0.5166,,,,,,
14053793,home,AFC Ajax,Youri Regeer,youri-regeer,Y. Regeer,M,6,177.0,742,M,996940,EUR,1061164800,M,6,6,False,45.0,41.0,2.0,,0.0,25.0,26.0,16.0,19.0,,2.0,3.0,2.0,,,,,,90.0,56.0,6.2,5.0,0.0564831,143.50392754303,21.0,13.965,17.115,,1,,0.12,0.07,-0.19,,,,,4.0,2.0,,1.0,,1.0,0.0625,,,,-0.23,,1.0,,,,,,,,,,,,,,,,,
14053793,home,AFC Ajax,Sean Steur,sean-steur,S. Steur,M,48,180.0,722,M,1859920,EUR,1200009600,M,48,48,False,38.0,35.0,,,0.0,7.0,10.0,28.0,28.0,4.0,,1.0,2.0,2.0,,,,,75.0,44.0,7.2,3.0,0.108021,217.36289707037,22.0,93.765,28.56,,1,,0.22,0.55,-0.12,,Sean Steur,,,,,,,,,0.5059,94.40810937912,5.0,1.0,-0.53,,,,,1.0,,2.0,1.0,,,1.0,,0.333,,,,,,
14053793,home,AFC Ajax,Rayane Bounida,rayane-bounida,R. Bounida,M,43,179.0,3967,M,1403090,EUR,1141344000,F,43,43,False,35.0,33.0,1.0,1.0,0.0,14.0,15.0,19.0,20.0,10.0,4.0,,5.0,4.0,,,,,84.0,61.0,7.7,8.0,0.311004,159.02546069781,16.0,12.705,21.21,,3,,0.12,0.58,0.26,,Rayane Bounida,,2.0,2.0,,1.0,,2.0,2.0,0.3597,68.607182373495,5.0,4.0,0.09,1.0,,2.0,2.0,,,3.0,1.0,4.0,,1.0,,0.4879,1.0,,,,,
14053793,home,AFC Ajax,Kasper Dolberg,kasper-dolberg,K. Dolberg,F,9,187.0,4191,M,795761,EUR,876096000,F,9,9,False,24.0,16.0,,,0.0,7.0,10.0,9.0,14.0,4.0,1.0,,1.0,3.0,,,,,84.0,41.0,7.1,12.0,0.194919,104.75044955216,11.0,92.505,17.01,,4,,-0.18,0.46,-0.11,,,,1.0,6.0,,1.0,1.0,,,1.0114,38.209437927518,3.0,1.0,0.38,4.0,1.0,1.0,,2.0,,,,1.0,,3.0,1.0,0.9669,1.0,KDolberg,1.0,,,
