match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_height,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_interceptionWon,stat_fouls,captain,stat_wonTackle,stat_totalContest,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_wonContest,stat_goals,stat_shotOffTarget,stat_ownGoals,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceCreated
12765151,home,Larne FC,Rohan Ferguson,,,rohan-ferguson,R. Ferguson,G,1,20,M,926752,EUR,881366400,G,1,1,False,36.0,12.0,34.0,10.0,0.0,3.0,5.0,9.0,31.0,2.0,13.0,1.0,2.0,4.0,1.0,1.0,90.0,44.0,6.7,24.0,0.00240416,0,-0.4684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765151,home,Larne FC,Josh Seary,Josh Seary,,seary-josh,J. Seary,D,36,38,M,1132026,EUR,1094774400,D,17,17,False,24.0,11.0,5.0,2.0,0.0,10.0,12.0,1.0,13.0,2.0,1.0,,,,,,90.0,51.0,6.1,26.0,0.0168514,0,,180.0,1.0,5.0,3.0,8.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
12765151,home,Larne FC,Shaun Want,,,shaun-want,S. Want,D,4,3,M,837745,EUR,855446400,D,2,2,False,14.0,9.0,3.0,1.0,0.0,7.0,8.0,2.0,6.0,4.0,2.0,,,,,,89.0,21.0,6.3,5.0,0.0250253,0,,180.0,,3.0,4.0,4.0,5.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,
12765151,home,Larne FC,Cian Bolger,,,cian-bolger,C. Bolger,D,18,15,M,145659,EUR,700358400,D,18,18,False,24.0,12.0,10.0,3.0,0.0,8.0,8.0,4.0,16.0,6.0,4.0,,,,,,90.0,39.0,7.2,12.0,0.0103132,0,,193.0,,1.0,5.0,1.0,6.0,,,3.0,1.0,,,1.0,,True,,,,,,,,,,,,,,
12765151,home,Larne FC,Sam Todd,,,todd-sam,S. Todd,D,22,13,M,845896,EUR,893721600,D,20,20,False,19.0,17.0,4.0,2.0,0.0,15.0,17.0,2.0,2.0,6.0,3.0,,,,,,90.0,34.0,7.3,2.0,0.00075832,0,,185.0,,1.0,3.0,1.0,6.0,,,1.0,3.0,,,1.0,,,3.0,,,,,,,,,,,,,
12765151,home,Larne FC,Levi Ives,,,levi-ives,L. Ives,D,15,28,M,803694,EUR,870048000,D,3,3,False,26.0,14.0,6.0,2.0,0.0,6.0,8.0,8.0,18.0,1.0,6.0,,,,,,90.0,46.0,6.0,17.0,0.0065845,0,,173.0,,,,4.0,1.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,
12765151,home,Larne FC,Dylan Sloan,,,dylan-sloan,D. Sloan,M,25,21,M,1386166,EUR,1081987200,M,25,25,False,14.0,4.0,3.0,,0.0,3.0,6.0,1.0,9.0,,6.0,,,,,,76.0,28.0,6.6,16.0,0.0005133,0,,182.0,1.0,5.0,2.0,10.0,7.0,1.0,2.0,,3.0,2.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,
12765151,home,Larne FC,Chris Gallagher,,,chris-gallagher,C. Gallagher,M,6,17,M,994982,EUR,922752000,M,27,27,False,23.0,14.0,6.0,3.0,0.0,8.0,11.0,6.0,12.0,3.0,2.0,,,,,,82.0,32.0,6.5,10.0,0.00584543,0,,175.0,,,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12765151,home,Larne FC,Joe Thomson,,,joe-thomson,J. Thomson,M,6,18,M,352600,EUR,853200000,M,6,6,False,21.0,15.0,4.0,1.0,0.0,6.0,9.0,9.0,12.0,5.0,4.0,,,,,,90.0,36.0,6.8,8.0,0.0144903,0,,178.0,,,2.0,2.0,3.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,
12765151,home,Larne FC,Andy Ryan,,,andy-ryan,A. Ryan,F,29,77,M,152090,EUR,780796800,F,29,29,False,13.0,12.0,,,0.0,6.0,6.0,6.0,7.0,2.0,1.0,,,,,,82.0,27.0,6.7,4.0,0.00460572,1,,173.0,,8.0,1.0,11.0,6.0,,,,2.0,1.0,3.0,,1.0,,1.0,2.0,1.0,1.0,0.0951,0.4729,,,,,,,,
