match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_totalClearance,stat_wonTackle,stat_unsuccessfulTouch,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalCross,stat_blockedScoringAttempt,stat_goals,stat_keyPass,stat_shotOffTarget,stat_hitWoodwork,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,captain,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14773702,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600.0,G,1,1,False,13.0,13.0,3.0,3.0,0.0,13.0,13.0,8.0,1.0,1.0,90.0,21.0,6.7,0.00017169,20.041657423401,3.0,1.785,4.095,0.0673,0,-0.063,0.07,0.0,-0.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773702,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187.0,4062,M,99545,EUR,684374400.0,D,2,2,False,101.0,92.0,7.0,6.0,0.0,22.0,23.0,9.0,,,90.0,112.0,8.3,0.0620389,327.44804322406,49.0,200.55,18.165,,2,,0.68,0.28,-0.1,,DaniloP,70.0,78.0,4.0,1.0,9.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,9.0,0.0936,0.2593,14.112003543083,1.0,-0.15,,,,,,,,,,,,,,,,,,,,,,,
14773702,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187.0,9249,M,243585,EUR,751334400.0,D,8,8,False,76.0,73.0,2.0,2.0,0.0,23.0,23.0,1.0,,,90.0,87.0,7.2,0.0365642,249.24696643729,34.0,159.705,22.995,,1,,0.36,0.33,-0.14,,Fabinho,50.0,53.0,1.0,2.0,3.0,,,1.0,1.0,,2.0,,,5.0,0.1116,0.2001,42.057712972777,2.0,-0.14,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
14773702,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200.0,D,15,15,False,63.0,58.0,2.0,2.0,0.0,17.0,21.0,7.0,,,90.0,77.0,6.7,0.0267904,107.64305567316,20.0,25.62,11.865,,0,,0.35,0.08,-0.31,,,41.0,42.0,1.0,7.0,2.0,1.0,1.0,,,,,,1.0,6.0,,,13.64177587413,1.0,,,,,1.0,,,5.0,1.0,1.0,,,,,,,,,,,,,,
14773702,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800.0,M,13,13,False,25.0,23.0,,,0.0,4.0,4.0,2.0,,,69.0,39.0,6.2,0.0362436,32.921695975212,5.0,23.1,14.49,,1,,0.07,-0.09,-0.05,,,19.0,21.0,1.0,5.0,1.0,1.0,,,,,,,2.0,9.0,0.0735,,,,0.02,,,2.0,,,4.0,,,,2.0,1.0,,,,,,,,,,,,
14773702,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800.0,M,7,7,False,46.0,43.0,1.0,1.0,1.0,14.0,14.0,4.0,,,90.0,61.0,8.0,0.0935105,138.90835165821,11.0,0.20999999999994,19.11,,1,,-0.25,0.29,-0.03,,nglkante,29.0,32.0,1.0,8.0,6.0,3.0,3.0,,1.0,,1.0,1.0,3.0,8.0,0.0608,0.6078,,,0.55,,,,,,,,5.0,,,,1.0,2.0,,,,,,,,,,
14773702,home,Al-Ittihad,Mahamadou Doumbia,mahamadou-doumbia,M. Doumbia,M,17,186.0,5407,M,1400846,EUR,1084579200.0,M,17,17,False,91.0,81.0,5.0,3.0,0.0,13.0,14.0,4.0,,,90.0,117.0,7.9,0.222383,275.54924032006,33.0,92.925,15.855,,5,,0.65,0.15,-0.09,,,68.0,77.0,3.0,7.0,9.0,4.0,2.0,,2.0,,1.0,3.0,4.0,15.0,0.1098,0.3555,30.185440087014,2.0,0.16,Mahamadou Doumbia,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,,3.0,1.0,,,,,,,,
14773702,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170.0,7562,M,855817,EUR,931305600.0,M,19,19,False,40.0,37.0,,,0.0,7.0,7.0,2.0,,,87.0,63.0,6.5,0.19593,173.4346012222,21.0,74.865,13.86,,0,,-0.08,0.28,-0.11,,moussadiaby,30.0,33.0,,3.0,2.0,2.0,1.0,,,1.0,1.0,,1.0,18.0,,,60.904090108454,5.0,,,,,,,,1.0,,,14.0,,,4.0,,,2.0,1.0,1.0,,,,,
14773702,home,Al-Ittihad,Ahmed Al-Ghamdi,ahmed-al-ghamdi,A. Al-Ghamdi,M,27,178.0,356,M,984415,EUR,1000944000.0,F,27,27,False,37.0,33.0,1.0,,0.0,4.0,4.0,3.0,,,69.0,51.0,6.5,0.0273327,100.96669390086,16.0,1.05,11.235,,0,,-0.43,-0.54,0.0,,,29.0,33.0,,2.0,4.0,1.0,1.0,,,1.0,1.0,2.0,1.0,9.0,,,,,,,,,,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,,
14773702,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175.0,14747,M,846081,EUR,899164800.0,F,10,10,False,57.0,52.0,,,0.0,10.0,10.0,4.0,,,88.0,79.0,7.5,0.0966158,145.82117890283,21.0,47.88,15.225,,3,,0.32,-0.51,-0.12,,houssem_aouar,42.0,47.0,,8.0,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,14.0,0.2602,0.6259,,,0.55,,,2.0,,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,2.0,1.0,,,,,,,,,
