match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,player_sofascoreId,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_aerialLost,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_totalOffside,captain,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_bigChanceMissed,stat_lastManTackle,stat_hitWoodwork
12436974,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,30.0,14.0,27.0,11.0,0.0,5.0,6.0,9.0,24.0,1.0,6.0,1.0,1.0,90.0,33.0,6.9,16.0,0.00365505,0,0.3866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436974,home,Nottingham Forest,Ola Aina,ola-aina,O. Aina,D,34,182,4052,M,800417,EUR,844732800,D,34,34,False,21.0,15.0,1.0,,0.0,6.0,7.0,9.0,16.0,4.0,3.0,,,90.0,45.0,6.7,16.0,0.00627779,0,,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12436974,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,33.0,27.0,6.0,3.0,0.0,21.0,21.0,6.0,12.0,6.0,5.0,,,90.0,44.0,7.2,6.0,0.0632574,0,,,3.0,5.0,1.0,,,2.0,,,,,milenkovicn_4,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
12436974,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,41.0,29.0,7.0,3.0,0.0,17.0,20.0,13.0,22.0,5.0,3.0,,,90.0,52.0,7.4,13.0,0.0279481,0,,1.0,1.0,2.0,,,,,,,1.0,,murillosantiago40,2.0,2.0,,,Murillo,,1.0,1.0,,,,,,,,,,,,,
12436974,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,7,7,False,24.0,16.0,2.0,,0.0,8.0,11.0,8.0,13.0,6.0,3.0,,,90.0,54.0,7.4,13.0,0.00492176,1,,,3.0,8.0,,,2.0,3.0,3.0,,,4.0,,1.0,,3.0,,,,,1.0,1.0,0.0981,,,,,,,,,,,
12436974,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,24.0,19.0,,,0.0,17.0,20.0,2.0,4.0,,3.0,,,63.0,34.0,7.2,5.0,0.00042793,1,,,4.0,6.0,3.0,,,6.0,3.0,,,,,,2.0,1.0,,,,,1.0,,0.0207,1.0,0.0446,,,,,,,,,
12436974,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7705,M,994546,EUR,1036540800,M,8,8,False,27.0,23.0,2.0,1.0,0.0,8.0,9.0,15.0,22.0,4.0,2.0,,,90.0,45.0,6.7,12.0,0.00918483,0,,4.0,11.0,8.0,5.0,2.0,1.0,3.0,1.0,,2.0,1.0,,3.0,1.0,,2.0,,,,2.0,,,,,1.0,1.0,,,,,,,
12436974,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10434,M,979232,EUR,1019865600,M,21,21,False,6.0,5.0,,,0.0,3.0,3.0,4.0,5.0,,3.0,,,62.0,11.0,6.6,2.0,0.0317512,0,,2.0,3.0,,2.0,,,,,,1.0,,anthonyelanga,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,
12436974,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,26.0,21.0,1.0,1.0,0.0,5.0,5.0,16.0,24.0,1.0,,,,90.0,37.0,7.3,11.0,0.12867,0,,3.0,3.0,6.0,,,2.0,2.0,1.0,,2.0,1.0,Morgangibbs27,2.0,,,,,,,2.0,,,,,1.0,,True,1.0,2.0,,,,
12436974,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,14,14,False,19.0,17.0,,,0.0,4.0,5.0,14.0,19.0,3.0,8.0,,,90.0,37.0,7.2,8.0,0.0290319,1,,5.0,3.0,5.0,,1.0,2.0,,,,1.0,2.0,Calteck10,1.0,,1.0,3.0,,,1.0,,,0.0507,,,2.0,,,,,1.0,,,
