match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalLongBalls,stat_accurateLongBalls,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalOffside,stat_totalContest,stat_wonContest,stat_penaltyWon,stat_ownGoals,stat_accurateCross,captain,stat_errorLeadToAGoal,stat_goodHighClaim,stat_penaltyFaced,stat_goalAssist,stat_penaltyConceded
11352472,home,Tottenham Hotspur,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,13,13,False,32.0,32.0,31.0,31.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,90.0,36.0,6.1,0.00014789,0,-1.9441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352472,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,pedroporro29,913654,EUR,937180800,D,23,23,False,46.0,38.0,11.0,15.0,27.0,38.0,2.0,2.0,,,,90.0,70.0,7.1,0.285671,3,,5.0,3.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,17.0,0.0814,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11352472,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37910,M,cutiromero2,829932,EUR,893635200,D,17,17,False,66.0,64.0,33.0,33.0,31.0,34.0,2.0,3.0,,,,90.0,85.0,7.6,0.0365456,4,,2.0,1.0,1.0,4.0,10.0,1.0,,2.0,1.0,,4.0,1.0,2.0,5.0,0.969,,,,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.329,,,,,,,,,,,,,
11352472,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12526,M,mickyvdven,998247,EUR,987638400,D,37,37,False,83.0,72.0,47.0,53.0,25.0,30.0,2.0,3.0,,,,90.0,93.0,6.4,0.0224712,0,,6.0,2.0,,5.0,5.0,,,,,,2.0,,,13.0,,,,,3.0,2.0,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,
11352472,home,Tottenham Hotspur,Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,EUR,735609600,D,33,33,False,37.0,29.0,19.0,23.0,10.0,14.0,2.0,6.0,,,,87.0,58.0,6.7,0.0155354,0,,3.0,,,7.0,7.0,2.0,,,,,3.0,,3.0,10.0,,,,,2.0,1.0,,,,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,,,
11352472,home,Tottenham Hotspur,Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8306,M,rodrigo_bentancur,791190,EUR,867196800,M,30,30,False,37.0,32.0,10.0,11.0,22.0,27.0,,4.0,,,,45.0,44.0,6.7,0.030121,0,,,,1.0,2.0,1.0,,,,,2.0,1.0,1.0,,8.0,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,
11352472,home,Tottenham Hotspur,Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,23,185,4495,M,hojbjerg23,149593,EUR,807580800,M,5,5,False,68.0,59.0,19.0,25.0,40.0,44.0,1.0,7.0,,,,64.0,83.0,6.8,0.0255933,0,,7.0,4.0,1.0,5.0,6.0,,,,,2.0,3.0,,1.0,12.0,,,,,2.0,1.0,,,,,,1.0,,,2.0,,2.0,2.0,,1.0,,,,,,,
11352472,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11735,M,dejan_k10,928124,EUR,956620800,M,21,21,False,50.0,44.0,13.0,13.0,32.0,43.0,,4.0,,,,90.0,82.0,7.5,0.453679,1,,2.0,1.0,6.0,9.0,13.0,2.0,1.0,,1.0,,5.0,2.0,1.0,19.0,0.0316,2.0,,,,,,,,,,4.0,3.0,,4.0,,7.0,5.0,,,1.0,,,,,,
11352472,home,Tottenham Hotspur,James Maddison,james-maddison,J. Maddison,M,10,175,15672,M,Madders,356398,EUR,848707200,M,10,10,False,38.0,35.0,7.0,8.0,29.0,37.0,,1.0,,,,64.0,56.0,6.6,0.196393,1,,1.0,1.0,7.0,6.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,14.0,0.0425,1.0,,,,,,,,,,,2.0,,1.0,,3.0,,,,1.0,,,,,,
11352472,home,Tottenham Hotspur,Timo Werner,timo-werner,T. Werner,F,36,180,19084,M,timowerner,232306,EUR,826070400,M,16,16,False,7.0,5.0,2.0,3.0,3.0,5.0,,,,,,31.0,15.0,6.2,0.00386805,0,,,,1.0,3.0,1.0,,,,,,1.0,,1.0,5.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
