match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_keyPass,stat_aerialWon,stat_errorLeadToAGoal,stat_totalContest,stat_outfielderBlock,stat_aerialLost,stat_fouls,stat_dispossessed,stat_wonContest,stat_unsuccessfulTouch,stat_wonTackle,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,captain,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_goalAssist,player_sofascoreId
10382084,home,SC Cambuur,João Virgínia,João,Virgínia,joao-virginia,J. Virgínia,G,12,191,817,M,930666,EUR,939513600,G,1,1,False,23.0,18.0,7.0,2.0,18.0,19.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,90.0,30.0,6.5,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382084,home,SC Cambuur,Sai Van Wermeskerken,,,wermeskerken-sai-van,S. V. Wermeskerken,D,,178,82,M,795221,EUR,772761600,D,24,24,False,60.0,52.0,10.0,5.0,29.0,32.0,31.0,1.0,2.0,5.0,,,,90.0,80.0,7.0,12.0,1,25.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10382084,home,SC Cambuur,Marco Tol,,,marco-tol,M. Tol,D,3,188,40,M,860162,EUR,893462400,D,15,15,False,84.0,76.0,22.0,17.0,50.0,52.0,32.0,3.0,2.0,6.0,,,,78.0,90.0,6.5,8.0,0,26.0,,,1.0,1.0,,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,
10382084,home,SC Cambuur,Floris Smand,Floris Smand,,floris-smand,F. Smand,D,3,185,51,M,1394011,EUR,1043020800,D,33,33,False,46.0,40.0,7.0,6.0,27.0,30.0,16.0,3.0,,6.0,1.0,,,45.0,50.0,7.0,7.0,0,13.0,,,1.0,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,
10382084,home,SC Cambuur,Alex Bangura,,,alex-bangura,A. Bangura,D,24,183,149,M,967178,EUR,931824000,D,16,16,False,50.0,43.0,4.0,2.0,27.0,29.0,22.0,6.0,,3.0,4.0,,,90.0,73.0,6.8,10.0,1,16.0,1.0,,3.0,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
10382084,home,SC Cambuur,Daniel van Kaam,,,daniel-van-kaam,D. v. Kaam,M,8,175,86,M,876257,EUR,961718400,M,21,21,False,14.0,13.0,3.0,3.0,8.0,8.0,6.0,5.0,,5.0,3.0,,,62.0,27.0,6.3,9.0,0,5.0,,,7.0,,,,1.0,,,,3.0,,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,
10382084,home,SC Cambuur,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,4,181,102,M,893748,EUR,887760000,M,6,6,False,51.0,39.0,9.0,5.0,15.0,18.0,34.0,8.0,2.0,8.0,2.0,,,90.0,68.0,6.9,16.0,1,24.0,1.0,,7.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10382084,home,SC Cambuur,Silvester van der Water,Silvester,van der Water,silvester-van-der-water,S. v. d. Water,M,,184,93,M,807145,EUR,844041600,M,11,11,False,17.0,11.0,4.0,3.0,2.0,2.0,17.0,7.0,,5.0,1.0,,,62.0,42.0,6.8,18.0,1,10.0,2.0,1.0,6.0,2.0,1.0,,4.0,1.0,,,4.0,,,,2.0,2.0,4.0,2.0,,,,,,,,,,
10382084,home,SC Cambuur,Mitchell Paulissen,,,mitchell-paulissen,M. Paulissen,M,6,183,32,M,192290,EUR,735350400,M,10,10,False,27.0,21.0,2.0,2.0,6.0,6.0,29.0,2.0,1.0,5.0,1.0,,,90.0,44.0,6.9,15.0,2,17.0,8.0,2.0,6.0,1.0,1.0,,,1.0,,,2.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,
10382084,home,SC Cambuur,Remco Balk,,,remco-balk,R. Balk,F,7,176,183,M,1023004,EUR,983491200,M,30,30,False,9.0,6.0,2.0,1.0,4.0,5.0,5.0,,,,,,,29.0,15.0,6.3,7.0,1,2.0,1.0,,4.0,2.0,,,,1.0,,,,,,1.0,1.0,,2.0,,,,1.0,,,,,,,
