match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_lastName,stat_totalOffside,captain,stat_totalContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goodHighClaim,stat_goals,player_sofascoreId
14572787,home,SK Sturm Graz,Oliver Christensen,oliver-christensen,O. Christensen,G,53,190.0,517,M,860306,EUR,922060800,G,1,1,False,30.0,26.0,6.0,2.0,0.0,24.0,24.0,2.0,6.0,1.0,1.0,4.0,1.0,1.0,90.0,32.0,6.4,4.0,0.00033053,31.245947868145,7.0,22.68,6.09,0.058,0,-0.0021,0.04,0.02,-0.11,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572787,home,SK Sturm Graz,Arjan Malić,arjan-malic,A. Malić,D,23,186.0,1349,M,1500291,EUR,1125187200,D,23,23,False,31.0,24.0,3.0,1.0,0.0,10.0,14.0,14.0,17.0,1.0,8.0,2.0,,,79.0,57.0,5.7,15.0,0.00480553,94.819093129954,12.0,38.85,21.315,,0,,-0.06,0.05,-0.36,,Arjan Malic,4.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,
14572787,home,SK Sturm Graz,Jeyland Mitchell,jeyland-mitchell,J. Mitchell,D,2,187.0,1808,M,1099285,EUR,1096416000,D,2,2,False,47.0,37.0,5.0,2.0,0.0,20.0,23.0,17.0,24.0,2.0,2.0,1.0,,,90.0,74.0,7.9,18.0,0.0800356,129.14758639394,15.0,123.06,20.58,,2,,0.29,0.09,0.63,,,,7.0,,,8.0,4.0,,1.0,1.0,,1.0,5.0,2.0,1.0,0.1029,2.0,-0.3,,,,,,,,,,,,,,
14572787,home,SK Sturm Graz,Emanuel Aiwu,emanuel-aiwu,E. Aiwu,D,47,187.0,219,M,924690,EUR,977702400,D,47,47,False,58.0,51.0,7.0,5.0,0.0,31.0,32.0,20.0,26.0,,,1.0,,,90.0,65.0,7.3,7.0,0.020632,263.04662839206,24.0,191.625,27.3,,0,,0.25,0.11,0.15,,,,5.0,,,2.0,1.0,,1.0,1.0,,,2.0,,2.0,,,,,1.0,,,,,,,,,,,,
14572787,home,SK Sturm Graz,Emir Karić,emir-karic,E. Karić,D,17,186.0,635,M,796032,EUR,865814400,D,17,17,False,52.0,39.0,1.0,,0.0,25.0,28.0,14.0,24.0,,,3.0,,,79.0,67.0,6.3,19.0,0.0141806,122.0511820328,17.0,96.705,14.49,,1,,-0.05,0.06,-0.13,,,2.0,1.0,,,3.0,,,,,3.0,,1.0,1.0,,0.0335,1.0,-0.04,,1.0,,,,,,,,,,,,
14572787,home,SK Sturm Graz,Jon Gorenc Stanković,jon-gorenc-stankovic,J. G. Stanković,M,4,190.0,338,M,280565,EUR,821577600,M,4,4,False,49.0,33.0,6.0,4.0,0.0,12.0,14.0,21.0,35.0,3.0,7.0,4.0,,,90.0,69.0,7.1,23.0,0.0126739,74.269406042199,9.0,41.265,14.28,,1,,0.0,0.09,0.26,,,2.0,11.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,9.0,,2.0,0.1058,,-0.19,,,True,1.0,1.0,0.114,,,,,,,,
14572787,home,SK Sturm Graz,Tomi Horvat,tomi-horvat,T. Horvat,M,14,176.0,562,M,906698,EUR,922233600,M,19,19,False,37.0,30.0,5.0,1.0,0.0,11.0,13.0,19.0,24.0,2.0,14.0,6.0,,,90.0,75.0,7.1,26.0,0.660244,239.94698511949,18.0,135.765,18.165,,3,,0.61,0.33,-0.07,,,15.0,6.0,3.0,2.0,,,2.0,2.0,1.0,1.0,3.0,,,3.0,0.1917,6.0,-0.43,,,,6.0,,,5.0,1.0,1.0,3.0,,,,
14572787,home,SK Sturm Graz,Otar Kiteishvili,otar-kiteishvili,O. Kiteishvili,M,10,170.0,2313,M,797994,EUR,827798400,M,10,10,False,48.0,46.0,4.0,4.0,0.0,14.0,14.0,32.0,34.0,2.0,9.0,9.0,,,90.0,66.0,6.6,9.0,0.0774268,191.03057739047,17.0,77.175,20.16,,2,,0.33,-0.5,-0.08,,,,3.0,1.0,1.0,,,1.0,2.0,,1.0,,,1.0,,0.1349,1.0,-0.12,,,,6.0,,,,1.0,,1.0,,,,
14572787,home,SK Sturm Graz,Tochi Chukwuani,tochi-chukwuani,T. P. Chukwuani,M,42,187.0,598,M,994007,EUR,1048464000,M,21,21,False,37.0,34.0,1.0,1.0,0.0,14.0,14.0,20.0,23.0,,1.0,2.0,,,66.0,50.0,6.9,5.0,0.010474,65.021121618054,10.0,44.415,9.135,,2,,-0.07,0.17,-0.06,,,1.0,6.0,,,,,1.0,1.0,,,2.0,2.0,2.0,3.0,0.1255,1.0,-0.13,,,,,,,,,,,,,,
14572787,home,SK Sturm Graz,Seedy Jatta,seedy-jatta,S. Jatta,F,20,180.0,274,M,1024876,EUR,1047945600,F,20,20,False,11.0,8.0,,,0.0,3.0,3.0,5.0,8.0,4.0,7.0,3.0,,,66.0,24.0,6.0,9.0,0.0126884,10.690806225797,2.0,9.765,6.195,,3,,-0.11,0.01,0.0,,,1.0,3.0,,3.0,,,,,,2.0,,1.0,2.0,2.0,0.7525,1.0,-0.58,,1.0,,,,,,,,1.0,1.0,,,
