match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_penaltyConceded,captain,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoalsOnTarget,player_sofascoreId,stat_outfielderBlock,stat_dispossessed,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyWon,stat_totalOffside,stat_penaltyMiss,stat_penaltySave,stat_punches,stat_errorLeadToAShot
11396398,away,TSG Hoffenheim,Tom Bischof,,,tom-bischof,T. Bischof,M,20,176,6361,M,1129935,EUR,1119916800,M,39,39,False,21.0,16.0,,,2.0,4.0,14.0,19.0,3.0,,,,78.0,35.0,6.4,10.0,0.00870878,1,,2.0,,6.0,5.0,5.0,1.0,1.0,,2.0,1.0,,0.0459,,,1.0,,,,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Grischa Prömel,,,grischa-promel,G. Prömel,M,6,182,280,M,253993,EUR,789609600,M,6,6,False,22.0,20.0,1.0,,10.0,11.0,10.0,11.0,5.0,,,,90.0,31.0,7.2,5.0,0.159693,1,,,,7.0,4.0,,2.0,,,1.0,1.0,4.0,0.4203,,1.0,1.0,,,1.0,1.0,,2.0,2.0,0.9362,,,,,1.0,,,,,,,,,,
11396398,away,TSG Hoffenheim,Robert Skov,,,robert-skov,R. Skov,M,24,183,755,M,327863,EUR,832550400,M,29,29,False,14.0,12.0,2.0,1.0,8.0,8.0,4.0,6.0,2.0,,,,90.0,34.0,7.2,6.0,0.00743654,1,,,,6.0,9.0,4.0,3.0,2.0,,,1.0,,0.0829,,,2.0,,,1.0,1.0,1.0,4.0,,0.6334,,,1.0,,1.0,,,,,,,,,,
11396398,away,TSG Hoffenheim,Wout Weghorst,,,wout-weghorst,W. Weghorst,F,25,197,6772,M,252215,EUR,713145600,F,10,10,False,23.0,12.0,2.0,1.0,4.0,6.0,8.0,17.0,4.0,,,,90.0,38.0,7.9,13.0,0.291271,1,,,,6.0,10.0,1.0,,,,2.0,2.0,1.0,0.7884,1.0,4.0,6.0,,,1.0,3.0,,2.0,2.0,0.9945,wout.weghorst,,,,1.0,,1.0,,,,1.0,,,,
11396398,away,TSG Hoffenheim,Maximilian Beier,,,maximilian-beier,M. Beier,F,14,183,4887,M,980628,EUR,1034812800,F,14,14,False,6.0,5.0,,,4.0,5.0,1.0,1.0,1.0,,,,78.0,13.0,6.8,4.0,0.00098607,2,,,,1.0,1.0,,,,,3.0,1.0,1.0,0.475,,1.0,,,,2.0,,,,,1.0824,,,,,,,,1.0,,1.0,,,,,
11396398,away,TSG Hoffenheim,Anton Stach,,,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,M,16,16,True,27.0,17.0,1.0,1.0,7.0,11.0,10.0,17.0,12.0,,,,58.0,44.0,7.3,13.0,0.0156621,0,,1.0,,4.0,12.0,1.0,5.0,4.0,,,3.0,2.0,,1.0,,3.0,,,,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Ihlas Bebou,,,ihlas-bebou,I. Bebou,F,9,183,465,M,254297,EUR,767059200,F,9,9,True,8.0,6.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,,,,38.0,21.0,6.6,7.0,0.00062719,1,,,,4.0,2.0,,2.0,1.0,1.0,2.0,,,0.0173,,3.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Umut Tohumcu,Umut Tohumcu,,umut-tohumcu,U. Tohumcu,M,8,176,432,M,1083410,EUR,1092182400,M,40,40,True,2.0,1.0,,,1.0,1.0,,1.0,1.0,,,,12.0,6.0,6.9,1.0,1.312e-05,0,,,,,3.0,,,,,,1.0,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Marius Bülter,,,marius-bulter,M. Bülter,F,30,188,454,M,378340,EUR,733363200,F,21,21,True,3.0,3.0,,,,,3.0,3.0,1.0,,,,12.0,5.0,6.5,1.0,0.00297043,0,,,,3.0,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Luca Philipp,,,luca-philipp,L. Philipp,G,37,192,119,M,943550,EUR,975369600,G,37,37,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Attila Szalai,,,attila-szalai,A. Szalai,D,41,192,2460,M,823092,EUR,885254400,D,41,41,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Diadié Samassékou,,,diadie-samassekou,D. Samassékou,M,18,175,1706,M,796358,EUR,821318400,M,18,18,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Finn Ole Becker,,,becker-finn-ole,F. O. Becker,M,25,177,144,M,979821,EUR,960422400,M,20,20,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396398,away,TSG Hoffenheim,Mergim Berisha,,,mergim-berisha,M. Berisha,F,20,186,561,M,770083,EUR,894844800,F,7,7,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
