match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wasFouled,stat_challengeLost,captain,stat_goalAssist,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_totalOffside,stat_blockedScoringAttempt,stat_shotOffTarget,stat_dispossessed,stat_bigChanceMissed,stat_goals,stat_outfielderBlock,player_sofascoreId
10388257,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,21.0,8.0,16.0,3.0,7.0,8.0,1.0,13.0,1.0,1.0,1.0,10.0,2.0,2.0,2.0,1.0,90.0,31.0,6.4,13.0,0.0,0.0,0.00018878,0,-0.8612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388257,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,D,20,20,False,52.0,42.0,12.0,7.0,22.0,23.0,21.0,36.0,1.0,2.0,,10.0,,,,,90.0,66.0,6.9,17.0,0.0951,0.1115,0.253859,1,,,,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10388257,home,1. FSV Mainz 05,Stefan Bell,stefan-bell,S. Bell,D,16,192,142,M,106662,EUR,682992000,D,16,16,False,72.0,53.0,17.0,6.0,35.0,38.0,18.0,34.0,5.0,9.0,1.0,9.0,,,,,90.0,82.0,6.8,20.0,0.0,0.0,0.0150771,0,,,,,,2.0,,,3.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,
10388257,home,1. FSV Mainz 05,Andreas Hanche-Olsen,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185,370,M,794294,EUR,853459200,D,25,25,False,53.0,42.0,11.0,6.0,31.0,35.0,11.0,18.0,1.0,8.0,3.0,7.0,,,,,90.0,69.0,6.8,11.0,0.0,0.0,0.0178437,0,,,,,,10.0,,4.0,3.0,2.0,,3.0,6.0,4.0,1.0,,,,,,,,,,,,,,
10388257,home,1. FSV Mainz 05,Silvan Widmer,silvan-widmer,S. Widmer,M,30,182,532,M,157377,EUR,731289600,M,30,30,False,39.0,28.0,4.0,1.0,14.0,15.0,16.0,28.0,1.0,3.0,2.0,5.0,,,,,87.0,66.0,8.0,21.0,0.0,0.0,0.326822,0,,,,4.0,2.0,1.0,,,,,1.0,,1.0,,,True,1.0,2.0,2.0,2.0,4.0,,,,,,,,
10388257,home,1. FSV Mainz 05,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2537,M,906800,EUR,946857600,M,8,8,False,24.0,17.0,,,11.0,13.0,6.0,11.0,1.0,3.0,1.0,9.0,,,,,58.0,34.0,6.8,9.0,0.0,0.0,0.0173247,0,,,,,,5.0,,5.0,1.0,1.0,,2.0,1.0,1.0,,,,2.0,,,,1.0,,,,,,,
10388257,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,M,31,31,False,55.0,38.0,11.0,6.0,16.0,19.0,22.0,37.0,1.0,3.0,,8.0,,,,,90.0,68.0,6.9,20.0,0.0808,0.2088,0.058192,3,,,,1.0,,3.0,2.0,1.0,1.0,,1.0,,,1.0,2.0,,,1.0,,,2.0,,1.0,,,,,,
10388257,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,M,19,19,False,39.0,30.0,7.0,4.0,16.0,19.0,18.0,30.0,,3.0,,7.0,,,,,90.0,63.0,7.4,18.0,0.0,0.0,0.231947,0,,,,10.0,4.0,1.0,,,2.0,2.0,,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,
10388257,home,1. FSV Mainz 05,Anton Stach,anton-stach,A. Stach,M,18,192,1470,M,889861,EUR,911088000,F,6,6,False,30.0,21.0,1.0,,8.0,9.0,13.0,23.0,1.0,5.0,,4.0,,,,,90.0,46.0,6.4,16.0,0.0119,0.0,0.218757,1,,,,2.0,,5.0,,,1.0,1.0,2.0,1.0,,3.0,2.0,,,3.0,,,,1.0,,1.0,,,,,
10388257,home,1. FSV Mainz 05,Marcus Ingvartsen,marcus-ingvartsen,M. Ingvartsen,F,7,182,364,M,280721,EUR,820713600,F,11,11,False,16.0,13.0,1.0,1.0,9.0,9.0,4.0,7.0,,5.0,,7.0,,,,,58.0,27.0,6.8,5.0,0.0688,0.0649,0.010922,1,,,,,,4.0,1.0,,,,1.0,,2.0,4.0,1.0,,,2.0,1.0,,,1.0,,,,,,,
10388257,home,1. FSV Mainz 05,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1365,M,343971,EUR,762134400,F,17,17,False,32.0,18.0,1.0,1.0,11.0,12.0,7.0,20.0,5.0,10.0,,1.0,,,,,87.0,50.0,7.2,21.0,0.4463,0.2391,0.0741249,3,,,,,,10.0,2.0,,,,4.0,1.0,6.0,4.0,1.0,,,1.0,1.0,,,,,1.0,2.0,1.0,1.0,,
10388257,home,1. FSV Mainz 05,Karim Onisiwo,karim-onisiwo,K. Onisiwo,F,9,188,465,M,165413,EUR,700790400,F,9,9,True,6.0,3.0,,,1.0,1.0,2.0,5.0,,2.0,,,,,,,32.0,10.0,6.6,3.0,0.087,0.0,0.0057424,1,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,
10388257,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,M,7,7,True,12.0,8.0,,,1.0,3.0,7.0,11.0,1.0,3.0,,1.0,,,,,32.0,24.0,6.9,7.0,0.4526,0.3476,0.0620832,5,,,,2.0,,2.0,3.0,1.0,1.0,,1.0,,2.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,
10388257,home,1. FSV Mainz 05,Danny da Costa,danny-da-costa,D. Costa,D,21,186,305,M,97926,EUR,742521600,D,21,21,True,2.0,1.0,,,,,1.0,3.0,,1.0,,,,,,,9.0,4.0,6.3,2.0,0.0,0.0,0.00362508,0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
