match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,captain,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAGoal
14573091,home,Breidablik Kópavogur,Anton Ari Einarsson,anton-ari-einarsson,A. A. Einarsson,G,1,192.0,18,M,797032,EUR,777772800,G,1,1,False,33.0,30.0,9.0,6.0,0.0,30.0,32.0,1.0,10.0,1.0,1.0,90.0,40.0,6.8,3.0,0.00010289,41.746637443538,10.0,14.595,4.305,0.0524,0,-0.7482,0.04,0.01,0.22,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573091,home,Breidablik Kópavogur,Andri Yeoman,andri-yeoman,A. Yeoman,D,30,175.0,4,M,67227,EUR,703555200,D,30,30,False,28.0,19.0,4.0,1.0,0.0,6.0,9.0,19.0,1.0,,,88.0,55.0,6.6,14.0,0.0119699,77.05799065744,8.0,59.535,21.63,,0,,0.18,0.07,-0.16,,13.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
14573091,home,Breidablik Kópavogur,Damir Muminović,damir-muminovic,D. Muminović,D,44,186.0,26,M,73624,EUR,642556800,D,44,44,False,48.0,36.0,16.0,5.0,0.0,27.0,28.0,20.0,5.0,,,90.0,55.0,6.7,12.0,0.00950077,121.64942422914,15.0,82.95,16.59,,0,,0.22,0.03,0.13,,9.0,2.0,3.0,,,,,5.0,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14573091,home,Breidablik Kópavogur,Viktor Orn Margeirsson,viktor-orn-margeirsson,V. O. Margeirsson,D,21,188.0,6,M,796721,EUR,774835200,D,21,21,False,47.0,40.0,10.0,4.0,0.0,37.0,38.0,9.0,1.0,,,90.0,61.0,7.2,7.0,0.0273942,111.47005940183,14.0,22.785,13.545,,1,,0.13,0.01,0.0,,3.0,3.0,3.0,1.0,,,,8.0,1.0,1.0,,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,0.8602,0.9929,0.32,,,,,,,,,,,
14573091,home,Breidablik Kópavogur,Davíð Ingvarsson,david-ingvarsson,D. Ingvarsson,M,18,176.0,18,M,879184,EUR,924998400,D,18,18,False,41.0,32.0,9.0,2.0,0.0,15.0,19.0,22.0,3.0,,,90.0,63.0,7.1,15.0,0.140684,120.00786803762,12.0,74.97,20.79,,2,,0.32,0.24,-0.18,,17.0,1.0,8.0,1.0,3.0,3.0,,2.0,,3.0,1.0,,2.0,,,,2.0,2.0,,,0.0671,,-0.27,1.0,1.0,3.0,2.0,,,,,,,
14573091,home,Breidablik Kópavogur,Höskuldur Gunnlaugsson,hoskuldur-gunnlaugsson,H. Gunnlaugsson,M,7,173.0,59,M,156416,EUR,780537600,M,7,7,False,39.0,25.0,7.0,,0.0,12.0,14.0,25.0,6.0,,,90.0,64.0,6.9,21.0,0.0533687,66.002268247064,12.0,12.81,6.3,,3,,0.12,0.2,0.34,,13.0,4.0,7.0,,4.0,2.0,,4.0,2.0,3.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,,0.1362,0.0537,-0.28,2.0,,5.0,1.0,True,,,,,,
14573091,home,Breidablik Kópavogur,Arnór Gauti Jónsson,arnor-gauti-jonsson,A. G. Jónsson,M,6,,14,M,1029004,EUR,1022803200,M,6,6,False,23.0,15.0,6.0,1.0,0.0,7.0,9.0,14.0,,,,90.0,38.0,6.4,11.0,0.00239907,17.372161939168,2.0,13.86,9.135,,0,,0.0,0.0,0.13,,8.0,6.0,4.0,2.0,,,,6.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,,,,,,,,,1.0,1.0,,Arnór Gauti Jónsson,,,,,
14573091,home,Breidablik Kópavogur,Viktor Karl Einarsson,viktor-karl-einarsson,V. K. Einarsson,M,8,176.0,30,M,822170,EUR,854582400,M,8,8,False,29.0,24.0,1.0,1.0,1.0,12.0,14.0,15.0,1.0,,,89.0,48.0,7.2,10.0,0.0224224,54.043686918642,8.0,3.465,10.5,,0,,0.13,-0.09,-0.01,,12.0,6.0,8.0,1.0,4.0,2.0,,2.0,,5.0,4.0,2.0,1.0,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,,
14573091,home,Breidablik Kópavogur,Óli Valur Ómarsson,oli-valur-omarsson,O. V. Omarsson,M,9,172.0,65,M,957138,EUR,1042070400,F,9,9,False,11.0,8.0,1.0,,1.0,4.0,5.0,6.0,6.0,,,89.0,36.0,9.3,13.0,0.397204,115.91908684662,15.0,75.495,11.13,,1,,0.74,0.21,0.17,,4.0,4.0,5.0,,3.0,1.0,1.0,,,3.0,2.0,3.0,2.0,,,,6.0,2.0,1.0,1.0,0.0692,0.7742,0.54,,,2.0,1.0,,,,,,,
14573091,home,Breidablik Kópavogur,Ágúst Orri Thorsteinsson,agust-orri-porsteinsson,Á. O. Thorsteinsson,M,15,,54,M,2203670,EUR,1105660800,F,15,15,False,14.0,9.0,1.0,,0.0,3.0,3.0,11.0,3.0,,,88.0,28.0,6.8,9.0,0.0210694,113.69714607846,9.0,74.025,29.19,,2,,-0.28,0.5,0.0,,6.0,6.0,6.0,,5.0,5.0,,,,,,4.0,,1.0,1.0,,,,,,0.3087,,-0.31,1.0,1.0,3.0,,,Ágúst Orri Thorsteinsson,,1.0,1.0,1.0,
