match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_totalOffside,player_firstName,player_lastName,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated,stat_goals
10389810,home,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186,2098,M,164055,EUR,767232000,G,30,30,False,31.0,26.0,18.0,13.0,21.0,21.0,5.0,10.0,2.0,5.0,5.0,90.0,36.0,7.3,5.0,0.0,0.0,0.00209227,0,0.3455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389810,home,RC Lens,Przemysław Frankowski,przemyslaw-frankowski,P. Frankowski,D,95,176,5767,M,286909,EUR,797644800,D,29,29,False,40.0,29.0,2.0,1.0,9.0,12.0,22.0,32.0,6.0,,,90.0,65.0,6.9,19.0,0.0516,0.0,0.281915,1,,przemek.franek_,4.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,
10389810,home,RC Lens,Jonathan Gradit,jonathan-gradit,J. Gradit,D,24,180,273,M,369650,EUR,722563200,D,24,24,False,38.0,30.0,3.0,2.0,21.0,23.0,9.0,15.0,4.0,,,90.0,54.0,6.8,11.0,0.0657,0.0,0.00471158,1,,,,,1.0,3.0,4.0,5.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,
10389810,home,RC Lens,Kevin Danso,danso-kevin,K. Danso,D,4,190,3440,M,794953,EUR,906163200,D,4,4,False,33.0,29.0,5.0,4.0,23.0,24.0,6.0,9.0,7.0,,,90.0,44.0,7.2,4.0,0.0895,0.0,0.00950302,1,,,,,,2.0,,6.0,,,,,4.0,2.0,1.0,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,
10389810,home,RC Lens,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,600,M,143344,EUR,723254400,D,21,21,False,32.0,21.0,3.0,1.0,15.0,21.0,6.0,11.0,6.0,,,90.0,53.0,6.5,14.0,0.0,0.0,0.00217249,0,,,,,1.0,,2.0,3.0,,1.0,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
10389810,home,RC Lens,Salis Abdul Samed,abdul-samed-salis,S. A. Samed,M,99,180,2025,M,993455,EUR,954028800,M,26,26,False,28.0,24.0,2.0,1.0,15.0,17.0,9.0,11.0,3.0,,,90.0,37.0,6.5,7.0,0.0,0.0,0.00767592,0,,,,,2.0,,8.0,4.0,,3.0,3.0,,,1.0,,,3.0,5.0,,1.0,,1.0,,,,,,,,,,,,,,
10389810,home,RC Lens,Seko Fofana,seko-fofana,S. Fofana,M,42,184,11416,M,191188,EUR,799804800,M,8,8,False,27.0,16.0,1.0,1.0,4.0,7.0,13.0,22.0,8.0,,,90.0,55.0,7.1,21.0,0.3708,0.068,0.0904581,5,,sekofofana,2.0,1.0,,,6.0,8.0,2.0,7.0,5.0,1.0,,3.0,1.0,,3.0,2.0,,1.0,,2.0,3.0,True,1.0,1.0,,,,,,,,,,
10389810,home,RC Lens,Florian Sotoca,florian-sotoca,F. Sotoca,F,7,187,757,M,788921,EUR,656812800,M,7,7,False,18.0,13.0,1.0,,2.0,4.0,11.0,17.0,1.0,,,76.0,31.0,6.6,9.0,0.0,0.0,0.0632771,0,,,3.0,,1.0,1.0,2.0,3.0,,,,,2.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,
10389810,home,RC Lens,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,M,28,28,False,24.0,19.0,1.0,,7.0,10.0,13.0,16.0,6.0,,,90.0,38.0,6.8,8.0,0.0,0.0,0.0752543,0,,,2.0,1.0,,2.0,5.0,5.0,,,,,,2.0,2.0,1.0,2.0,3.0,2.0,3.0,,1.0,,,,,,,,,,,,,,
10389810,home,RC Lens,Angelo Fulgini,angelo-fulgini,A. Fulgini,M,11,183,483,M,787540,EUR,840499200,M,20,20,False,20.0,14.0,,,4.0,5.0,11.0,24.0,3.0,,,68.0,39.0,7.2,18.0,0.0,0.0,0.152045,0,,,9.0,1.0,,1.0,2.0,4.0,1.0,,,,1.0,,1.0,,2.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,
