match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_aerialWon,stat_shotOffTarget,stat_errorLeadToAShot,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_penaltyConceded,captain,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_goodHighClaim,stat_penaltyWon
11406798,home,Fiorentina,Pietro Terracciano,pietro-terracciano,P. Terracciano,G,1,193,1591,M,136856,EUR,636854400,G,1,1,False,20.0,16.0,9.0,5.0,14.0,14.0,2.0,6.0,4.0,1.0,1.0,3.0,90.0,25.0,7.0,4.0,0.00019524,0,0.2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406798,home,Fiorentina,Michael Kayode,michael-kayode,M. Kayode,D,33,179,2419,M,1137431,EUR,1089417600,D,33,33,False,45.0,42.0,3.0,1.0,19.0,20.0,24.0,28.0,1.0,,,,90.0,64.0,7.1,7.0,0.210927,1,,,,3.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0104,2.0,,,,,,,,,,,,,,,,,,,
11406798,home,Fiorentina,Lucas Martínez Quarta,lucas-martinez-quarta,L. M. Quarta,D,28,183,3115,M,795297,EUR,831686400,D,28,28,False,68.0,53.0,10.0,4.0,30.0,35.0,23.0,33.0,3.0,,,,90.0,90.0,7.4,17.0,0.0256505,3,,,,,,1.0,1.0,6.0,,2.0,2.0,1.0,7.0,,1.0,2.0,1.0,,0.2111,,chinomartinezquarta96,3.0,2.0,1.0,,,,,,,,,,,,,,,
11406798,home,Fiorentina,Luca Ranieri,luca-ranieri,L. Ranieri,D,6,187,1115,M,893998,EUR,924825600,D,16,16,False,62.0,53.0,13.0,7.0,25.0,29.0,28.0,33.0,4.0,,,,90.0,73.0,7.2,10.0,0.023396,0,,,,,,1.0,1.0,2.0,,,,,2.0,,4.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
11406798,home,Fiorentina,Fabiano Parisi,fabiano-parisi,F. Parisi,D,65,178,788,M,972886,EUR,973728000,D,65,65,False,61.0,56.0,2.0,1.0,25.0,29.0,32.0,37.0,5.0,,,,90.0,87.0,7.0,13.0,0.0895057,0,,,,5.0,1.0,2.0,5.0,9.0,,2.0,2.0,,,,3.0,3.0,3.0,2.0,,1.0,,4.0,,,,,,1.0,1.0,,,,,,,,,,
11406798,home,Fiorentina,Giacomo Bonaventura,giacomo-bonaventura,G. Bonaventura,M,,180,1099,M,36784,EUR,619747200,M,5,5,False,30.0,25.0,2.0,2.0,8.0,9.0,19.0,24.0,4.0,,,,84.0,45.0,7.8,9.0,0.33288,2,,,,3.0,2.0,,3.0,6.0,,4.0,4.0,1.0,,,,,1.0,,0.0624,5.0,,,1.0,,,1.0,,3.0,,True,1.0,1.0,,,,,,,
11406798,home,Fiorentina,Alfred Duncan,alfred-duncan,A. Duncan,M,32,178,572,M,232224,EUR,731721600,M,32,32,False,24.0,21.0,3.0,2.0,8.0,9.0,14.0,17.0,1.0,,,,45.0,33.0,7.0,4.0,0.130505,0,,,,2.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,,,,,,,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,
11406798,home,Fiorentina,Jonathan Ikoné,jonathan-ikone,J. Ikoné,M,93,180,1415,M,802142,EUR,894067200,M,11,11,False,9.0,9.0,,,2.0,2.0,7.0,7.0,,,,,90.0,21.0,7.4,3.0,0.0167265,4,,,,,,1.0,5.0,2.0,1.0,3.0,2.0,1.0,,,,1.0,,1.0,0.6307,1.0,,,1.0,,,,,1.0,,,,,2.0,1.0,0.8209,,,,
11406798,home,Fiorentina,Lucas Beltrán,lucas-beltran,L. Beltrán,M,15,177,3780,M,962029,EUR,985824000,M,9,9,False,17.0,14.0,2.0,2.0,4.0,4.0,10.0,13.0,,,,,55.0,22.0,6.5,6.0,0.0240948,1,,,,,,,2.0,1.0,,2.0,1.0,,,,,,,,0.0714,,beltranlucass,,1.0,,,,,1.0,,,,,,,,,,,
11406798,home,Fiorentina,Riccardo Sottil,riccardo-sottil,R. Sottil,M,23,180,1381,M,893640,EUR,928368000,M,7,7,False,15.0,14.0,1.0,1.0,2.0,2.0,13.0,16.0,3.0,,,,55.0,33.0,7.0,8.0,0.0506986,1,,,,3.0,1.0,,3.0,6.0,,2.0,2.0,,,,,2.0,3.0,,0.0143,,,,,,,1.0,,3.0,,,,,1.0,,0.0625,,,,
