match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_challengeLost,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_wonTackle,player_sofascoreId,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10388339,home,RB Leipzig,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,21,21,False,34.0,27.0,9.0,2.0,27.0,29.0,5.0,1.0,1.0,11.0,1.0,1.0,1.0,90.0,41.0,6.5,7.0,0.0,0.0,0.00020859,0,0.2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388339,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,False,57.0,45.0,3.0,2.0,19.0,22.0,37.0,5.0,10.0,6.0,,,,90.0,82.0,7.1,16.0,0.0979,0.0,0.289704,1,,,,27.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,
10388339,home,RB Leipzig,Lukas Klostermann,lukas-klostermann,L. Klostermann,D,16,188,717,M,319853,EUR,833760000,D,16,16,False,73.0,71.0,2.0,1.0,50.0,50.0,23.0,,1.0,5.0,,,,71.0,82.0,7.0,2.0,0.0,0.0,0.0125931,0,,,,21.0,,,2.0,3.0,,,,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
10388339,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,99.0,88.0,5.0,3.0,52.0,55.0,44.0,5.0,8.0,6.0,,,,90.0,113.0,7.9,14.0,0.2476,0.3904,0.0613845,3,,,,36.0,,,1.0,4.0,1.0,,1.0,2.0,,,2.0,,1.0,,,1.0,True,1.0,2.0,1.0,1.0,,,,,,
10388339,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,D,39,39,False,50.0,42.0,3.0,,24.0,28.0,22.0,1.0,3.0,10.0,,,,71.0,64.0,6.5,11.0,0.0234,0.0,0.103964,1,,,,18.0,,,,2.0,,,1.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,
10388339,home,RB Leipzig,Konrad Laimer,konrad-laimer,K. Laimer,D,27,180,7452,M,355492,EUR,864691200,M,27,27,False,51.0,42.0,6.0,3.0,22.0,22.0,29.0,,6.0,7.0,,,,81.0,66.0,7.5,12.0,0.0983,0.2855,0.278706,2,,,,20.0,,,,4.0,4.0,3.0,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,3.0,2.0,KonradLaimer,,,,
10388339,home,RB Leipzig,Amadou Haidara,amadou-haidara,A. Haidara,M,21,174,6620,M,822708,EUR,886204800,M,8,8,False,32.0,28.0,2.0,2.0,6.0,6.0,26.0,1.0,5.0,2.0,,,,71.0,42.0,7.1,5.0,0.0523,0.0338,0.057733,2,,,,22.0,,,,3.0,1.0,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,amadou_haidara04,,,,
10388339,home,RB Leipzig,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,77008,M,869856,EUR,972432000,M,17,17,False,49.0,37.0,3.0,2.0,16.0,18.0,36.0,,9.0,5.0,,,,90.0,90.0,7.9,25.0,0.7075,0.8963,0.0976355,2,,,,23.0,5.0,2.0,,3.0,7.0,5.0,,,,,2.0,5.0,2.0,,,,,1.0,1.0,1.0,2.0,2.0,DomSzobo,1.0,,,
10388339,home,RB Leipzig,Emil Forsberg,emil-forsberg,E. Forsberg,M,10,179,2256,M,51785,EUR,688176000,M,10,10,False,19.0,16.0,,,3.0,3.0,17.0,,7.0,7.0,,,,76.0,35.0,6.9,8.0,0.0665,0.0,0.279512,1,,,,13.0,1.0,,2.0,7.0,2.0,,,,,,2.0,2.0,5.0,3.0,,,,,,,1.0,,,1.0,,,
10388339,home,RB Leipzig,Timo Werner,timo-werner,T. Werner,F,36,180,18941,M,232306,EUR,826070400,F,11,11,False,13.0,11.0,1.0,,1.0,1.0,13.0,,4.0,1.0,,,,90.0,27.0,6.9,6.0,0.386,0.0,0.0317573,3,,,,10.0,1.0,,,1.0,2.0,1.0,3.0,,,,1.0,1.0,2.0,,3.0,,,,,,,1.0,timowerner,,,,
10388339,home,RB Leipzig,Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,48863,M,769333,EUR,879465600,F,18,18,False,22.0,19.0,,,2.0,2.0,21.0,1.0,10.0,,,,,90.0,45.0,8.3,9.0,0.3216,0.2463,0.937289,3,,,,18.0,1.0,1.0,1.0,4.0,6.0,4.0,1.0,1.0,,,,3.0,5.0,,,,,1.0,1.0,,4.0,,Nkunku,1.0,2.0,1.0,
