match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,captain,stat_shotOffTarget,stat_ownGoals,stat_shotValueNormalized,stat_dispossessed,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
14073449,home,Leyton Orient,Killian Cahill,,,killian-cahill,K. Cahill,G,33,182.0,101,M,1092408,EUR,1067817600.0,G,33,33,False,28.0,20.0,14.0,6.0,0.0,16.0,16.0,4.0,12.0,6.0,2.0,2.0,90.0,34.0,6.6,8.0,0.1308,0,0.06,-0.01,-0.07,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073449,home,Leyton Orient,Michael Craig,,,michael-craig,M. Craig,D,14,179.0,51,M,1108936,EUR,1050451200.0,D,14,14,False,44.0,34.0,4.0,2.0,0.0,20.0,21.0,14.0,23.0,4.0,,,90.0,63.0,6.2,16.0,,0,-0.05,0.07,-0.32,,1.0,1.0,3.0,8.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
14073449,home,Leyton Orient,Rarmani Edmonds-Green,,,rarmani-edmonds-green,R. Edmonds-Green,D,18,181.0,98,M,943073,EUR,916272000.0,D,18,18,False,57.0,47.0,9.0,4.0,0.0,28.0,29.0,19.0,28.0,1.0,,,90.0,76.0,8.1,10.0,,0,0.2,0.08,0.17,,,1.0,5.0,3.0,10.0,1.0,,9.0,1.0,1.0,,,1.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,
14073449,home,Leyton Orient,Jack Simpson,,,jack-simpson,J. Simpson,D,4,190.0,44,M,830250,EUR,852681600.0,D,4,4,False,57.0,48.0,14.0,9.0,0.0,29.0,29.0,19.0,28.0,2.0,,,90.0,67.0,6.3,10.0,,1,0.02,0.06,-0.69,,,2.0,,4.0,1.0,2.0,,2.0,,,,1.0,,,1.0,1.0,1.0,True,1.0,1.0,-0.17,,,,,,,,,,,,
14073449,home,Leyton Orient,Charlie Wellens,,,charlie-wellens,C. Wellens,M,25,175.0,81,M,1014468,EUR,1039046400.0,D,25,25,False,19.0,15.0,4.0,2.0,0.0,12.0,12.0,3.0,7.0,3.0,,,74.0,44.0,7.2,9.0,,3,-0.11,0.21,0.59,,1.0,1.0,,3.0,2.0,,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,-0.33,1.0,3.0,,,,,,,,,,
14073449,home,Leyton Orient,Tyreeq Bakinson,,,tyreeq-bakinson,T. Bakinson,M,15,185.0,31,M,839831,EUR,884217600.0,M,15,15,False,53.0,43.0,7.0,4.0,0.0,18.0,19.0,25.0,34.0,11.0,,,90.0,71.0,7.5,11.0,,0,0.34,0.33,0.48,,1.0,,1.0,2.0,5.0,,,3.0,3.0,3.0,2.0,,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,
14073449,home,Leyton Orient,Joe White,,,joe-white,J. White,M,30,186.0,208,M,994550,EUR,1033430400.0,M,30,30,False,29.0,25.0,4.0,2.0,0.0,9.0,9.0,16.0,20.0,3.0,,,59.0,42.0,6.8,10.0,,0,0.27,0.15,0.15,,5.0,,,4.0,1.0,,,1.0,,,,1.0,2.0,,,,1.0,,,,,2.0,,2.0,2.0,,,,,,,,
14073449,home,Leyton Orient,Demetri Mitchell,,,demetri-mitchell,D. Mitchell,M,11,180.0,132,M,548196,EUR,852940800.0,M,11,11,False,22.0,18.0,2.0,1.0,0.0,5.0,6.0,13.0,16.0,4.0,,,68.0,43.0,7.2,11.0,,4,-0.06,0.06,0.47,,1.0,1.0,1.0,5.0,4.0,,4.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,,3.0,,-0.54,1.0,1.0,,,1.0,1.0,,,,,,
14073449,home,Leyton Orient,Jack Moorhouse,Jack,Moorhouse,jack-lee-moorhouse,J. Moorhouse,M,8,184.0,1197,M,1533758,EUR,1133222400.0,M,21,21,False,14.0,11.0,,,0.0,4.0,4.0,7.0,10.0,3.0,,,90.0,30.0,5.9,12.0,,2,-0.14,0.33,-0.18,,1.0,2.0,,9.0,1.0,2.0,3.0,,,,,3.0,1.0,,,,,,,,-0.38,2.0,,2.0,,1.0,,2.0,,,,,
14073449,home,Leyton Orient,Lemar Gordon,,,lemar-gordon,L. Gordon,F,23,180.0,21,M,1467709,EUR,1132185600.0,M,23,23,False,14.0,13.0,,,0.0,3.0,3.0,10.0,11.0,4.0,,,69.0,34.0,6.6,10.0,,1,0.07,0.3,0.13,,3.0,4.0,1.0,10.0,6.0,,3.0,,,1.0,1.0,4.0,2.0,,,,3.0,,,,-0.31,2.0,1.0,1.0,2.0,1.0,,,,,,,
14073449,home,Leyton Orient,Azeem Abdulai,,,azeem-abdullah,A. Abdulai,M,22,183.0,82,M,1102362,EUR,1039392000.0,F,22,22,False,11.0,7.0,,,0.0,1.0,1.0,6.0,10.0,3.0,,,90.0,28.0,7.0,13.0,,1,0.34,0.26,0.13,,,,,4.0,3.0,,1.0,,,1.0,1.0,5.0,,,,,2.0,,1.0,,-0.13,3.0,,2.0,,,,,1.0,,,,
14073449,home,Leyton Orient,Zech Obiero,Zech Obiero,,zech-obiero,Z. Obiero,M,32,170.0,105,M,1133503,EUR,1138320000.0,M,29,29,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,10.0,4.0,6.7,,,0,0.01,0.0,0.16,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14073449,home,Leyton Orient,Ollie O'Neill,,,oneill-ollie,O. O'Neill,M,7,185.0,106,M,1005708,EUR,1041984000.0,M,7,7,True,6.0,4.0,,,0.0,1.0,1.0,3.0,5.0,1.0,,,22.0,13.0,6.5,6.0,,0,0.21,0.07,-0.06,,3.0,1.0,1.0,4.0,2.0,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,
14073449,home,Leyton Orient,Tayo Adaramola,,,tayo-adaramola,T. Adaramola,M,45,177.0,230,M,1005686,EUR,1068681600.0,D,3,3,True,12.0,8.0,1.0,,0.0,4.0,5.0,4.0,7.0,2.0,,,21.0,25.0,6.3,10.0,,1,0.01,0.33,-0.18,,1.0,1.0,,2.0,,,1.0,,,,,3.0,,,,,,,1.0,,-0.56,,,,,,1.0,,,,,,
14073449,home,Leyton Orient,Diallang Jaiyesimi,,,diallang-jaiyesimi,D. Jaiyesimi,M,7,181.0,35,M,893095,EUR,894412800.0,M,27,27,True,5.0,4.0,1.0,,0.0,3.0,3.0,1.0,2.0,2.0,,,21.0,12.0,6.4,5.0,,0,-0.04,0.12,-0.02,,2.0,1.0,,3.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,
14073449,home,Leyton Orient,Sonny Perkins,Sonny Perkins,,sonny-perkins,S. Perkins,M,20,186.0,200,M,1142344,EUR,1076371200.0,F,20,20,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,,,,16.0,6.0,6.3,3.0,,1,-0.1,0.1,0.13,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,-0.51,,,1.0,,,,,,,,,
14073449,home,Leyton Orient,Tommy Simkin,,,simkin-tommy,T. Simkin,G,25,190.0,110,M,1143932,EUR,1102464000.0,G,1,1,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073449,home,Leyton Orient,Brandon Cooper,,,brandon-cooper,B. Cooper,D,15,185.0,28,M,910585,EUR,947808000.0,D,6,6,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073449,home,Leyton Orient,Zack Hambury,Zack Hambury,,zack-hambury,Z. Hambury,M,35,,8,M,2031668,EUR,1189987200.0,M,35,35,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
