match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_totalClearance,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_outfielderBlock,stat_wonTackle,player_firstName,player_lastName,stat_challengeLost,stat_blockedScoringAttempt,stat_totalOffside,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_errorLeadToAShot
11540867,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,28.0,26.0,3.0,1.0,0.0,25.0,25.0,1.0,3.0,10.0,1.0,2.0,2.0,1.0,1.0,90.0,37.0,6.9,2.0,0.0004481,0,0.0928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540867,home,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185,4087,M,,138152,EUR,784425600,D,23,23,False,,59.0,50.0,7.0,3.0,0.0,23.0,25.0,27.0,34.0,8.0,,,,,,90.0,79.0,6.9,12.0,0.012705,2,,1.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0826,1.0,,,,,,,,,,,,,,,,,,,
11540867,home,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187,2642,M,Nelsson,846148,EUR,908323200,D,25,25,False,,48.0,43.0,4.0,3.0,0.0,33.0,36.0,10.0,12.0,2.0,,,,,,74.0,55.0,6.7,5.0,0.00465248,0,,2.0,3.0,3.0,4.0,,,1.0,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,
11540867,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,86.0,77.0,7.0,3.0,0.0,46.0,49.0,31.0,37.0,7.0,,,,,,90.0,94.0,6.8,12.0,0.0180684,0,,3.0,4.0,4.0,4.0,,,,,,2.0,,,3.0,3.0,,,,,,,,,,,,,,,,,
11540867,home,Galatasaray,Derrick Köhn,derrick-kohn,D. Köhn,D,39,180,1915,M,,886737,EUR,918086400,D,17,17,False,,53.0,48.0,,,0.0,18.0,20.0,32.0,40.0,2.0,,,,,,90.0,78.0,7.3,14.0,0.261327,1,,,2.0,3.0,6.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0172,1.0,1.0,3.0,7.0,2.0,1.0,3.0,,,,,,,,,,,,,
11540867,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,111.0,103.0,2.0,1.0,0.0,42.0,43.0,61.0,68.0,10.0,,,,,,82.0,121.0,7.2,8.0,0.0540904,1,,2.0,2.0,4.0,6.0,,1.0,2.0,2.0,2.0,,0.0572,1.0,1.0,,,,,1.0,,,2.0,,,,,,,,,,
11540867,home,Galatasaray,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185,2104,M,,142619,EUR,741657600,M,8,8,False,,55.0,48.0,2.0,1.0,0.0,17.0,18.0,31.0,37.0,4.0,,,,,,74.0,66.0,7.2,8.0,0.0605755,3,,1.0,2.0,5.0,4.0,,2.0,1.0,1.0,1.0,2.0,0.2095,1.0,,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,
11540867,home,Galatasaray,Hakim Ziyech,hakim-ziyech,H. Ziyech,M,30,181,61036,M,HZiyech,249437,EUR,732499200,M,22,22,False,,52.0,37.0,5.0,2.0,0.0,10.0,10.0,28.0,47.0,1.0,,,,,,82.0,77.0,9.2,25.0,0.102809,5,,1.0,,5.0,6.0,2.0,1.0,,4.0,1.0,,0.4093,4.0,,2.0,5.0,1.0,,,,,1.0,,,2.0,1.0,4.0,2.0,1.2972,,,
11540867,home,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169,10127,M,driesmertens,32493,EUR,547257600,M,10,10,False,,45.0,37.0,5.0,3.0,1.0,12.0,13.0,26.0,36.0,6.0,,,,,,74.0,64.0,9.3,15.0,0.418122,4,,,,3.0,1.0,,1.0,1.0,,1.0,,0.8667,2.0,,1.0,4.0,1.0,1.0,,,,2.0,1.0,,1.0,,2.0,2.0,1.3071,1.0,,
11540867,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13210,M,barisalperyilmaz,904096,EUR,959040000,M,53,53,False,,35.0,28.0,,,2.0,8.0,9.0,20.0,28.0,4.0,,,,,,90.0,49.0,8.1,14.0,0.464194,0,,2.0,1.0,6.0,4.0,2.0,,1.0,2.0,1.0,1.0,,2.0,,2.0,2.0,,,2.0,,,,,,1.0,,,,,2.0,,
