match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_keyPass,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_fouls,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_wasFouled,captain,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals,stat_bigChanceMissed,stat_hitWoodwork
10583838,home,Al-Ettifaq,Paulo Victor,,,paulo-victor,P. Victor,G,48,187.0,212,M,34142,EUR,537408000.0,G,48,48,False,25.0,22.0,8.0,5.0,21.0,21.0,1.0,4.0,1.0,9.0,1.0,2.0,1.0,90.0,34.0,6.4,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583838,home,Al-Ettifaq,Saeed Almuwallad,,,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,872205,EUR,668476800.0,D,2,2,False,49.0,43.0,3.0,1.0,26.0,27.0,18.0,28.0,2.0,7.0,,,,90.0,69.0,7.1,14.0,0,1.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
10583838,home,Al-Ettifaq,Marcel Tisserand,,,marcel-tisserand,M. Tisserand,D,32,190.0,461,M,338651,EUR,726624000.0,D,32,32,False,52.0,47.0,8.0,4.0,37.0,38.0,10.0,14.0,4.0,7.0,,,,90.0,62.0,6.6,5.0,0,,,,1.0,2.0,,,,4.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,
10583838,home,Al-Ettifaq,Darko Velkovski,,,darko-velkovski,D. Velkovski,D,24,188.0,155,M,156990,EUR,803692800.0,D,14,14,False,33.0,32.0,3.0,3.0,28.0,29.0,4.0,5.0,3.0,2.0,,,,45.0,39.0,6.3,2.0,0,,1.0,,1.0,5.0,,,,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
10583838,home,Al-Ettifaq,Alhwsawi Sanousi Mohammed,Alhwsawi Sanousi Mohammed,,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200.0,D,12,12,False,33.0,26.0,2.0,1.0,16.0,19.0,10.0,14.0,4.0,5.0,,,,66.0,45.0,6.5,9.0,1,,,,1.0,3.0,1.0,,1.0,,,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
10583838,home,Al-Ettifaq,Ali Hazazi,,,ali-hazazi,A. Hazazi,M,11,185.0,62,M,818699,EUR,761529600.0,M,11,11,False,29.0,24.0,4.0,3.0,11.0,13.0,13.0,16.0,1.0,3.0,,,,79.0,43.0,6.7,8.0,0,,,,2.0,6.0,1.0,,1.0,1.0,1.0,1.0,5.0,2.0,,,3.0,2.0,1.0,2.0,1.0,,,,,,,,
10583838,home,Al-Ettifaq,Berat Ayberk Özdemir,,,berat-ayberk-ozdemir,B. A. Özdemir,M,2,187.0,216,M,876857,EUR,895881600.0,M,98,98,False,46.0,39.0,13.0,9.0,15.0,16.0,24.0,30.0,5.0,1.0,,,,90.0,62.0,7.0,9.0,2,,,,1.0,3.0,,,1.0,,,1.0,6.0,2.0,,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,
10583838,home,Al-Ettifaq,Mohammed Al-Kuwaykibi,,,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400.0,M,7,7,False,40.0,31.0,2.0,1.0,12.0,13.0,19.0,31.0,,4.0,,,,90.0,53.0,6.7,16.0,1,,4.0,,,2.0,,,1.0,,,,,,,1.0,,,,2.0,,,,True,,,,,
10583838,home,Al-Ettifaq,Vitinho,,,vitinho,Vitinho,F,11,178.0,3973,M,242054,EUR,750124800.0,M,27,27,False,34.0,30.0,2.0,2.0,10.0,10.0,20.0,25.0,,7.0,,,,90.0,51.0,6.8,13.0,4,,1.0,,,5.0,,,,,1.0,,4.0,,2.0,4.0,,,5.0,6.0,3.0,,1.0,,,,,,
10583838,home,Al-Ettifaq,Naïm Sliti,Naïm,Sliti,naim-sliti,N. Sliti,M,5,173.0,1348,M,153158,EUR,712195200.0,M,10,10,False,23.0,18.0,1.0,1.0,5.0,7.0,13.0,19.0,,5.0,,,,90.0,44.0,6.4,15.0,1,,3.0,,2.0,9.0,1.0,,,2.0,1.0,,5.0,1.0,3.0,,,,3.0,4.0,2.0,,3.0,,1.0,1.0,,,
