match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_fouls,stat_keyPass,stat_aerialLost,stat_interceptionWon,captain,stat_challengeLost,player_lastName,stat_totalContest,stat_wonContest,stat_ownGoals,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_accurateKeeperSweeper,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed
14771941,home,Al-Hazem,Bruno Varela,bruno-varela,B. Varela,G,14,191.0,625,M,138895,EUR,783907200,G,14,14,False,27.0,16.0,17.0,6.0,0.0,11.0,12.0,5.0,15.0,12.0,1.0,1.0,2.0,1.0,90.0,36.0,5.7,14.0,0.00160639,22.43510789198,3.0,7.98,6.825,0.4548,0,-1.9119,0.05,0.0,-0.55,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771941,home,Al-Hazem,Saud Al Rashed,saud-al-rashed,S. A. Rashed,D,2,180.0,12,M,1549236,EUR,895363200,D,2,2,False,36.0,24.0,8.0,1.0,0.0,8.0,10.0,16.0,26.0,7.0,1.0,,,,90.0,57.0,5.2,17.0,0.0470401,63.030971765925,8.0,15.54,10.185,,0,,0.11,-0.04,-1.0,,Saud Al Rashed,2.0,1.0,1.0,3.0,5.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14771941,home,Al-Hazem,Sultan Tanker,sultan-tanker,S. Tanker,D,4,184.0,36,M,1520833,EUR,904608000,D,4,4,False,32.0,25.0,6.0,2.0,0.0,19.0,22.0,6.0,10.0,5.0,1.0,,,,90.0,51.0,6.1,8.0,0.00168079,28.357957263683,4.0,27.405,13.965,,0,,0.02,0.02,-0.46,,Sultan Tanker,,,1.0,1.0,4.0,,8.0,1.0,3.0,2.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
14771941,home,Al-Hazem,Abdurahman Al-Dakheel,abdurahman-al-dakheel,A. Al-Dakheel,D,34,184.0,18,M,948601,EUR,833068800,D,34,34,False,33.0,29.0,7.0,5.0,0.0,24.0,26.0,5.0,7.0,7.0,1.0,,,,90.0,46.0,5.4,5.0,0.0018603,66.265272264737,9.0,31.08,22.575,,0,,0.12,0.03,-0.86,,,,,,5.0,1.0,,5.0,,1.0,,,3.0,,,3.0,True,2.0,,,,,,,,,,,,,,,,,,,,
14771941,home,Al-Hazem,Ahmed Al-Nakhli,ahmed-al-nakhli,A. Al-Nakhli,D,27,173.0,26,M,1048834,EUR,1024704000,D,27,27,False,26.0,21.0,4.0,1.0,0.0,17.0,18.0,4.0,8.0,3.0,,,,,90.0,45.0,4.7,11.0,0.0846777,46.00697238466,4.0,22.26,22.05,,0,,0.16,0.12,-1.0,,Ahmed Al-Nakhli,3.0,1.0,,6.0,3.0,3.0,1.0,,1.0,,,2.0,,2.0,2.0,,,,1.0,1.0,1.0,1.0,24.86500681681,1.0,,,,,,,,,,,,,
14771941,home,Al-Hazem,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190.0,105,M,954812,EUR,903052800,M,32,32,False,49.0,44.0,2.0,2.0,0.0,27.0,28.0,17.0,21.0,8.0,,,,,90.0,65.0,6.8,8.0,0.0169731,135.23003504566,17.0,47.985,28.56,,1,,0.09,0.13,-0.1,,,1.0,,1.0,3.0,6.0,1.0,,,2.0,2.0,,2.0,,,3.0,,,,3.0,3.0,,,31.81033894821,1.0,1.0,0.0185,-0.16,,,,,,,,,,
14771941,home,Al-Hazem,Elias Mokwana,mokwana-elias,E. Mokwana,M,17,175.0,974,M,1394459,EUR,932860800,M,17,17,False,19.0,16.0,1.0,1.0,0.0,5.0,5.0,11.0,14.0,5.0,6.0,,,,68.0,35.0,6.0,10.0,0.0211628,119.95021811511,8.0,87.78,34.86,,2,,0.14,0.28,-0.27,,,,,,7.0,1.0,,2.0,,1.0,,,2.0,,,2.0,,4.0,,1.0,,,,89.032603886599,4.0,2.0,0.1105,-0.36,1.0,,,,,,,,,
14771941,home,Al-Hazem,Miguel Carvalho,miguel-carvalho,M. Carvalho,M,80,183.0,158,M,1184312,EUR,1110326400,M,80,80,False,35.0,28.0,4.0,2.0,0.0,17.0,21.0,11.0,14.0,3.0,,,,,62.0,43.0,6.5,8.0,0.0376621,108.5016421566,11.0,42.63,18.27,,0,,0.05,0.09,-0.08,,Miguel Carvalho,,,,1.0,1.0,,,,,,,,2.0,,2.0,,,,2.0,1.0,,,36.943150352562,2.0,,,,,,,,,,,,,
14771941,home,Al-Hazem,Basil Yousef Al-Sayyali,basil-yousef-al-sayyali,B. Y. Al-Sayyali,M,20,171.0,50,M,1066584,EUR,993168000,M,6,6,False,26.0,23.0,5.0,4.0,0.0,9.0,9.0,14.0,17.0,6.0,1.0,,,,68.0,33.0,7.0,4.0,0.0123714,164.61114165284,18.0,30.345,26.145,,0,,0.16,0.15,-0.07,,Basil Yousef Al-Sayyali,,,,,3.0,,,1.0,,,,,,,,,,,1.0,1.0,,2.0,26.791045686945,1.0,,,,,,,,,,,,,
14771941,home,Al-Hazem,Nawaf Al-Habashi,nawaf-al-habashi,N. Al-Habashi,M,19,184.0,28,M,954528,EUR,898560000,M,19,19,False,11.0,8.0,2.0,1.0,0.0,1.0,2.0,7.0,9.0,3.0,1.0,,,,62.0,18.0,6.5,5.0,0.0593756,111.90376559367,7.0,83.055,40.32,,1,,0.03,0.36,-0.1,,,,,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,,77.237202387803,3.0,1.0,0.0644,0.0,2.0,,,,,,,,,
