match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalContest,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,captain,stat_aerialLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goals,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim
12764152,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6863,M,gregorkobel,556866,EUR,881366400,G,1,1,False,21.0,14.0,9.0,2.0,0.0,12.0,14.0,2.0,7.0,1.0,1.0,7.0,1.0,1.0,1.0,90.0,24.0,6.0,8.0,0.0010853,0,-0.6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764152,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3457,M,,800951,EUR,879724800,D,26,26,False,42.0,36.0,2.0,1.0,0.0,25.0,26.0,16.0,26.0,6.0,2.0,5.0,,,,90.0,68.0,7.8,11.0,0.515918,0,,10.0,5.0,1.0,7.0,6.0,2.0,1.0,1.0,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,,
12764152,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5008,M,emrecan23,138156,EUR,758332800,D,23,23,False,80.0,73.0,7.0,2.0,0.0,54.0,55.0,19.0,25.0,5.0,1.0,6.0,,,,90.0,94.0,6.9,8.0,0.0105917,0,,,,1.0,5.0,2.0,1.0,,2.0,3.0,3.0,,,,True,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
12764152,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10365,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,79.0,70.0,9.0,5.0,0.0,38.0,41.0,32.0,38.0,3.0,,9.0,,,,90.0,101.0,7.4,12.0,0.026221,1,,,,,4.0,,,,2.0,3.0,,1.0,,,,1.0,2.0,4.0,1.0,,1.0,1.0,0.0501,0.0333,,,,,,,
12764152,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29095,M,rbens,577726,EUR,797990400,D,5,5,False,50.0,44.0,1.0,,0.0,22.0,25.0,22.0,26.0,5.0,3.0,9.0,,,,89.0,70.0,7.5,11.0,0.0295316,2,,1.0,,,2.0,1.0,2.0,,3.0,,,,,,,1.0,1.0,3.0,,1.0,2.0,,0.6593,0.5449,1.0,1.0,,,,,
12764152,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,M,27,27,False,20.0,9.0,1.0,,1.0,5.0,8.0,4.0,12.0,7.0,5.0,6.0,,,,64.0,37.0,7.0,18.0,0.0298635,1,,,,1.0,6.0,1.0,3.0,1.0,,2.0,2.0,1.0,,,,,3.0,,,1.0,,,0.056,,,2.0,1.0,,,,
12764152,home,Borussia Dortmund,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8472,M,marcel7sabitzer,133908,EUR,763862400,M,20,20,False,37.0,31.0,3.0,,0.0,18.0,20.0,13.0,18.0,1.0,,7.0,,,,90.0,45.0,6.5,7.0,0.00953732,1,,1.0,,2.0,2.0,1.0,,,2.0,,,,,,,,,2.0,,,,,0.0408,,,,1.0,,,,
12764152,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9486,M,julianbrandt,226978,EUR,830995200,M,10,10,False,23.0,20.0,1.0,1.0,1.0,8.0,9.0,12.0,14.0,1.0,,2.0,,,,64.0,30.0,7.3,4.0,0.043833,1,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,,0.0377,,,,1.0,,,,
12764152,home,Borussia Dortmund,Jamie Gittens,jamie-bynoe-gittens,J. Gittens,M,11,178,24000,M,jbgittens,1140599,EUR,1091923200,M,43,43,False,29.0,24.0,,,0.0,10.0,13.0,15.0,19.0,8.0,11.0,4.0,,,,85.0,60.0,7.7,17.0,0.227207,2,,3.0,1.0,,10.0,1.0,6.0,1.0,2.0,,,1.0,,,,,1.0,,,1.0,1.0,4.0,0.1155,0.5232,,2.0,1.0,,,,
12764152,home,Borussia Dortmund,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4892,M,,980628,EUR,1034812800,F,14,14,False,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,8.0,,,,,,45.0,13.0,6.5,4.0,0.00889829,2,,,,1.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,3.0,,,4.0,,,0.1503,,,,1.0,1.0,1.0,,
