match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,player_sofascoreId,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,captain,stat_goalAssist,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_errorLeadToAGoal,stat_punches,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed
10408415,home,Rayo Vallecano,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188,843,M,97951,EUR,756777600,G,1,1,False,22.0,12.0,11.0,1.0,11.0,13.0,1.0,9.0,2.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,90.0,32.0,6.4,10.0,0.0,0.0,0.00013385,0,-0.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408415,home,Rayo Vallecano,Iván Balliu,,,ivan-balliu,I. Balliu,D,20,175,688,M,152446,EUR,694224000,D,20,20,False,45.0,34.0,2.0,1.0,16.0,20.0,18.0,29.0,3.0,6.0,3.0,,,,,,90.0,62.0,6.3,16.0,0.0,0.0,0.0107816,0,,4.0,1.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10408415,home,Rayo Vallecano,Florian Lejeune,,,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,19,19,False,35.0,26.0,8.0,3.0,17.0,19.0,9.0,16.0,1.0,2.0,,,,,,,62.0,36.0,5.5,9.0,0.0,0.0,0.00302031,0,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10408415,home,Rayo Vallecano,Alejandro Catena,,,alejandro-catena,A. Catena,D,24,194,940,M,900792,EUR,783302400,D,5,5,False,60.0,52.0,8.0,5.0,25.0,28.0,27.0,32.0,4.0,6.0,,,,,,,72.0,67.0,6.7,9.0,0.0632,0.0,0.0143548,1,,,,2.0,1.0,,1.0,1.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
10408415,home,Rayo Vallecano,Fran García,,,fran-garcia,F. Garcia,D,20,170,66463,M,851271,EUR,934588800,D,3,3,False,69.0,60.0,6.0,1.0,21.0,22.0,41.0,54.0,3.0,7.0,2.0,1.0,,,,,90.0,95.0,7.4,17.0,0.0139,0.4317,0.0517525,1,,7.0,,1.0,,1.0,2.0,1.0,,,,,,frangarci11,2.0,1.0,1.0,2.0,,,,,,,,,,,
10408415,home,Rayo Vallecano,Santi Comesaña,,,santi-comesana,S. Comesaña,M,14,187,1066,M,843678,EUR,844473600,M,6,6,False,68.0,53.0,7.0,5.0,12.0,14.0,41.0,54.0,7.0,6.0,,,,,,,90.0,83.0,7.7,19.0,0.1005,0.0,0.139601,2,,,2.0,4.0,,,3.0,1.0,1.0,,1.0,,,,,,,3.0,True,1.0,1.0,6.0,6.0,2.0,,,,,
10408415,home,Rayo Vallecano,Óscar Valentín,,,oscar-valentin,Ó. Valentín,M,23,177,443,M,900008,EUR,777340800,M,23,23,False,59.0,52.0,5.0,2.0,20.0,22.0,32.0,37.0,2.0,8.0,,1.0,,,,,90.0,65.0,6.8,7.0,0.0499,0.0448,0.0237649,1,,,1.0,2.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,
10408415,home,Rayo Vallecano,Isi Palazón,,,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,28.0,24.0,,,5.0,5.0,21.0,28.0,6.0,3.0,3.0,1.0,,,,,57.0,45.0,7.0,10.0,0.0191,0.0,0.102928,1,,5.0,2.0,5.0,1.0,,1.0,,,,,,1.0,,2.0,,,1.0,,,1.0,3.0,2.0,1.0,,,,,
10408415,home,Rayo Vallecano,Unai López,,,unai-lopez,U. López,M,17,169,518,M,588566,EUR,815011200,M,17,17,False,52.0,47.0,4.0,2.0,15.0,17.0,32.0,39.0,2.0,6.0,,,,,,,57.0,61.0,6.7,10.0,0.018,0.0,0.0756774,1,,4.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,2.0,2.0,,,,,,
10408415,home,Rayo Vallecano,Álvaro García,,,alvaro-garcia,Á. García,M,18,168,1132,M,345111,EUR,720144000,M,18,18,False,21.0,14.0,1.0,,5.0,6.0,10.0,19.0,1.0,9.0,1.0,,,,,,83.0,40.0,5.9,14.0,0.0532,0.0,0.0726001,2,,4.0,,4.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,1.0,2.0,,2.0,1.0,,,,
