match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_totalContest,stat_goals,stat_fouls,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_shotOffTarget,stat_penaltyWon,stat_keyPass,stat_wonContest,captain,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_lastManTackle,stat_penaltyConceded
12451031,home,RC Strasbourg,Karl-Johan Johnsson,karl-johan-johnsson,K. Johnsson,G,1,187.0,304,M,,40973,EUR,633484800,G,30,30,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Eduard Sobol,eduard-sobol,E. Sobol,D,23,186.0,579,M,,186017,EUR,798336000,D,77,77,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Junior Mwanga,junior-mwanga,J. Mwanga,M,18,184.0,472,M,,1197153,EUR,1052611200,M,18,18,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Pape Diong,daouda-diongu,P. Diongu,M,6,193.0,841,M,,1536782,EUR,1150329600,M,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Pape Diong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Abdoul Ouattara,abdoul-ouattara,A. Ouattara,M,42,180.0,1131,M,,1930811,EUR,1129939200,F,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Óscar Perea,oscar-perea,Ó. Perea,F,14,174.0,1176,M,,1185986,EUR,1127779200,F,20,20,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,Óscar,Perea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,away,RC Lens,Brice Samba,brice-samba,B. Samba,G,30,186.0,2098,M,,164055,EUR,767232000,G,30,30,False,39.0,35.0,11.0,7.0,0.0,31.0,33.0,4.0,6.0,,9.0,2.0,1.0,3.0,,90.0,50.0,7.1,4.0,0.00241593,0,0.5009,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,1.0,1.0,1.0,,,
12451031,away,RC Lens,Malang Sarr,malang-sarr,M. Sarr,D,20,182.0,2159,M,,826203,EUR,917049600,D,20,20,False,64.0,54.0,7.0,4.0,0.0,34.0,38.0,20.0,27.0,,2.0,,,,,90.0,77.0,6.7,14.0,0.238217,1,,,2.0,,3.0,2.0,0.0234,,,,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,
12451031,away,RC Lens,Abdukodir Khusanov,abdukodir-khusanov,A. Khusanov,D,45,186.0,85407,M,abdukodir_khusanov,1194333,EUR,1078012800,D,25,25,False,51.0,49.0,6.0,5.0,0.0,34.0,35.0,15.0,16.0,6.0,9.0,,,,,90.0,67.0,7.1,3.0,0.0110265,0,,2.0,4.0,,3.0,,,,,,,,3.0,3.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
12451031,away,RC Lens,Facundo Medina,facundo-medina,F. Medina,D,32,184.0,4462,M,,860307,EUR,927849600,D,14,14,False,74.0,65.0,11.0,4.0,0.0,40.0,43.0,25.0,32.0,3.0,3.0,,,,,90.0,84.0,6.4,10.0,0.0209222,0,,1.0,4.0,,1.0,,,,,,,3.0,3.0,6.0,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
