match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_fouls,stat_accurateCross,stat_wasFouled,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_clearanceOffLine,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_blockedScoringAttempt,stat_wonContest,stat_totalOffside,stat_goodHighClaim,stat_bigChanceMissed,stat_bigChanceCreated,stat_hitWoodwork
12904880,home,AFC Ajax,Remko Pasveer,remko-pasveer,R. Pasveer,G,22,186,801,M,2622,EUR,437097600,G,22,22,False,22.0,20.0,5.0,3.0,0.0,19.0,19.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,90.0,30.0,6.5,2.0,0.0002448,0,-1.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12904880,home,AFC Ajax,Anton Gaaei,anton-gaaei,A. Gaaei,D,3,183,906,M,1120315,EUR,1037664000,D,3,3,False,38.0,31.0,2.0,1.0,0.0,15.0,15.0,16.0,28.0,1.0,,2.0,,2.0,1.0,,,,,90.0,61.0,6.9,15.0,0.0185925,1,,,,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.017,0.1225,,,,,,,,,,,,,,,,,,,
12904880,home,AFC Ajax,Josip Šutalo,josip-sutalo,J. Šutalo,D,37,190,4308,M,954836,EUR,951696000,D,37,37,False,122.0,117.0,2.0,1.0,0.0,64.0,66.0,53.0,56.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,90.0,128.0,7.0,5.0,0.0516232,0,,,,,1.0,,,2.0,3.0,,,,josip.sutalo,1.0,,,,,,,,,,,,,,,,,
12904880,home,AFC Ajax,Youri Baas,youri-baas,Y. Baas,D,15,182,1216,M,1000228,EUR,1047859200,D,15,15,False,145.0,131.0,5.0,2.0,0.0,67.0,71.0,65.0,75.0,,2.0,2.0,3.0,5.0,3.0,,,,,90.0,155.0,6.8,16.0,0.0700955,0,,,,1.0,1.0,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
12904880,home,AFC Ajax,Jorrel Hato,jorrel-hato,J. Hato,D,21,182,15501,M,1153079,EUR,1141689600,D,4,4,False,56.0,52.0,,,0.0,27.0,29.0,25.0,28.0,,3.0,5.0,8.0,,1.0,,,,,90.0,79.0,8.0,10.0,0.160607,1,,,,1.0,1.0,,,2.0,2.0,1.0,0.0506,,,1.0,,,1.0,2.0,1.0,1.0,5.0,4.0,1.0,,,,,,,,
12904880,home,AFC Ajax,Kian Fitz-Jim,kian-fitz-jim,K. Fitz-Jim,M,28,173,1158,M,1001945,EUR,1057363200,M,28,28,False,21.0,14.0,3.0,,0.0,6.0,6.0,9.0,17.0,2.0,1.0,4.0,4.0,1.0,4.0,,,,,61.0,34.0,6.7,9.0,0.0510033,1,,,,2.0,1.0,,,1.0,1.0,1.0,0.0202,,,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,,,,
12904880,home,AFC Ajax,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6342,M,42694,EUR,645580800,M,6,6,False,75.0,67.0,8.0,6.0,0.0,24.0,25.0,43.0,52.0,,,1.0,3.0,2.0,4.0,,,,,90.0,87.0,7.6,10.0,0.271433,2,,,,2.0,,,,1.0,,,0.0874,,jordanhenderson,1.0,,,,,1.0,,3.0,2.0,1.0,True,1.0,,,,,,
12904880,home,AFC Ajax,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3631,M,959806,EUR,1021507200,M,8,8,False,32.0,25.0,4.0,2.0,0.0,8.0,9.0,18.0,24.0,,,9.0,,1.0,3.0,,,,,85.0,46.0,6.4,12.0,0.154651,0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,4.0,1.0,,2.0,2.0,,,,,2.0,,,,,,,,
12904880,home,AFC Ajax,Bertrand Traoré,bertrand-traore,B. Traoré,F,25,180,34487,M,218160,EUR,810345600,F,20,20,False,18.0,14.0,1.0,1.0,0.0,2.0,2.0,12.0,16.0,,,1.0,3.0,1.0,1.0,,,,,61.0,26.0,6.9,6.0,0.0423987,1,,,,,,,,,,1.0,0.1661,,bertrandtraore10,,,1.0,,2.0,,,1.0,1.0,,,1.0,1.0,,,,,
12904880,home,AFC Ajax,Wout Weghorst,wout-weghorst,W. Weghorst,F,25,197,6772,M,252215,EUR,713145600,F,25,25,False,20.0,18.0,1.0,1.0,0.0,5.0,5.0,13.0,16.0,,2.0,3.0,2.0,,4.0,,,,,74.0,24.0,6.8,4.0,0.0452408,1,,,,1.0,,,,,,,0.0607,,wout.weghorst,2.0,,,,1.0,1.0,,,,,,,,,,,,
