match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_errorLeadToAGoal,captain,stat_goals,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_hitWoodwork
14572780,home,FCSB,Ștefan Târnovanu,stefan-tarnovanu,Ș. Târnovanu,G,32,197,1736,M,914414,EUR,957830400,G,32,32,False,28.0,18.0,20.0,10.0,0.0,13.0,16.0,5.0,12.0,1.0,3.0,2.0,11.0,1.0,3.0,6.0,2.0,90.0,44.0,8.3,11.0,0.00137177,1.0217,0,-0.2266,0.07,-0.01,-0.11,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572780,home,FCSB,Alexandru Pantea,alexandru-pantea,A. Pantea,D,28,172,327,M,1033266,EUR,1063238400,D,28,28,False,30.0,19.0,9.0,1.0,0.0,12.0,17.0,7.0,13.0,1.0,2.0,3.0,1.0,1.0,,,,90.0,50.0,6.1,12.0,0.111374,,0,,0.21,-0.15,-0.34,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14572780,home,FCSB,Siyabonga Ngezana,siyabonga-ngezana,S. Ngezana,D,30,188,1241,M,905541,EUR,868924800,D,30,30,False,42.0,38.0,4.0,3.0,0.0,35.0,36.0,3.0,6.0,,5.0,5.0,6.0,3.0,,,,90.0,62.0,6.8,8.0,0.00263345,,1,,-0.01,0.04,0.14,,,,,,4.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0313,0.0648,-0.1,,,,,,,,,,
14572780,home,FCSB,Mihai Lixandru,lixandru-mihai,M. Lixandru,M,16,184,359,M,1129974,EUR,991699200,D,16,16,False,36.0,31.0,10.0,6.0,0.0,27.0,30.0,4.0,6.0,5.0,8.0,10.0,3.0,2.0,,,,90.0,52.0,6.8,5.0,0.00139416,,0,,0.0,0.06,-0.16,,,,,,3.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,
14572780,home,FCSB,Risto Radunović,risto-radunovic,R. Radunović,D,33,184,500,M,117128,EUR,704937600,D,33,33,False,33.0,26.0,5.0,3.0,0.0,11.0,14.0,15.0,19.0,,5.0,5.0,1.0,,,,,90.0,60.0,6.8,12.0,0.0595606,,0,,0.14,0.06,-0.1,,,,4.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,5.0,4.0,1.0,,,,,,,,,,,,,
14572780,home,FCSB,Baba Alhassan,alhassan-baba,B. Alhassan,M,42,186,596,M,1085422,EUR,946857600,M,42,42,False,32.0,28.0,4.0,2.0,0.0,19.0,22.0,9.0,10.0,,1.0,,4.0,1.0,,,,90.0,37.0,6.5,5.0,0.0109979,,0,,0.1,0.02,0.18,,,,,,4.0,,,1.0,1.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
14572780,home,FCSB,Adrian Șut,adrian-sut,A. Șut,M,89,185,1259,M,839577,EUR,925430400,M,8,8,False,27.0,21.0,4.0,1.0,0.0,10.0,13.0,11.0,14.0,1.0,2.0,,4.0,,,,,45.0,36.0,6.2,8.0,0.0124698,,2,,0.1,0.02,-0.27,,,,,,3.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,0.2293,0.4001,0.03,1.0,1.0,1.0,1.0,,,,,,
14572780,home,FCSB,David Miculescu,david-miculescu,D. Miculescu,F,11,190,914,M,905096,EUR,988761600,M,11,11,False,15.0,13.0,3.0,2.0,0.0,6.0,6.0,7.0,9.0,1.0,3.0,2.0,3.0,,,,,90.0,29.0,6.4,7.0,0.00626616,,0,,0.02,0.04,-0.08,,,,1.0,,4.0,,,2.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,
14572780,home,FCSB,Darius Olaru,darius-olaru,D. Olaru,M,27,177,2518,M,812808,EUR,888883200,M,27,27,False,37.0,33.0,,,0.0,15.0,15.0,18.0,22.0,,8.0,,3.0,8.0,,,,86.0,57.0,6.6,11.0,0.0308619,,1,,0.13,-0.37,-0.19,,,,2.0,,9.0,2.0,1.0,4.0,,1.0,,3.0,,1.0,,,,2.0,0.0227,0.0278,0.01,,,,,True,,,,,
14572780,home,FCSB,Juri Cisotti,juri-cisotti,J. Cisotti,M,31,175,813,M,151076,EUR,736560000,M,31,31,False,18.0,11.0,,,0.0,3.0,5.0,8.0,13.0,1.0,4.0,2.0,2.0,1.0,,,,45.0,32.0,6.6,10.0,0.00587746,,1,,-0.15,0.2,-0.02,,,,,,2.0,,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,3.0,0.0145,0.1424,-0.06,,,,,,,,,,
