match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_goals,stat_goalAssist,player_sofascoreId,stat_totalOffside,stat_clearanceOffLine
11401901,home,Vitesse,Eloy Room,eloy-room,E. Room,G,188.0,180,M,40859,EUR,602726400,G,1,1,False,30.0,22.0,12.0,4.0,21.0,25.0,1.0,5.0,15.0,1.0,1.0,1.0,90.0,43.0,6.6,8.0,0.00135995,0,-0.6807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401901,home,Vitesse,Dominik Oroz,dominik-oroz,D. Oroz,D,190.0,131,M,874936,EUR,972777600,D,6,6,False,40.0,30.0,5.0,3.0,13.0,16.0,17.0,25.0,4.0,,,,65.0,56.0,6.9,13.0,0.014668,0,,,,5,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11401901,home,Vitesse,Nicolas Isimat-Mirin,nicolas-isimat-mirin,N. Isimat-Mirin,D,189.0,76,M,781556,EUR,690076800,D,29,29,False,79.0,70.0,7.0,3.0,56.0,57.0,14.0,22.0,7.0,,,,90.0,89.0,7.3,9.0,0.00576119,1,,,,,,5.0,3.0,5.0,7.0,,,,2.0,,,1.0,1.0,1.0,2.0,1.0,2.0,0.0134,,,,,,,,,,,,,,
11401901,home,Vitesse,Ramon Hendriks,ramon-hendriks,R. Hendriks,D,189.0,435,M,916943,EUR,995414400,D,15,15,False,76.0,70.0,7.0,6.0,47.0,49.0,23.0,27.0,6.0,,,,90.0,87.0,7.2,8.0,0.139809,1,,,,3,,3.0,7.0,4.0,9.0,,,,,1.0,1.0,,2.0,,1.0,,1.0,0.027,1.0,1.0,0.0821,1.0,,,,,,,,,,
11401901,home,Vitesse,Mica Pinto,mica-pinto,Mica,D,176.0,157,M,785815,EUR,739152000,D,5,5,False,66.0,59.0,6.0,5.0,29.0,30.0,30.0,38.0,7.0,,,,90.0,77.0,7.1,9.0,0.0303716,0,,,,5,2.0,,,,3.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,
11401901,home,Vitesse,Mathijs Tielemans,mathijs-tielemans,M. Tielemans,M,181.0,116,M,966542,EUR,1019779200,M,21,21,False,42.0,38.0,3.0,3.0,16.0,16.0,22.0,28.0,9.0,,,,79.0,59.0,7.3,10.0,0.052912,2,,,,8,2.0,,,2.0,4.0,1.0,,,1.0,3.0,,1.0,,,3.0,2.0,1.0,0.1259,,1.0,0.1898,2.0,1.0,,,,,,,,,
11401901,home,Vitesse,Melle Meulensteen,melle-meulensteen,M. Meulensteen,M,185.0,201,M,891795,EUR,931046400,M,20,20,False,18.0,16.0,3.0,2.0,11.0,12.0,5.0,6.0,1.0,,,,27.0,21.0,6.7,3.0,0.00703083,1,,,,21,,,,,,,,,,1.0,,1.0,,,,,,0.1323,,,,1.0,,,,,,,,,,
11401901,home,Vitesse,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,182.0,3151,M,984602,EUR,1066262400,M,17,17,False,25.0,18.0,3.0,1.0,7.0,9.0,14.0,22.0,5.0,,,,79.0,60.0,7.7,20.0,0.419492,4,,,,10,6.0,,,10.0,7.0,5.0,7.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,0.38,1.0,2.0,0.1078,5.0,,3.0,1.0,1.0,,,,,,
11401901,home,Vitesse,Marco van Ginkel,marco-van-ginkel,M. van Ginkel,F,186.0,361,M,112794,EUR,723168000,M,8,8,False,33.0,23.0,3.0,2.0,5.0,6.0,18.0,27.0,2.0,,,,90.0,51.0,8.2,12.0,0.102601,10,,,,,,,8.0,1.0,9.0,1.0,,,,1.0,,4.0,1.0,1.0,,,1.0,1.1019,,3.0,0.5233,2.0,,,1.0,3.0,True,,,,,
11401901,home,Vitesse,Million Manhoef,million-manhoef,M. Manhoef,M,179.0,770,M,961677,EUR,1010016000,M,42,42,False,29.0,26.0,1.0,1.0,6.0,6.0,24.0,37.0,3.0,,,,90.0,68.0,8.5,23.0,0.522851,6,,,,42,14.0,2.0,,10.0,7.0,5.0,7.0,5.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,0.2221,,3.0,0.3578,5.0,,4.0,,2.0,,1.0,,,,
