match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_errorLeadToAShot,stat_wasFouled,player_firstName,player_lastName,stat_aerialWon,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_aerialLost,stat_totalCross,stat_keyPass,stat_shotOffTarget,player_sofascoreId,stat_accurateCross,stat_totalOffside,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_goals,stat_hitWoodwork
12624428,home,Al-Fayha,Orlando Mosquera,orlando-mosquera,O. Mosquera,G,52,191.0,495,M,886041,EUR,788313600,G,52,52,False,47.0,36.0,25.0,14.0,0.0,27.0,28.0,9.0,19.0,2.0,13.0,2.0,1.0,2.0,2.0,90.0,63.0,7.2,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624428,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200,D,22,22,False,24.0,20.0,2.0,,0.0,11.0,11.0,9.0,13.0,1.0,1.0,,,,,76.0,41.0,6.0,9.0,0,True,5.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12624428,home,Al-Fayha,Ziyad Al-Sahafi,ziyad-al-sahafi,Z. Al-Sahafi,D,21,182.0,36,M,831259,EUR,782352000,D,21,21,False,31.0,27.0,3.0,2.0,0.0,22.0,22.0,5.0,9.0,2.0,4.0,,,,,90.0,38.0,6.3,7.0,0,,3.0,1.0,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
12624428,home,Al-Fayha,Chris Smalling,chris-smalling,C. Smalling,D,5,192.0,1654,M,47741,EUR,627696000,D,5,5,False,37.0,34.0,3.0,2.0,0.0,26.0,26.0,8.0,11.0,6.0,7.0,,,,,90.0,56.0,7.2,4.0,0,,1.0,4.0,1.0,,,,2.0,,1.0,,,1.0,,,1.0,5.0,1.0,,,,,,,,,,,,,,,
12624428,home,Al-Fayha,Mokher Al-Rashidi,mokher-al-rashidi,M. Al-Rashidi,D,2,170.0,16,M,921767,EUR,927158400,D,2,2,False,33.0,32.0,2.0,2.0,0.0,27.0,27.0,5.0,6.0,2.0,1.0,,,,,74.0,44.0,6.6,2.0,0,,7.0,4.0,2.0,,1.0,,3.0,,1.0,,,,,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
12624428,home,Al-Fayha,Faris Abdi,abdi-faris,A. Faris,D,25,180.0,62,M,983833,EUR,926208000,D,25,25,False,31.0,30.0,1.0,1.0,0.0,9.0,9.0,21.0,24.0,,6.0,,,,,90.0,54.0,6.6,6.0,0,,7.0,5.0,3.0,,2.0,,3.0,,2.0,,,,,1.0,1.0,,3.0,1.0,2.0,,,,,,,,,,,,,
12624428,home,Al-Fayha,Mansour Al Bishi,mansour-al-bishi,M. A. Bishi,M,14,168.0,20,M,982351,EUR,956534400,M,14,14,False,41.0,34.0,6.0,4.0,0.0,20.0,21.0,14.0,21.0,,6.0,,,,,87.0,55.0,6.9,13.0,0,,4.0,3.0,2.0,,3.0,2.0,1.0,,,,,,3.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12624428,home,Al-Fayha,Otabek Shukurov,otabek-shukurov,O. Shukurov,M,63,182.0,2967,M,358890,EUR,835401600,M,20,20,False,35.0,27.0,3.0,1.0,0.0,21.0,22.0,6.0,14.0,,3.0,,,,,45.0,39.0,6.5,10.0,0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
12624428,home,Al-Fayha,Alejandro Pozuelo,alejandro-pozuelo,A. Pozuelo,F,10,170.0,264,M,153964,EUR,685238400,M,8,8,False,54.0,42.0,11.0,5.0,0.0,19.0,20.0,23.0,36.0,,3.0,,,,,87.0,67.0,7.2,19.0,1,,5.0,4.0,,3.0,3.0,2.0,2.0,,,Alejandro,Pozuelo,,,1.0,,,2.0,,2.0,3.0,1.0,,,,,,,,,,,
12624428,home,Al-Fayha,Fashion Sakala,fashion-sakala,F. Sakala,F,10,178.0,8842,M,876626,EUR,858297600,F,10,10,False,26.0,21.0,,,0.0,4.0,4.0,19.0,25.0,,,,,,,90.0,47.0,6.8,17.0,2,,3.0,2.0,,1.0,3.0,2.0,,,,,,,5.0,1.0,,,,,3.0,2.0,2.0,fashionjr10,2.0,1.0,,,,,,,,
