match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_clearanceOffLine
12764961,home,HJK,Kevor Palumets,,,palumets-kevor,K. Palumets,M,80,187.0,161,M,1029492,EUR,1037836800,M,80,80,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,home,HJK,Alessandro Albanese,,,alessandro-albanese,A. Albanese,M,10,174.0,56,M,867257,EUR,947635200,F,99,99,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,home,HJK,Kai Meriluoto,,,kai-meriluoto,K. Meriluoto,F,9,183.0,276,M,1047000,EUR,1041465600,F,42,42,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Matevž Vidovšek,,,matevz-vidovsek,M. Vidovšek,G,26,199.0,166,M,921405,EUR,941241600,G,69,69,False,24.0,21.0,8.0,5.0,0.0,19.0,19.0,5.0,7.0,1.0,2.0,90.0,35.0,7.6,3.0,0.00088954,0,0.4706,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,
12764961,away,NK Olimpija Ljubljana,Marko Brest,,,brest-marko,M. Brest,M,18,173.0,112,M,1129975,EUR,1020988800,D,18,18,False,18.0,14.0,3.0,1.0,1.0,7.0,9.0,10.0,1.0,,,75.0,43.0,7.8,13.0,0.0307607,2,,7.0,1.0,,8.0,4.0,3.0,1.0,3.0,,2.0,,2.0,1.0,,0.1223,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,,,,0.1039,1.0,,,,1.0,,,
12764961,away,NK Olimpija Ljubljana,Manuel Pedreno,Manuel Pedreño,,manuel-pedreno,M. Pedreño,D,16,,27,M,1216283,EUR,971049600,D,21,21,False,53.0,43.0,14.0,5.0,0.0,29.0,30.0,23.0,3.0,,,90.0,63.0,7.0,11.0,0.00344895,0,,14.0,,1.0,1.0,2.0,1.0,,1.0,,,,4.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,
12764961,away,NK Olimpija Ljubljana,Marcel Ratnik,,,ratnik-marcel,M. Ratnik,D,14,186.0,331,M,1131229,EUR,1072137600,D,14,14,False,48.0,39.0,9.0,2.0,0.0,35.0,38.0,10.0,3.0,,,90.0,61.0,7.1,9.0,0.0021165,0,,4.0,1.0,2.0,1.0,2.0,,,,True,,,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,David Sualehe,,,david-sualehe,D. Sualehe,D,33,183.0,78,M,796161,EUR,859075200,D,3,3,False,64.0,50.0,13.0,8.0,0.0,37.0,46.0,20.0,6.0,,,90.0,85.0,6.8,20.0,0.00391015,1,,13.0,1.0,1.0,3.0,3.0,1.0,,1.0,,,,4.0,1.0,,0.0108,,2.0,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,
12764961,away,NK Olimpija Ljubljana,Justas Lasickas,,,justas-lasickas,J. Lasickas,D,23,176.0,286,M,791831,EUR,876096000,D,8,8,False,40.0,27.0,6.0,1.0,0.0,17.0,23.0,18.0,5.0,,,90.0,69.0,8.2,21.0,0.199806,0,,10.0,2.0,3.0,7.0,16.0,6.0,5.0,2.0,,,,3.0,1.0,4.0,,1.0,1.0,2.0,3.0,3.0,2.0,,1.0,,,,,1.0,,,,,1.0,,1.0
12764961,away,NK Olimpija Ljubljana,Reda Boultam,,,reda-boultam,R. Boultam,M,24,187.0,83,M,795259,EUR,888883200,M,24,24,False,20.0,12.0,2.0,1.0,0.0,5.0,7.0,14.0,2.0,,,80.0,29.0,6.3,12.0,0.00346228,0,,7.0,,,4.0,,,,,,,,2.0,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,
12764961,away,NK Olimpija Ljubljana,Diogo Pinto,,,pinto-diogo,D. Pinto,M,23,175.0,173,M,991929,EUR,930614400,M,23,23,False,20.0,17.0,1.0,,0.0,14.0,17.0,5.0,1.0,,,75.0,31.0,6.6,7.0,0.0105103,0,,3.0,1.0,,3.0,1.0,,,1.0,,,,1.0,,1.0,,,2.0,,,,2.0,,1.0,,,,,,,,,,1.0,,
12764961,away,NK Olimpija Ljubljana,Peter Agba,,,peter-agba,P. Agba,M,80,165.0,186,M,1002520,EUR,1040342400,M,6,6,False,42.0,39.0,2.0,2.0,0.0,27.0,28.0,14.0,5.0,,,90.0,57.0,7.7,7.0,0.00320397,1,,12.0,,4.0,5.0,9.0,2.0,1.0,4.0,,1.0,,1.0,1.0,4.0,0.1686,,,,,,2.0,,1.0,,,,0.1891,,,,,1.0,1.0,,
12764961,away,NK Olimpija Ljubljana,Dino Kojić,Dino Kojic,,dino-kojic,D. Kojić,M,9,187.0,126,M,1893261,EUR,1112572800,M,9,9,False,7.0,5.0,,,0.0,3.0,3.0,4.0,2.0,,,45.0,16.0,6.3,7.0,0.00026877,0,,2.0,,1.0,3.0,3.0,1.0,1.0,1.0,,,,1.0,,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
