match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,captain,stat_blockedScoringAttempt,stat_shotOffTarget,stat_outfielderBlock,player_firstName,player_lastName,player_sofascoreId,stat_challengeLost,stat_penaltyMiss,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_penaltyWon,stat_totalOffside,stat_goodHighClaim,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded,stat_goals
12512550,home,Parma,Antoine Hainaut,antoine-hainaut,A. Hainaut,M,18,188,140,M,1394202,EUR,1013990400,M,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Antoine Hainaut,,,,,,,,,,,,,,
12512550,home,Parma,Anas Haj Mohamed,anas-haj-mohamed,A. H. Mohamed,F,21,174,1487,M,1155432,EUR,1111795200,F,61,61,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512550,home,Parma,Daniel Mikołajewski,daniel-mikolajewski,D. Mikołajewski,F,76,184,603,M,1423452,EUR,1138060800,F,64,64,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512550,away,Palermo,Alfred Gomis,alfred-gomis,A. Gomis,G,1,196,1214,M,143695,EUR,747187200,G,16,16,False,46.0,36.0,17.0,7.0,0.0,34.0,36.0,2.0,10.0,1.0,8.0,4.0,4.0,1.0,1.0,90.0,56.0,8.6,10.0,0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
12512550,away,Palermo,Salim Diakité,salim-diakite,S. Diakité,D,23,187,720,M,1013188,EUR,959990400,D,23,23,False,41.0,33.0,8.0,5.0,1.0,22.0,24.0,11.0,18.0,5.0,4.0,,,,,90.0,61.0,7.4,12.0,0,1.0,1.0,4.0,6.0,8.0,1.0,,3.0,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,,
12512550,away,Palermo,Ionuț Nedelcearu,ionut-nedelcearu,I. Nedelcearu,D,24,190,360,M,279595,EUR,830390400,D,18,18,False,49.0,46.0,2.0,1.0,0.0,34.0,36.0,12.0,13.0,3.0,3.0,,,,,81.0,59.0,6.9,4.0,0,,,1.0,1.0,1.0,,,,,1.0,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,
12512550,away,Palermo,Dimitrios Nikolaou,dimitris-nikolaou,D. Nikolaou,D,43,188,245,M,788185,EUR,902966400,D,43,43,False,64.0,56.0,7.0,2.0,0.0,47.0,50.0,9.0,14.0,6.0,3.0,,,,,90.0,80.0,7.5,9.0,1,,,1.0,1.0,4.0,2.0,2.0,1.0,1.0,,,1.0,,,,3.0,,,1.0,2.0,,,,,,,,,,,,,,1.0,
12512550,away,Palermo,Kristoffer Lund,kristoffer-lund,K. Lund,D,32,184,392,M,963043,EUR,1021334400,D,3,3,False,36.0,31.0,3.0,1.0,0.0,17.0,18.0,14.0,21.0,2.0,4.0,,,,,90.0,56.0,6.9,10.0,0,3.0,2.0,1.0,6.0,5.0,,,4.0,3.0,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,
12512550,away,Palermo,Alexis Blin,alexis-blin,A. Blin,M,28,184,147,M,318657,EUR,842832000,M,28,28,False,32.0,31.0,2.0,2.0,0.0,14.0,14.0,17.0,18.0,1.0,2.0,,,,,90.0,37.0,6.6,2.0,0,,1.0,1.0,4.0,1.0,,,,,1.0,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
12512550,away,Palermo,Claudio Gomes,claudio-gomes,C. Gomes,M,6,171,303,M,864731,EUR,964310400,M,6,6,False,49.0,46.0,3.0,3.0,0.0,23.0,25.0,23.0,24.0,,2.0,,,,,90.0,58.0,7.0,5.0,1,,,,2.0,2.0,1.0,,2.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
12512550,away,Palermo,Filippo Ranocchia,filippo-ranocchia,F. Ranocchia,M,10,186,412,M,934238,EUR,989798400,M,10,10,False,34.0,26.0,6.0,1.0,0.0,11.0,11.0,15.0,25.0,2.0,2.0,,,,,74.0,51.0,6.9,15.0,3,2.0,,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,
12512550,away,Palermo,Roberto Insigne,roberto-insigne,R. Insigne,F,94,172,266,M,296432,EUR,768614400,M,11,11,False,26.0,18.0,4.0,2.0,0.0,6.0,7.0,12.0,20.0,1.0,4.0,,,,,66.0,40.0,7.9,13.0,3,1.0,2.0,,3.0,1.0,,,,,3.0,1.0,,1.0,,2.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0
12512550,away,Palermo,Federico Di Francesco,federico-di-francesco,F. D. Francesco,M,94,171,207,M,320979,EUR,771552000,M,17,17,False,12.0,8.0,,,0.0,4.0,4.0,4.0,8.0,,3.0,,,,,66.0,18.0,6.5,7.0,0,,2.0,,5.0,3.0,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
12512550,away,Palermo,Matteo Brunori,matteo-brunori,M. Brunori,F,99,180,544,M,152483,EUR,783648000,F,9,9,False,7.0,4.0,1.0,,0.0,3.0,4.0,1.0,4.0,,2.0,,,,,74.0,17.0,6.2,5.0,3,1.0,2.0,1.0,2.0,3.0,,,,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,True,1.0,1.0,,,,,,,,,,,,,,,,
12512550,away,Palermo,Aljoša Vasić,aljosa-vasic,A. Vasić,M,14,188,231,M,1018226,EUR,1019347200,M,14,14,True,9.0,8.0,1.0,,0.0,3.0,4.0,5.0,5.0,,2.0,,,,,24.0,15.0,6.6,4.0,0,,,,2.0,2.0,2.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
12512550,away,Palermo,Francesco Di Mariano,francesco-di-mariano,F. D. Mariano,M,77,177,101,M,263567,EUR,829958400,F,7,7,True,7.0,5.0,1.0,1.0,0.0,3.0,4.0,3.0,4.0,,2.0,,,,,24.0,9.0,6.6,2.0,0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,
12512550,away,Palermo,Dario Šarić,dario-saric,D. Šarić,M,88,180,555,M,848385,EUR,864950400,M,30,30,True,8.0,8.0,,,0.0,4.0,4.0,4.0,4.0,,1.0,,,,,16.0,12.0,7.0,,1,,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
12512550,away,Palermo,Thomas Henry,thomas-henry,T. Henry,F,9,191,447,M,795541,EUR,780019200,F,20,20,True,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,16.0,10.0,6.1,5.0,0,,2.0,,9.0,1.0,2.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,
12512550,away,Palermo,Patryk Peda,patryk-peda,P. Peda,D,29,190,952,M,1064122,EUR,1018915200,D,29,29,True,6.0,5.0,,,0.0,4.0,5.0,1.0,1.0,3.0,,,,,,9.0,12.0,7.0,1.0,1,,,3.0,,4.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
12512550,away,Palermo,Manfredi Nespola,nespola-manfredi,M. Nespola,G,12,193,32,M,1514600,EUR,1108512000,G,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512550,away,Palermo,Sebastiano Desplanches,sebastiano-desplanches,S. Desplanches,G,1,188,700,M,1068715,EUR,1047340800,G,1,1,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512550,away,Palermo,Simon Graves,simon-graves-jensen,S. G. Jensen,D,28,191,126,M,927155,EUR,922060800,D,2,2,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512550,away,Palermo,Alessio Buttaro,alessio-buttaro,A. Buttaro,D,20,183,71,M,986353,EUR,1031616000,D,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512550,away,Palermo,Pietro Ceccaroni,pietro-ceccaroni,P. Ceccaroni,D,32,188,139,M,373724,EUR,819504000,D,32,32,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512550,away,Palermo,Stredair Appuah,appuah-stredair,S. Appuah,M,19,185,117,M,1405932,EUR,1088294400,F,19,19,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Stredair Appuah,,,,,,,,,,,,,,
12512550,away,Palermo,Niccolò Pierozzi,niccolo-pierozzi,N. Pierozzi,M,27,184,213,M,970938,EUR,1000252800,D,27,27,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
