match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_duelWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_wasFouled,stat_challengeLost,stat_wonContest,stat_bigChanceCreated,stat_dispossessed,stat_shotOffTarget,stat_errorLeadToAShot,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_hitWoodwork
12528213,home,Fenerbahçe,Dominik Livaković,dominik-livakovic,D. Livaković,G,40,186.0,12816,M,Livakovic40,190419,EUR,789609600,G,40,40,False,31.0,25.0,14.0,8.0,0.0,21.0,23.0,4.0,8.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,37.0,7.5,6.0,0.00194509,0,0.4741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528213,home,Fenerbahçe,Mert Müldür,mert-muldur,M. Müldür,D,18,184.0,2868,M,,836683,EUR,923097600,D,16,16,False,38.0,32.0,1.0,,0.0,22.0,22.0,13.0,21.0,2.0,5.0,,,,,90.0,52.0,7.1,9.0,0.317887,1,,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0132,1.0,,,,,,,,,,,,,,,,,,,,,,
12528213,home,Fenerbahçe,Çağlar Söyüncü,caglar-soyuncu,Ç. Söyüncü,D,4,187.0,4170,M,soyuncu_caglar,758608,EUR,832809600,D,2,2,False,58.0,48.0,5.0,1.0,0.0,33.0,37.0,15.0,21.0,3.0,4.0,,,,,90.0,70.0,7.3,11.0,0.00703247,0,,,,5.0,,,3.0,2.0,,,,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12528213,home,Fenerbahçe,Alexander Djiku,alexander-djiku,A. Djiku,D,6,182.0,4708,M,alex_djiku,289977,EUR,776390400,D,6,6,False,44.0,41.0,4.0,3.0,0.0,23.0,23.0,18.0,21.0,,1.0,,,,,61.0,51.0,7.2,4.0,0.0668481,0,,,,,,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
12528213,home,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189.0,3122,M,,1048324,EUR,988243200,D,24,24,False,37.0,34.0,7.0,4.0,0.0,16.0,16.0,19.0,23.0,1.0,4.0,,,,,90.0,63.0,7.3,9.0,0.164386,0,,2.0,1.0,6.0,2.0,,4.0,4.0,,,1.0,,4.0,,2.0,,2.0,Jayden Oosterwolde,,1.0,1.0,1.0,1.0,,,,,,,,,,
12528213,home,Fenerbahçe,Fred,fred,Fred,M,7,169.0,11630,M,fred08,243623,EUR,731289600,M,13,13,False,54.0,44.0,9.0,6.0,0.0,18.0,19.0,26.0,35.0,,5.0,,,,,90.0,69.0,7.5,13.0,0.0296711,2,,,,2.0,1.0,2.0,3.0,,,0.0948,1.0,,3.0,,2.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,
12528213,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183.0,3150,M,,952600,EUR,917308800,M,5,5,False,47.0,41.0,5.0,3.0,0.0,21.0,24.0,20.0,23.0,2.0,4.0,,,,,90.0,58.0,7.2,8.0,0.0200504,1,,,,3.0,,,1.0,2.0,,0.0432,1.0,1.0,4.0,,2.0,2.0,2.0,,,2.0,,,,,1.0,1.0,,,,,,,
12528213,home,Fenerbahçe,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181.0,12245,M,dusantadic,38560,EUR,595987200,M,10,10,False,19.0,16.0,2.0,2.0,0.0,3.0,4.0,14.0,17.0,,2.0,,,,,83.0,39.0,9.1,9.0,0.325422,4,,2.0,1.0,3.0,,,,2.0,,0.525,4.0,,5.0,,1.0,,3.0,,,3.0,,,2.0,1.0,1.0,,1.0,3.0,2.0,1.2276,,,
12528213,home,Fenerbahçe,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174.0,10886,M,szymanski_11,847983,EUR,926294400,M,53,53,False,14.0,11.0,1.0,,0.0,4.0,4.0,9.0,12.0,,2.0,,,,,83.0,26.0,6.5,5.0,0.0563811,2,,2.0,2.0,4.0,1.0,1.0,,,2.0,0.0437,,1.0,3.0,,1.0,1.0,1.0,,,2.0,2.0,,,,1.0,,,,,,,,
12528213,home,Fenerbahçe,Allan Saint-Maximin,allan-saint-maximin,A. Saint-Maximin,F,9,173.0,12629,M,st_maximin,347010,EUR,858124800,M,97,97,False,18.0,12.0,1.0,1.0,0.0,4.0,4.0,8.0,17.0,1.0,5.0,,,,,61.0,38.0,6.9,17.0,0.12438,1,,3.0,,4.0,5.0,1.0,,1.0,,0.0381,1.0,,4.0,,,,4.0,,,,,4.0,,2.0,,,,,,,,,
