match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_keyPass,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_wasFouled,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_totalOffside
11408352,home,Estoril Praia,Marcelo Carné,,,marcelo-carne,M. Carné,G,1,188,61,M,243463,EUR,634262400,G,31,31,False,20.0,9.0,13.0,2.0,7.0,12.0,2.0,8.0,1.0,1.0,1.0,8.0,2.0,1.0,3.0,90.0,31.0,7.3,12.0,0.00020371,0,1.1138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408352,home,Estoril Praia,João Basso,,,joao-basso,J. Basso,D,13,189,677,M,850955,EUR,853113600,D,13,13,False,49.0,37.0,10.0,5.0,12.0,16.0,25.0,33.0,1.0,2.0,4.0,3.0,,,,90.0,56.0,7.0,12.0,0.0191965,0,,4.0,7.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
11408352,home,Estoril Praia,Pedro Álvaro,,,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,34.0,28.0,4.0,2.0,19.0,22.0,9.0,12.0,5.0,5.0,3.0,2.0,,,,90.0,43.0,7.2,6.0,0.00209109,1,,,1.0,,,,,1.0,1.0,1.0,0.1167,1.0,,,,,,,,,,,,,,,,,
11408352,home,Estoril Praia,Bernardo Vital,,,vital-bernardo,B. Vital,D,13,187,192,M,1065442,EUR,978048000,D,3,3,False,46.0,40.0,5.0,3.0,30.0,35.0,10.0,11.0,3.0,4.0,2.0,4.0,,,,90.0,53.0,6.9,7.0,0.00332108,1,,3.0,4.0,1.0,1.0,1.0,1.0,,1.0,,0.0143,,1.0,1.0,,,,,,,,,,,,,,,
11408352,home,Estoril Praia,Wagner Pina,,,wagner-pina,W. Pina,M,20,180,484,M,1513625,EUR,1036281600,M,79,79,False,40.0,28.0,3.0,,10.0,14.0,18.0,26.0,1.0,5.0,1.0,4.0,,,,90.0,72.0,6.7,21.0,0.0342876,0,,1.0,6.0,,,2.0,1.0,3.0,,1.0,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,,
11408352,home,Estoril Praia,Mateus Fernandes,,,mateus-fernandes,M. Fernandes,M,18,178,3830,M,1142562,EUR,1089417600,M,82,82,False,61.0,49.0,9.0,6.0,18.0,18.0,36.0,51.0,,5.0,,4.0,,,,89.0,84.0,8.1,17.0,0.301096,0,,1.0,4.0,,1.0,3.0,2.0,1.0,,1.0,,3.0,,,2.0,,2.0,1.0,8.0,5.0,1.0,,,,,,,,
11408352,home,Estoril Praia,Vinicius Zanocelo,,,vinicius-zanocelo,Vinicius Zanocelo,M,25,184,577,M,973841,EUR,980812800,M,7,7,False,57.0,47.0,5.0,2.0,20.0,23.0,27.0,34.0,,4.0,3.0,8.0,,,,90.0,68.0,7.1,10.0,0.016361,0,,1.0,5.0,2.0,,3.0,3.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
11408352,home,Estoril Praia,Rodrigo Gomes,,,gomes-rodrigo,R. Gomes,M,21,171,1190,M,1006073,EUR,1057536000,M,21,21,False,30.0,24.0,1.0,,12.0,14.0,12.0,16.0,,6.0,3.0,3.0,,,,90.0,64.0,7.8,12.0,0.0391455,1,,2.0,6.0,,1.0,3.0,3.0,,,1.0,0.0511,1.0,,1.0,5.0,2.0,1.0,,,,,1.0,1.0,1.0,0.3054,,,,
11408352,home,Estoril Praia,Fabrício Garcia,,,fabricio-garcia,F. Garcia,F,98,172,81,M,1190120,EUR,988934400,F,98,98,False,18.0,14.0,,,2.0,4.0,13.0,17.0,,9.0,,4.0,,,,79.0,44.0,6.9,11.0,0.025537,3,,1.0,6.0,1.0,,3.0,3.0,,,,0.1059,,,1.0,3.0,2.0,4.0,,3.0,1.0,,3.0,1.0,,0.0884,1.0,2.0,,
11408352,home,Estoril Praia,Cassiano,,,cassiano,Cassiano,F,90,184,251,M,157023,EUR,613958400,F,11,11,False,9.0,7.0,,,2.0,4.0,5.0,6.0,,2.0,1.0,2.0,,,,79.0,15.0,6.5,4.0,0.00318236,0,,2.0,7.0,1.0,,2.0,,3.0,,,,,,,1.0,,,,1.0,,,,,,,,,True,
