match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_interceptionWon,stat_fouls,stat_outfielderBlock,player_firstName,player_lastName,stat_totalCross,stat_dispossessed,stat_shotOffTarget,stat_totalOffside,player_sofascoreId,stat_accurateCross,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_punches,stat_blockedScoringAttempt
11392870,home,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,53.0,42.0,12.0,3.0,41.0,44.0,1.0,9.0,5.0,3.0,4.0,90.0,60.0,7.0,11.0,0.0,0.0,0.00097896,0,-0.1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392870,home,Stade Rennais,Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179,641,M,1009334,EUR,961632000,D,22,22,False,35.0,33.0,2.0,2.0,24.0,25.0,9.0,10.0,8.0,,,90.0,54.0,8.2,6.0,0.1023,0.0499,0.0282816,2,,1.0,1.0,2.0,4.0,6.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11392870,home,Stade Rennais,Warmed Omari,omari-warmed,W. Omari,D,17,185,538,M,999030,EUR,956448000,D,23,23,False,70.0,58.0,7.0,5.0,47.0,55.0,11.0,15.0,6.0,,,90.0,82.0,6.8,12.0,0.0,0.0,0.00626107,0,,,2.0,4.0,6.0,9.0,1.0,3.0,3.0,,,2.0,,,,2.0,,2.0,3.0,,,,,,,,,,,,,,
11392870,home,Stade Rennais,Arthur Theate,arthur-theate,A. Theate,D,3,186,2210,M,965778,EUR,959212800,D,5,5,False,78.0,74.0,8.0,6.0,58.0,58.0,16.0,20.0,10.0,,,90.0,85.0,6.9,5.0,0.0,0.0,0.00756276,0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,3.0,,1.0,,,,,,,,,,,,,
11392870,home,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,999028,EUR,1006214400,D,3,3,False,44.0,33.0,1.0,,23.0,27.0,10.0,18.0,4.0,,,90.0,80.0,6.3,20.0,0.0,0.0,0.00381325,0,,,3.0,3.0,8.0,7.0,1.0,1.0,,,,2.0,3.0,2.0,,1.0,,,,1.0,,,1.0,3.0,,,,,,,,,
11392870,home,Stade Rennais,Baptiste Santamaria,baptiste-santamaria,B. Santamaria,M,22,183,473,M,344751,EUR,794707200,M,8,8,False,19.0,17.0,,,10.0,10.0,7.0,9.0,3.0,,,63.0,27.0,6.8,4.0,0.127,0.0956,0.0154674,2,,,,2.0,2.0,5.0,,,,1.0,,,2.0,1.0,,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,
11392870,home,Stade Rennais,Nemanja Matić,nemanja-matic,N. Matić,M,18,194,3565,M,44241,EUR,586396800,M,21,21,False,43.0,36.0,2.0,2.0,26.0,28.0,10.0,15.0,9.0,,,81.0,60.0,6.8,12.0,0.0,0.0,0.00336035,0,,,,2.0,6.0,6.0,,1.0,1.0,,,2.0,1.0,1.0,,2.0,,4.0,4.0,,,,,3.0,,,Mati,,,,,,
11392870,home,Stade Rennais,Enzo Le Fée,enzo-le-fee,E. Le Fée,M,28,173,3108,M,984014,EUR,949536000,M,28,28,False,28.0,23.0,1.0,1.0,8.0,10.0,16.0,19.0,3.0,,,63.0,34.0,6.6,7.0,0.0,0.0,0.0665231,0,,,,,4.0,2.0,2.0,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,
11392870,home,Stade Rennais,Benjamin Bourigeaud,benjamin-bourigeaud,B. Bourigeaud,M,19,178,962,M,324399,EUR,758505600,F,14,14,False,39.0,27.0,3.0,2.0,12.0,14.0,16.0,31.0,5.0,,,90.0,52.0,7.0,19.0,0.0,0.0,0.0379618,0,,,1.0,,5.0,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,,6.0,2.0,,,,1.0,True,1.0,,,
11392870,home,Stade Rennais,Amine Gouiri,amine-gouiri,A. Gouiri,F,9,180,26883,M,859026,EUR,950659200,F,10,10,False,13.0,11.0,,,8.0,9.0,3.0,4.0,,,,63.0,22.0,6.6,6.0,0.0,0.0,0.00075737,0,,,1.0,1.0,2.0,4.0,1.0,2.0,2.0,,,,,,4.0,1.0,,,,,,,,,,,amine_gouiri,,,,,,
