match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,captain,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_lastManTackle,stat_aerialWon,stat_interceptionWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAShot
14167886,home,Stade Brestois,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191.0,1544,M,849114,EUR,942710400,G,1,1,False,29.0,21.0,19.0,11.0,0.0,14.0,16.0,7.0,13.0,3.0,1.0,90.0,32.0,6.8,8.0,0.00329379,0,0.06,-0.01,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167886,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178.0,604,M,141080,EUR,686448000,D,77,77,False,38.0,29.0,9.0,6.0,0.0,18.0,19.0,11.0,19.0,1.0,,90.0,70.0,7.8,17.0,0.351584,1,0.52,0.04,-0.07,7.0,3.0,6.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0251,2.0,-0.08,,,,,,,,,,,,,,,,,,,,,,
14167886,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181.0,234,M,328035,EUR,788054400,D,5,5,False,52.0,45.0,12.0,6.0,0.0,35.0,38.0,10.0,14.0,1.0,,90.0,59.0,7.3,7.0,0.0872769,1,0.32,0.07,0.64,,,5.0,1.0,1.0,,,,,1.0,1.0,,,,,0.0214,2.0,-0.17,,,True,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14167886,home,Stade Brestois,Michel Diaz,michel-diaz,M. Diaz,D,4,193.0,403,M,1400993,EUR,1058918400,D,4,4,False,46.0,41.0,6.0,4.0,0.0,33.0,34.0,8.0,12.0,3.0,,90.0,56.0,7.0,5.0,0.00264934,0,-0.01,0.07,0.0,,,2.0,3.0,1.0,,,,,,1.0,,,,,,,,Michel Diaz,,,1.0,,6.0,,2.0,2.0,,,,,,,,,,,,,
14167886,home,Stade Brestois,Bradley Locko,bradley-locko,B. Locko,D,2,180.0,637,M,1129382,EUR,1020643200,D,2,2,False,28.0,25.0,4.0,2.0,0.0,10.0,10.0,15.0,18.0,2.0,,90.0,58.0,7.1,10.0,0.339552,1,0.48,0.15,-0.06,7.0,3.0,10.0,4.0,3.0,2.0,1.0,,,,3.0,,,,,0.0478,1.0,-0.19,,,,4.0,,2.0,,,,2.0,1.0,0.5262,,,,,,,,,,
14167886,home,Stade Brestois,Joris Chotard,joris-chotard,J. Chotard,M,13,179.0,541,M,976396,EUR,1001289600,M,13,13,False,51.0,46.0,8.0,6.0,0.0,21.0,21.0,25.0,30.0,4.0,,90.0,61.0,7.3,8.0,0.0291379,1,0.27,0.04,0.32,2.0,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,0.0125,1.0,-0.04,,,,,1.0,3.0,,,,,,,,,,,,,,,,
14167886,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173.0,194,M,861324,EUR,896486400,M,8,8,False,55.0,47.0,10.0,6.0,0.0,29.0,30.0,18.0,25.0,8.0,,90.0,72.0,7.4,11.0,0.0183301,3,0.24,0.08,0.26,1.0,,3.0,6.0,,,,,1.0,,5.0,4.0,,1.0,1.0,0.0671,,-0.09,,,,,2.0,2.0,,,,2.0,,,,,,,,,,,,
14167886,home,Stade Brestois,Junior Dina Ebimbe,junior-dina-ebimbe,J. D. Ebimbe,M,7,183.0,2068,M,904994,EUR,974764800,M,7,7,False,7.0,4.0,,,0.0,2.0,2.0,2.0,5.0,,,78.0,16.0,6.9,6.0,0.00449937,1,-0.02,0.01,-0.03,1.0,,2.0,3.0,1.0,,,,,,3.0,1.0,2.0,,1.0,0.4698,,0.21,,,,,,,,,,,1.0,0.7724,1.0,1.0,,,,,,,,
14167886,home,Stade Brestois,Kamory Doumbia,kamory-doumbia,K. Doumbia,M,23,170.0,5674,M,1156353,EUR,1045526400,M,23,23,False,33.0,28.0,2.0,1.0,0.0,15.0,16.0,13.0,17.0,5.0,,90.0,64.0,7.2,20.0,0.20278,5,0.23,0.46,-0.02,11.0,2.0,5.0,8.0,1.0,3.0,2.0,,4.0,,3.0,3.0,3.0,2.0,2.0,0.2436,1.0,-0.63,Kamory Doumbia,,,,1.0,,,1.0,,1.0,,,,,kamory_doumbia03,,,,,,,
14167886,home,Stade Brestois,Pathé Mboup,pathe-mboup,P. Mboup,M,99,175.0,1976,M,1410231,EUR,1066521600,M,99,99,False,15.0,9.0,,,0.0,3.0,5.0,6.0,10.0,4.0,,78.0,33.0,6.7,14.0,0.28455,1,0.37,0.2,-0.12,,,12.0,8.0,4.0,2.0,1.0,1.0,,,2.0,2.0,5.0,4.0,2.0,0.1972,1.0,-0.52,Pathé Mboup,,,4.0,,,,1.0,1.0,2.0,1.0,0.1698,,,,,,,,,,
