match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_interceptionWon,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_hitWoodwork,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAGoal,player_sofascoreId,stat_goals
12421248,home,Royal Antwerp FC,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193.0,27447,M,964753,EUR,1026000000,G,91,91,False,40.0,26.0,27.0,13.0,0.0,18.0,19.0,8.0,21.0,1.0,1.0,11.0,1.0,2.0,4.0,4.0,90.0,56.0,7.7,15.0,0.00399827,0,0.7218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421248,home,Royal Antwerp FC,Jelle Bataille,,,jelle-bataille,J. Bataille,D,25,175.0,224,M,889387,EUR,927158400,D,25,25,False,18.0,14.0,2.0,1.0,0.0,11.0,12.0,3.0,6.0,4.0,2.0,1.0,,,,,45.0,31.0,6.9,5.0,0.00619245,0,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12421248,home,Royal Antwerp FC,Toby Alderweireld,,,toby-alderweireld,T. Alderweireld,D,,186.0,1445,M,44575,EUR,604800000,D,23,23,False,42.0,31.0,12.0,5.0,0.0,24.0,27.0,8.0,17.0,1.0,8.0,4.0,,,,,90.0,60.0,6.8,14.0,0.00584796,1,,1.0,2.0,,,,,,,True,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.2197,,,,,,,,,,,,,
12421248,home,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,42.0,38.0,5.0,2.0,0.0,34.0,36.0,4.0,6.0,1.0,7.0,3.0,,,,,90.0,57.0,7.0,5.0,0.0267629,0,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,
12421248,home,Royal Antwerp FC,Olivier Deman,,,deman-olivier,O. Deman,D,2,181.0,445,M,960114,EUR,954979200,D,5,5,False,38.0,32.0,3.0,2.0,0.0,20.0,21.0,12.0,19.0,9.0,5.0,9.0,3.0,,,,90.0,68.0,7.5,11.0,0.00749938,1,,1.0,3.0,,1.0,1.0,4.0,2.0,1.0,,2.0,,1.0,,,1.0,1.0,0.0158,,,1.0,1.0,0.0571,,,,,,,,
12421248,home,Royal Antwerp FC,Mauricio Benitez,Mauricio Benitez,,mauricio-benitez,M. Benitez,M,16,185.0,390,M,1402224,EUR,1075766400,M,16,16,False,25.0,22.0,,,0.0,10.0,12.0,12.0,13.0,1.0,,2.0,,,,,57.0,31.0,6.2,6.0,0.00473883,0,,1.0,5.0,2.0,1.0,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,
12421248,home,Royal Antwerp FC,Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186.0,1207,M,285989,EUR,842227200,M,4,4,False,27.0,21.0,1.0,1.0,0.0,13.0,16.0,8.0,12.0,3.0,2.0,3.0,1.0,,,,82.0,40.0,7.3,9.0,0.00473145,3,,2.0,4.0,,1.0,,,,,,1.0,,2.0,,2.0,,,0.1671,2.0,1.0,1.0,1.0,0.0886,,1.0,,,,,,
12421248,home,Royal Antwerp FC,Tjaronn Chery,,,tjaronn-chery,T. Chery,M,10,170.0,874,M,35208,EUR,581385600,M,9,9,False,29.0,23.0,2.0,1.0,0.0,8.0,9.0,17.0,32.0,3.0,,6.0,1.0,,,,90.0,49.0,7.7,17.0,0.163737,3,,,,,2.0,2.0,,,1.0,,12.0,2.0,,,,,1.0,0.1967,1.0,2.0,,2.0,0.2693,,,1.0,1.0,,,,
12421248,home,Royal Antwerp FC,Dennis Praet,,,dennis-praet,D. Praet,M,8,181.0,724,M,135647,EUR,768873600,M,8,8,False,20.0,17.0,2.0,2.0,0.0,7.0,10.0,10.0,12.0,3.0,3.0,1.0,,,,,70.0,31.0,6.5,8.0,0.00664183,0,,2.0,6.0,1.0,1.0,,1.0,,3.0,,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,
12421248,home,Royal Antwerp FC,Gyrano Kerk,,,gyrano-kerk,G. Kerk,M,7,175.0,505,M,386950,EUR,817862400,M,7,7,False,17.0,10.0,2.0,,0.0,3.0,4.0,7.0,13.0,3.0,,2.0,2.0,,,,70.0,27.0,6.6,10.0,0.0113228,0,,,3.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,1.0,,,
12421248,home,Royal Antwerp FC,Vincent Janssen,,,vincent-janssen,V. Janssen,F,18,184.0,1452,M,339901,EUR,771552000,F,18,18,False,36.0,27.0,3.0,2.0,0.0,6.0,7.0,21.0,29.0,9.0,2.0,3.0,4.0,,,,90.0,55.0,7.1,17.0,0.0659435,0,,2.0,7.0,,3.0,2.0,1.0,1.0,2.0,,,,3.0,,,,6.0,,,1.0,1.0,,,,,,,,,,
12421248,home,Royal Antwerp FC,Semm Renders,,,semm-renders,S. Renders,D,17,180.0,243,M,1546054,EUR,1197849600,D,54,54,True,21.0,16.0,,,0.0,8.0,12.0,8.0,10.0,,1.0,3.0,,,,,45.0,35.0,6.4,9.0,0.0144961,0,,,5.0,,,,,,1.0,,1.0,,2.0,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,
