match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_goals
12764302,home,FC Midtjylland,Paulinho,,,paulinho,Paulinho,D,29,178,197,M,944458,EUR,789091200,D,29,29,True,12.0,8.0,2.0,1.0,0.0,5.0,7.0,4.0,6.0,1.0,2.0,,,,,25.0,23.0,6.7,5.0,0.0241563,0,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Victor Lind,,,victor-lind,V. Lind,M,7,178,419,M,1000496,EUR,1057968000,F,53,53,True,5.0,3.0,1.0,,0.0,2.0,3.0,1.0,2.0,,,,,,,25.0,9.0,6.7,2.0,0.116891,0,,,,2.0,2.0,2.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Pedro Bravo,Pedro Bravo,,pedro-bravo,P. Bravo,M,19,190,581,M,1116573,EUR,1101427200,M,19,19,True,13.0,8.0,2.0,1.0,0.0,4.0,7.0,4.0,6.0,,4.0,,,,,9.0,18.0,7.0,6.0,0.00546339,0,,,,,1.0,6.0,3.0,2.0,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Jan Kuchta,,,jan-kuchta,J. Kuchta,F,10,184,691,M,824139,EUR,852681600,F,25,25,True,1.0,,,,0.0,,,,1.0,,,,,,,8.0,4.0,6.5,3.0,,0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Jonas Lössl,,,jonas-lossl,J. Lössl,G,1,195,205,M,37514,EUR,602294400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Liam Selin,Liam,Selin,liam-selin,L. Selin,G,31,201,32,M,1423246,EUR,1147305600,G,31,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Han-Beom Lee,,,han-beom-lee,H. Lee,D,3,188,933,M,1002448,EUR,1024272000,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Adam Gabriel,Adam Gabriel,,adam-gabriel,A. Gabriel,D,13,190,137,M,1085914,EUR,991008000,D,13,13,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Juninho,,,juninho,Juninho,D,18,186,513,M,799947,EUR,791596800,D,73,73,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Kristoffer Askildsen,,,askildsen-kristoffer,K. Askildsen,M,19,190,141,M,954855,EUR,978998400,M,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
