match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,length,description
12499596,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12499596,,,,,90,4.0,,1,,,card,Nick Woltemade,Foul,False,121801951.0,True,yellow,980623.0,Nick Woltemade,,,
12499596,,,,,90,2.0,,1,,,substitution,,,,123410141.0,False,regular,,,False,,
12499596,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,5.0,
12499596,,,,,89,,,2,,,substitution,,,,123410090.0,True,regular,,,False,,
12499596,,,,,83,,,8,,,card,Danel Sinani,Time wasting,False,121801890.0,False,yellow,887500.0,Danel Sinani,,,
12499596,,,,,82,,,9,,,substitution,,,,123410027.0,False,injury,,,True,,
12499596,,,,,76,,,15,,,card,Yannik Keitel,Foul,False,121801838.0,True,yellow,877842.0,Yannik Keitel,,,
12499596,,,,,74,,,17,,,substitution,,,,123409964.0,True,regular,,,False,,
12499596,,,,,70,,,21,,,substitution,,,,123409933.0,False,regular,,,False,,
12499596,,,,,70,,,21,,,substitution,,,,123409932.0,False,regular,,,False,,
12499596,,,,,65,,,26,,,substitution,,,,123409908.0,True,regular,,,False,,
12499596,,,,,53,,,38,,,inGamePenalty,,goalkeeperSave,,118508416.0,False,missed,591588.0,Johannes Eggestein,,,Goalkeeper save
12499596,,,,,46,,,45,,,substitution,,,,123409757.0,True,regular,,,False,,
12499596,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12499596,,,,,45,1.0,,1,,,card,Johannes Eggestein,Foul,False,121801603.0,False,yellow,591588.0,Johannes Eggestein,,,
12499596,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,2.0,
12499596,,0.0,1.0,,21,,,25,,,goal,,,,192916635.0,False,regular,591588.0,Johannes Eggestein,,,
