match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,stat_totalContest,player_sofascoreId,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_penaltyMiss,stat_ownGoals,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded
12448391,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,18.0,17.0,2.0,1.0,0.0,17.0,18.0,5.0,2.0,1.0,1.0,90.0,22.0,7.3,1.0,0.00016258,0,0.2898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448391,home,PSV Eindhoven,Rick Karsdorp,,,rick-karsdorp,R. Karsdorp,D,,182,704,M,363792,EUR,792460800,D,2,2,False,77.0,69.0,1.0,,0.0,21.0,22.0,3.0,,,,90.0,93.0,7.6,11.0,0.475667,0,,49.0,58.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12448391,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,D,6,6,False,116.0,105.0,5.0,2.0,0.0,47.0,51.0,3.0,,,,63.0,123.0,7.3,12.0,0.0382694,0,,58.0,65.0,,,2.0,3.0,5.0,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12448391,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,105.0,98.0,8.0,5.0,0.0,39.0,39.0,3.0,,,,63.0,114.0,7.8,9.0,0.25238,2,,59.0,67.0,1.0,,1.0,,3.0,,2.0,2.0,,,,,,,,True,2.0,1.0,0.0561,,,,,,,,,,,,,,,,,
12448391,home,PSV Eindhoven,Matteo Dams,Matteo Dams,,matteo-dams,M. Dams,D,32,184,819,M,1162305,EUR,1078790400,D,32,32,False,82.0,75.0,,,0.0,24.0,25.0,6.0,,,,90.0,110.0,7.5,15.0,0.263311,0,,52.0,62.0,5.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,,1.0,1.0,1.0,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,
12448391,home,PSV Eindhoven,Malik Tillman,,,malik-tillman,M. Tillman,M,10,186,5864,M,975798,EUR,1022544000,M,7,7,False,52.0,50.0,2.0,2.0,0.0,16.0,17.0,9.0,,,,90.0,81.0,8.8,9.0,0.144925,3,,34.0,36.0,1.0,,,4.0,12.0,1.0,8.0,5.0,1.0,1.0,,,,4.0,2.0,,,3.0,0.3033,2.0,MalikTillman8,2.0,2.0,2.0,1.0,1.0,0.9871,,,,,,,,,
12448391,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2263,M,845798,EUR,882748800,M,20,20,False,30.0,23.0,,,0.0,5.0,7.0,4.0,,,,90.0,47.0,6.8,15.0,0.109983,1,,19.0,26.0,3.0,1.0,1.0,7.0,3.0,2.0,2.0,1.0,,,2.0,,,3.0,,,,1.0,0.0826,3.0,,,,,1.0,,,,,,,,,,,
12448391,home,PSV Eindhoven,Ismael Saibari,,,ismael-saibari,I. Saibari,M,34,185,23357,M,1063767,EUR,980640000,M,34,34,False,30.0,28.0,2.0,1.0,2.0,7.0,7.0,6.0,,,,63.0,45.0,8.9,4.0,0.602463,3,,21.0,23.0,,,,2.0,7.0,,4.0,1.0,1.0,4.0,,1.0,,1.0,3.0,,1.0,,0.2376,,ismaelsaibari,1.0,,1.0,1.0,,0.2254,2.0,,,,,,,,
12448391,home,PSV Eindhoven,Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187,17305,M,38710,EUR,602380800,F,5,5,False,31.0,23.0,,,1.0,3.0,4.0,1.0,,,,74.0,44.0,7.5,12.0,0.612122,0,,21.0,31.0,4.0,1.0,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,ivanperisic444,,,,,,,1.0,,,,,,,,
12448391,home,PSV Eindhoven,Ricardo Pepi,,,ricardo-pepi,R. Pepi,F,9,185,3729,M,986395,EUR,1042070400,F,14,14,False,16.0,14.0,,,0.0,3.0,3.0,1.0,,,,90.0,36.0,9.3,9.0,0.0129476,5,,11.0,13.0,,,1.0,4.0,4.0,,,,1.0,,1.0,1.0,,5.0,1.0,,,,0.4358,2.0,,2.0,2.0,4.0,1.0,2.0,1.2475,,1.0,1.0,,,,,,
12448391,home,PSV Eindhoven,Noa Lang,,,noa-lang,N. Lang,F,77,173,15023,M,875136,EUR,929577600,F,10,10,False,32.0,29.0,3.0,1.0,1.0,6.0,7.0,4.0,,,,63.0,49.0,7.9,13.0,0.38486,1,,25.0,30.0,5.0,2.0,,5.0,,1.0,,,,3.0,,,,3.0,,,,,0.2189,4.0,noano,,,1.0,,1.0,0.5313,,,,,,,,,
12448391,home,PSV Eindhoven,Armando Obispo,,,armando-obispo,A. Obispo,D,4,184,450,M,825838,EUR,920592000,D,4,4,True,34.0,33.0,1.0,1.0,0.0,14.0,14.0,2.0,,,,27.0,35.0,6.9,1.0,0.0248035,0,,19.0,20.0,,,3.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448391,home,PSV Eindhoven,Isaac Babadi,,,isaac-babadi,I. Babadi,M,10,179,1021,M,1120701,EUR,1112745600,M,26,26,True,23.0,19.0,1.0,1.0,0.0,1.0,1.0,4.0,,,,27.0,30.0,7.5,8.0,0.0402093,0,,18.0,24.0,2.0,,,,1.0,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
