match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_totalCross,stat_totalContest,stat_wonContest,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_interceptionWon,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goodHighClaim,stat_outfielderBlock,stat_goals,stat_hitWoodwork,stat_errorLeadToAShot
12528116,home,Gaziantep FK,Sokratis Dioudis,sokratis-dioudis,S. Dioudis,G,13,189,266,M,173933,EUR,728697600,G,1,1,False,36.0,23.0,21.0,8.0,0.0,19.0,21.0,4.0,15.0,10.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,46.0,6.4,14.0,0.00357048,0.0,0.6085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528116,home,Gaziantep FK,Semih Güler,semih-guler,S. Güler,D,6,184,112,M,325155,EUR,786153600,D,17,17,False,84.0,77.0,9.0,3.0,0.0,51.0,52.0,26.0,32.0,7.0,,1.0,,,,,90.0,96.0,6.8,8.0,0.02364,1.0,,1.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,0.0225,,,,,,,,,,,,,,,,,,,,,,
12528116,home,Gaziantep FK,Salem M'Bakata,salem-mbakata,S. M'Bakata,D,22,177,65,M,940367,EUR,892944000,D,22,22,False,55.0,45.0,4.0,1.0,0.0,20.0,22.0,25.0,34.0,7.0,,1.0,,,,,90.0,82.0,7.1,16.0,0.0101745,1.0,,4.0,2.0,5.0,6.0,1.0,2.0,3.0,3.0,,0.0167,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12528116,home,Gaziantep FK,Bruno Viana,bruno-viana,B. Viana,D,30,187,241,M,804703,EUR,791942400,D,36,36,False,68.0,62.0,4.0,3.0,0.0,39.0,39.0,23.0,29.0,3.0,,2.0,,,,,80.0,74.0,6.4,8.0,0.0104723,0.0,,1.0,3.0,3.0,4.0,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12528116,home,Gaziantep FK,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182,3151,M,984602,EUR,1066262400,M,10,10,False,32.0,29.0,2.0,1.0,0.0,11.0,11.0,18.0,23.0,,,3.0,,,,,90.0,49.0,6.9,12.0,0.607667,2.0,,2.0,1.0,8.0,4.0,1.0,,,,2.0,0.0727,,,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,
12528116,home,Gaziantep FK,Deian Sorescu,deian-sorescu,D. Sorescu,M,18,175,703,M,797602,EUR,872812800,D,18,18,False,33.0,26.0,3.0,2.0,0.0,11.0,11.0,16.0,28.0,6.0,,,,,,,89.0,56.0,7.1,17.0,0.101753,1.0,,,,2.0,3.0,,,1.0,1.0,,0.008,,,6.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,
12528116,home,Gaziantep FK,Badou Ndiaye,badou-ndiaye,B. Ndiaye,M,,180,427,M,228342,EUR,656985600,M,20,20,False,66.0,62.0,4.0,3.0,0.0,38.0,40.0,24.0,26.0,7.0,,1.0,,,,,90.0,77.0,6.8,6.0,0.0942356,0.0,,1.0,,6.0,5.0,,,1.0,1.0,3.0,,,,,2.0,1.0,2.0,,,3.0,,1.0,,,,,,,,,,,
12528116,home,Gaziantep FK,Ogün Özçiçek,ogun-ozcicek,O. Özçiçek,M,61,172,50,M,859783,EUR,917136000,M,25,25,False,43.0,37.0,4.0,2.0,0.0,18.0,20.0,19.0,23.0,9.0,,1.0,,,,,66.0,50.0,6.9,7.0,0.0181165,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,0.0266,,,,,,,,,,,,,,,1.0,0.2309,,,,,,
12528116,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177,793,M,180511,EUR,647395200,M,44,44,False,65.0,57.0,4.0,2.0,0.0,22.0,22.0,35.0,48.0,2.0,,3.0,,,,,90.0,79.0,6.7,17.0,0.0611812,1.0,,2.0,1.0,4.0,3.0,,,1.0,1.0,1.0,0.1368,,,5.0,,,,,,1.0,,2.0,,1.0,,1.0,0.1199,1.0,,,,,
12528116,home,Gaziantep FK,Halil Dervişoğlu,halil-dervisoglu,H. Dervişoğlu,F,11,183,812,M,930775,EUR,944611200,F,9,9,False,18.0,16.0,,,0.0,3.0,3.0,13.0,16.0,3.0,,,,,,,90.0,33.0,6.6,10.0,0.267636,0.0,,1.0,2.0,9.0,5.0,,,,,1.0,,,,1.0,4.0,1.0,,,,2.0,,1.0,,4.0,,,,,,,,,
