match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_wonContest,stat_totalCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_bigChanceMissed,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_penaltyWon,stat_penaltyFaced,stat_lastManTackle,stat_errorLeadToAGoal,stat_penaltyConceded,stat_errorLeadToAShot
11230171,home,Manchester United,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,1,1,False,26.0,21.0,11.0,6.0,18.0,20.0,3.0,6.0,1.0,5.0,1.0,2.0,4.0,90.0,36.0,7.3,5.0,0.0,0.0,0.00083891,0,-0.0397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230171,home,Manchester United,Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,awbissaka,863653,EUR,880502400,D,29,29,False,51.0,45.0,,,27.0,29.0,18.0,22.0,3.0,4.0,,,,90.0,74.0,6.7,9.0,0.0977,0.0,0.0117122,1,,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11230171,home,Manchester United,Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10134,M,raphael_varane,138310,EUR,735696000,D,19,19,False,46.0,44.0,5.0,5.0,32.0,34.0,12.0,12.0,5.0,3.0,1.0,,,90.0,52.0,7.0,3.0,0.0,0.0,0.191489,0,,2.0,,,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11230171,home,Manchester United,Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,8884,M,victorlindelof,143334,EUR,774403200,D,2,2,False,42.0,41.0,,,31.0,32.0,10.0,10.0,5.0,4.0,,,,90.0,53.0,7.2,1.0,0.0,0.0,0.0428162,0,,4.0,1.0,,,,1.0,1.0,2.0,5.0,3.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,
11230171,home,Manchester United,Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17970,M,lukeshaw23,190839,EUR,805507200,D,23,23,False,17.0,14.0,1.0,,6.0,8.0,8.0,11.0,2.0,2.0,1.0,,,45.0,28.0,6.7,5.0,0.0,0.0,0.00655379,0,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,
11230171,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185,86039,M,Casemiro,122951,EUR,698803200,M,18,18,False,49.0,39.0,6.0,2.0,23.0,27.0,16.0,22.0,7.0,13.0,,,,90.0,64.0,7.8,12.0,0.1175,0.3165,0.193367,2,,7.0,5.0,,1.0,,1.0,1.0,,5.0,2.0,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11230171,home,Manchester United,Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,20866,M,chriseriksen8,105734,EUR,698025600,M,14,14,False,22.0,18.0,2.0,1.0,4.0,5.0,15.0,18.0,1.0,3.0,,,,70.0,31.0,6.5,8.0,0.9171,0.9642,0.107925,1,,5.0,,3.0,,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
11230171,home,Manchester United,Antony,,,antony,Antony,M,7,172,219783,M,Antony,958380,EUR,951350400,M,21,21,False,8.0,4.0,,,1.0,3.0,3.0,6.0,,1.0,,,,29.0,11.0,6.4,6.0,0.0245,0.0,0.0724783,1,,3.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
11230171,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,49.0,37.0,8.0,6.0,17.0,19.0,20.0,30.0,3.0,5.0,1.0,,,86.0,64.0,7.6,16.0,0.9574,0.9651,0.201311,2,,10.0,4.0,2.0,1.0,,,,,1.0,1.0,2.0,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,True,1.0,1.0,1.0,,,,,
11230171,home,Manchester United,Jadon Sancho,,,sancho-jadon,J. Sancho,M,19,180,68579,M,JSancho,851100,EUR,953942400,M,25,25,False,34.0,28.0,2.0,2.0,12.0,13.0,16.0,21.0,3.0,5.0,,,,90.0,49.0,7.3,14.0,0.1744,0.0,1.17187,1,,7.0,3.0,1.0,5.0,1.0,,,,1.0,,3.0,,,,2.0,,,,,5.0,1.0,,,,3.0,,,,,,,
