match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_wonContest,stat_interceptionWon,stat_blockedScoringAttempt,stat_penaltyConceded,stat_fouls,stat_accurateCross,stat_clearanceOffLine,stat_outfielderBlock,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_bigChanceCreated
14035838,home,Cercle Brugge,Maxime Delanghe,maxime-delanghe,M. Delanghe,G,21,189.0,144,M,909953,EUR,990576000,G,21,21,False,26.0,23.0,6.0,3.0,0.0,20.0,20.0,3.0,6.0,1.0,1.0,1.0,12.0,1.0,1.0,2.0,3.0,3.0,90.0,34.0,7.2,3.0,0.00145817,0.3795,0,0.7319,0.05,0.03,-0.06,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035838,home,Cercle Brugge,Ibrahim Diakité,ibrahim-diakite,I. Diakité,D,2,178.0,2182,M,1168646,EUR,1067558400,D,2,2,False,22.0,15.0,2.0,,0.0,8.0,11.0,7.0,11.0,1.0,7.0,5.0,1.0,,,,,,72.0,51.0,6.2,14.0,0.0049704,,1,,-0.04,0.02,-0.16,,Ibrahim Diakité,,1.0,3.0,7.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,0.1113,-0.52,,,,,,,,,,,,,,,,,,,
14035838,home,Cercle Brugge,Christiaan Ravych,ravych-christiaan,C. Ravych,D,66,187.0,206,M,1191212,EUR,1027987200,D,66,66,False,61.0,56.0,9.0,5.0,0.0,31.0,32.0,25.0,29.0,,4.0,2.0,2.0,,,,,,90.0,75.0,6.9,7.0,0.0267348,,0,,0.26,0.18,-0.28,,,,,1.0,2.0,,,2.0,,2.0,1.0,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,
14035838,home,Cercle Brugge,Edgaras Utkus,edgaras-utkus,E. Utkus,D,3,190.0,321,M,921180,EUR,961632000,D,3,3,False,27.0,22.0,4.0,1.0,0.0,15.0,17.0,7.0,10.0,3.0,4.0,4.0,3.0,,,,,,45.0,36.0,6.2,5.0,0.00123334,,1,,0.0,0.05,-0.48,,,,,,1.0,,,,,,,,1.0,0.0154,-0.03,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14035838,home,Cercle Brugge,Flávio Nazinho,nazinho-flavio,F. Nazinho,D,20,180.0,637,M,1006113,EUR,1058659200,D,20,20,False,59.0,43.0,9.0,3.0,0.0,14.0,18.0,29.0,41.0,,5.0,4.0,1.0,,,,,,90.0,98.0,8.2,27.0,0.541391,,1,,0.43,0.5,0.2,,,,13.0,,3.0,,,4.0,1.0,2.0,,3.0,1.0,0.0308,-0.09,2.0,,,,1.0,7.0,1.0,1.0,6.0,,,,,,,,,,
14035838,home,Cercle Brugge,Lawrence Agyekum,lawrence-agyekum,L. Agyekum,M,6,174.0,952,M,1185568,EUR,1069545600,M,6,6,False,16.0,13.0,1.0,,0.0,6.0,7.0,7.0,9.0,,10.0,1.0,6.0,,,,,,83.0,48.0,7.2,12.0,0.0524325,,0,,0.14,0.15,-0.03,,Lawrence Agyekum,,1.0,,8.0,1.0,3.0,3.0,,1.0,1.0,4.0,8.0,,,1.0,3.0,,,2.0,1.0,,,2.0,,,,,,,,,,
14035838,home,Cercle Brugge,Makaya Ibrahima Diaby,makaya-ibrahima-diaby,M. I. Diaby,M,19,,227,M,1473492,EUR,1174089600,M,19,19,False,20.0,15.0,1.0,,0.0,9.0,12.0,6.0,8.0,,2.0,1.0,4.0,,,,,,45.0,28.0,6.5,8.0,0.00273125,,0,,0.01,0.0,0.27,,,,,1.0,2.0,,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
14035838,home,Cercle Brugge,Hannes Van Der Bruggen,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,79.0,70.0,8.0,4.0,0.0,30.0,33.0,40.0,46.0,2.0,3.0,1.0,10.0,,,,,,90.0,91.0,6.8,11.0,0.10807,,1,,0.49,0.07,-0.15,,,,1.0,1.0,4.0,2.0,,,,1.0,1.0,1.0,,0.0344,-0.08,,1.0,,,1.0,,,,1.0,True,1.0,0.0237,,,,,,,
14035838,home,Cercle Brugge,Pieter Gerkens,pieter-gerkens,P. Gerkens,M,18,180.0,179,M,190401,EUR,808272000,M,18,18,False,40.0,27.0,3.0,1.0,0.0,4.0,5.0,23.0,35.0,2.0,4.0,1.0,2.0,,,,,,90.0,53.0,6.6,19.0,0.0465168,,0,,-0.05,0.14,-0.1,,,,3.0,,,,,1.0,,1.0,1.0,3.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,
14035838,home,Cercle Brugge,Steve Ngoura,ngoura-steve,S. Ngoura,F,9,193.0,401,M,1394411,EUR,1109030400,F,9,9,False,11.0,8.0,,,0.0,1.0,2.0,7.0,9.0,3.0,5.0,,2.0,,,,,,90.0,33.0,6.4,13.0,0.228441,,5,,0.13,-0.48,-0.02,,,,1.0,2.0,8.0,,1.0,3.0,3.0,,,5.0,2.0,0.3661,-0.57,,,2.0,,2.0,,,,1.0,,,,1.0,,,,,,
