match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_fouls,stat_accurateCross,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId
14035846,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,232,M,156663,EUR,760492800,G,33,33,False,True,26.0,16.0,14.0,4.0,0.0,14.0,16.0,2.0,10.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,90.0,42.0,6.2,10.0,0.00157142,0.3037,0,0.7208,0.01,0.18,0.27,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
14035846,home,KAA Gent,Maksim Paskotsi,,,maksim-paskotsi,M. Paskotsi,D,3,183,399,M,954621,EUR,1042934400,D,3,3,False,,51.0,44.0,7.0,4.0,0.0,28.0,29.0,16.0,22.0,4.0,4.0,3.0,,1.0,,,,,,,,,90.0,65.0,6.3,10.0,0.0117001,,3,,0.12,0.02,-0.36,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1395,0.6053,0.66,,,,,,,,,,,,,,
14035846,home,KAA Gent,Samuel Kotto,,,kotto-samuel,S. Kotto,D,22,190,2111,M,1103229,EUR,1062547200,D,2,2,False,,51.0,45.0,7.0,5.0,0.0,37.0,37.0,8.0,14.0,9.0,8.0,6.0,,3.0,3.0,1.0,,,,,,,88.0,76.0,6.5,10.0,0.00388721,,2,,0.04,0.15,-0.36,,,6.0,5.0,9.0,2.0,,,,3.0,0.0531,,-0.14,1.0,1.0,1.0,1.0,3.0,,,,,,,,,
14035846,home,KAA Gent,Siebe Van Der Heyden,,,siebe-van-der-heyden,S. V. D. Heyden,D,44,185,270,M,842164,EUR,896486400,D,44,44,False,,43.0,38.0,7.0,5.0,0.0,26.0,29.0,12.0,14.0,7.0,10.0,4.0,,3.0,1.0,,1.0,,,,,,90.0,68.0,6.2,6.0,0.127577,,1,,0.33,0.0,-0.28,,1.0,2.0,3.0,6.0,1.0,,,,,0.027,,-0.14,,1.0,,4.0,3.0,1.0,1.0,,,,,,,
14035846,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,False,,23.0,18.0,3.0,2.0,0.0,7.0,8.0,11.0,15.0,4.0,2.0,1.0,,2.0,1.0,,1.0,,,,,,88.0,51.0,6.7,16.0,0.121275,,0,,0.12,0.13,-0.18,,9.0,,1.0,1.0,,,,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,
14035846,home,KAA Gent,Franck Surdez,,,franck-surdez,F. Surdez,F,19,184,273,M,1092662,EUR,1020556800,M,19,19,False,,14.0,6.0,1.0,,0.0,3.0,5.0,3.0,9.0,2.0,2.0,2.0,,,,,1.0,,,,,,63.0,30.0,6.2,13.0,0.057536,,3,,-0.07,0.05,-0.13,,3.0,1.0,1.0,5.0,2.0,,,,,0.2673,,-0.49,2.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,,
14035846,home,KAA Gent,Leonardo Lopes,,,leonardo-lopes,L. Lopes,M,22,168,202,M,783478,EUR,912384000,M,22,22,False,,39.0,31.0,5.0,4.0,0.0,15.0,18.0,16.0,21.0,5.0,1.0,9.0,,2.0,2.0,,,,,,,,90.0,59.0,6.7,14.0,0.246722,,1,,0.49,0.08,-0.01,,,1.0,,3.0,1.0,,,,4.0,0.0141,,0.01,,5.0,3.0,4.0,,,1.0,,,,,,,
14035846,home,KAA Gent,Atsuki Ito,Atsuki Ito,,atsuki-ito,A. Ito,M,15,185,595,M,1034816,EUR,902793600,M,15,15,False,,38.0,29.0,3.0,3.0,0.0,13.0,15.0,16.0,23.0,6.0,2.0,6.0,,2.0,2.0,,,,,,,,90.0,60.0,7.0,14.0,0.298774,,3,,0.1,0.25,-0.08,,2.0,3.0,2.0,4.0,,2.0,,,1.0,0.1245,0.4067,0.17,,3.0,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,
14035846,home,KAA Gent,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,265,M,997024,EUR,985651200,M,20,20,False,,10.0,7.0,2.0,,0.0,2.0,3.0,5.0,7.0,1.0,1.0,1.0,,,,,1.0,,,,,,63.0,33.0,6.4,15.0,0.140332,,0,,0.23,0.03,-0.13,,4.0,1.0,,3.0,,,,,1.0,,,,,2.0,,,,2.0,3.0,,,,,,,
14035846,home,KAA Gent,Wilfried Kanga,,,wilfried-kanga,W. Kanga,F,7,189,938,M,838640,EUR,888019200,F,7,7,False,,18.0,14.0,,,1.0,5.0,6.0,9.0,12.0,6.0,2.0,1.0,,,,,3.0,,,,,,90.0,38.0,6.8,11.0,0.019529,,4,,0.04,0.03,0.17,,1.0,5.0,3.0,5.0,3.0,1.0,,,6.0,0.4024,0.8073,0.21,,,,,1.0,,3.0,,,,,1.0,2.0,
