match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_totalTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_outfielderBlock,stat_interceptionWon,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_bigChanceCreated,stat_bigChanceMissed
11407481,home,Juventus,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196,95111,M,wojciech.szczesny1,50490,EUR,640396800,G,1,1,False,24.0,13.0,16.0,6.0,9.0,12.0,4.0,12.0,1.0,1.0,12.0,3.0,1.0,90.0,35.0,7.2,12.0,0.00074204,0,0.2132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407481,home,Juventus,Federico Gatti,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,22.0,17.0,6.0,3.0,11.0,12.0,6.0,10.0,2.0,3.0,1.0,,,90.0,28.0,7.5,5.0,0.00301123,1,,Federico Gatti,,1.0,1.0,1.0,1.0,2.0,1.0,0.1383,0.3848,,,,,,,,,,,,,,,,,,,,,
11407481,home,Juventus,Bremer,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,24.0,15.0,7.0,2.0,7.0,12.0,8.0,12.0,2.0,5.0,4.0,,,90.0,34.0,7.0,9.0,0.00694295,0,,,,6.0,,,,7.0,2.0,,,5.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
11407481,home,Juventus,Danilo,danilo,Danilo,D,13,184,15175,M,Danilo,124992,EUR,679536000,D,6,6,False,49.0,36.0,17.0,8.0,24.0,29.0,12.0,20.0,,3.0,8.0,,,90.0,64.0,7.3,15.0,0.00724349,0,,,,3.0,,,,3.0,3.0,,,2.0,3.0,,2.0,True,1.0,1.0,,,,,,,,,,,,,,
11407481,home,Juventus,Andrea Cambiaso,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,M,27,27,False,19.0,16.0,,,9.0,11.0,8.0,11.0,1.0,9.0,3.0,,,89.0,41.0,7.4,10.0,0.236701,1,,,,8.0,1.0,,,1.0,4.0,0.0497,,1.0,2.0,2.0,4.0,,,,1.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,,,,
11407481,home,Juventus,Weston McKennie,weston-mckennie,W. McKennie,M,22,185,7292,M,west.mckennie,881931,EUR,904262400,M,16,16,False,27.0,20.0,2.0,1.0,11.0,13.0,9.0,14.0,2.0,6.0,4.0,,,89.0,45.0,6.9,15.0,0.00837439,1,,,,6.0,,,,2.0,3.0,0.3005,,2.0,2.0,,1.0,,,,,,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,
11407481,home,Juventus,Manuel Locatelli,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,33.0,28.0,6.0,4.0,12.0,14.0,16.0,19.0,,4.0,6.0,,,90.0,47.0,7.0,9.0,0.0122355,1,,,,3.0,1.0,,,2.0,3.0,0.0257,,1.0,2.0,1.0,1.0,,,,,,,,,,,3.0,,,1.0,,,
11407481,home,Juventus,Adrien Rabiot,adrien-rabiot,A. Rabiot,M,12,191,11335,M,adrienrabiot_25,250737,EUR,796867200,M,25,25,False,32.0,22.0,3.0,2.0,12.0,16.0,10.0,16.0,1.0,3.0,7.0,,,90.0,44.0,6.7,14.0,0.0101121,1,,,,3.0,,,,,1.0,0.0203,,,1.0,1.0,,,,2.0,,,,3.0,,,,1.0,,,1.0,,,
11407481,home,Juventus,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,filipkostic,126588,EUR,720576000,M,11,11,False,22.0,13.0,4.0,,6.0,11.0,9.0,19.0,1.0,4.0,6.0,,,83.0,44.0,7.0,17.0,0.0425667,0,,,,3.0,,,,,3.0,,,1.0,2.0,,,,1.0,1.0,,8.0,2.0,1.0,1.0,,,,,,,,,
11407481,home,Juventus,Dušan Vlahović,dusan-vlahovic,D. Vlahović,F,9,190,43057,M,DV9,832208,EUR,949017600,F,9,9,False,9.0,7.0,1.0,,3.0,4.0,4.0,5.0,1.0,3.0,,,,70.0,21.0,6.9,6.0,0.00368156,3,,,,4.0,1.0,1.0,,,,0.4742,0.0597,3.0,,2.0,,,,,,,,,,,1.0,4.0,,1.0,1.0,,,
