match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_dispossessed,stat_fouls,player_firstName,player_lastName,captain,stat_clearanceOffLine,stat_outfielderBlock,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_totalOffside,stat_shotOffTarget,stat_lastManTackle,stat_errorLeadToAGoal,stat_crossNotClaimed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
14109723,home,Kasımpaşa,Andreas Gianniotis,andreas-gianniotis,A. Gianniotis,G,1,190.0,177,M,236746,EUR,724636800,G,1,1,False,32.0,18.0,19.0,5.0,0.0,14.0,15.0,4.0,17.0,5.0,1.0,2.0,90.0,39.0,4.9,14.0,0.00129475,56.688603776465,9.0,13.755,9.135,0.0095,0,-2.0253,0.03,0.01,-0.28,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109723,home,Kasımpaşa,Cláudio Winck,claudio-winck,C. Winck,D,2,183.0,184,M,155998,EUR,766368000,D,2,2,False,24.0,17.0,2.0,1.0,0.0,6.0,8.0,11.0,16.0,5.0,,,90.0,52.0,5.7,15.0,0.125453,180.4865997817,17.0,146.055,30.03,,3,,0.27,0.31,-0.59,,6.0,1.0,4.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,0.3098,1.0,-0.6,,,,,,,,,,,,,,,,,,,,
14109723,home,Kasımpaşa,Nicholas Opoku,nicholas-opoku,N. Opoku,D,20,190.0,508,M,885683,EUR,871257600,D,20,20,False,41.0,36.0,6.0,3.0,0.0,23.0,27.0,13.0,14.0,4.0,,,90.0,50.0,5.6,8.0,0.0114183,76.738352975344,13.0,8.4,5.46,,0,,0.0,0.06,-0.69,,,,,4.0,2.0,2.0,,,,,,2.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14109723,home,Kasımpaşa,Attila Szalai,attila-szalai,A. Szalai,D,41,192.0,2464,M,823092,EUR,885254400,D,41,41,False,23.0,19.0,5.0,3.0,0.0,14.0,16.0,5.0,7.0,2.0,,,45.0,28.0,6.9,5.0,0.00940576,20.274170166317,4.0,1.155,3.99,,0,,0.15,0.01,-0.16,,,,,,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,True,1.0,1.0,,,,,,,,,,,,
14109723,home,Kasımpaşa,Adem Arous,adem-arous,A. Arous,D,4,188.0,619,M,2018238,EUR,1090022400,D,4,4,False,44.0,33.0,12.0,7.0,0.0,21.0,25.0,12.0,19.0,4.0,,,90.0,60.0,7.9,13.0,0.0216175,117.26390942365,16.0,-3.885,6.51,,1,,0.14,0.13,-0.46,,1.0,,2.0,3.0,11.0,,1.0,1.0,,1.0,,6.0,1.0,4.0,3.0,1.0,1.0,0.147,1.0,0.51,5.0,,1.0,Adem Arous,,,,,1.0,0.602,,,,,,,,,,
14109723,home,Kasımpaşa,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180.0,172,M,931743,EUR,924652800,D,21,21,False,35.0,22.0,4.0,,0.0,14.0,19.0,8.0,16.0,5.0,,,90.0,63.0,6.3,18.0,0.248444,104.26713659343,10.0,67.2,35.28,,0,,0.28,0.09,-0.48,,6.0,2.0,2.0,2.0,6.0,,1.0,1.0,,,,3.0,1.0,2.0,2.0,,3.0,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,
14109723,home,Kasımpaşa,Mamadou Fall,mamadou-fall,M. Fall,M,7,184.0,380,M,822228,EUR,694137600,M,7,7,False,4.0,2.0,,,0.0,,1.0,2.0,3.0,1.0,,,64.0,21.0,6.5,8.0,0.0833657,39.847234250115,6.0,23.94,11.34,,1,,0.21,0.14,-0.1,,2.0,,2.0,3.0,5.0,,2.0,2.0,,,1.0,,,,,4.0,3.0,0.0498,,-0.09,,,1.0,,,,,,,,,2.0,,,,,,,,
14109723,home,Kasımpaşa,Andri Baldursson,andri-baldursson,A. Baldursson,M,16,187.0,234,M,932856,EUR,1010620800,M,16,16,False,47.0,37.0,8.0,3.0,0.0,12.0,14.0,25.0,33.0,5.0,,,90.0,55.0,6.7,12.0,0.053992,89.240518715439,16.0,-1.785,10.29,,2,,0.29,0.02,-0.25,,,,,4.0,4.0,1.0,,,,,,,,1.0,,,,0.1179,,-0.24,3.0,,4.0,,,,,1.0,,,,,2.0,,,,,,,
14109723,home,Kasımpaşa,Cafú,cafu,Cafú,M,8,185.0,212,M,110956,EUR,730684800,M,8,8,False,3.0,2.0,,,0.0,2.0,2.0,,1.0,1.0,,,14.0,8.0,6.7,2.0,1.1e-06,10.004873102761,2.0,0.84,3.57,,1,,-0.05,0.05,0.15,,1.0,,,,3.0,,,,,1.0,,,,,,,2.0,0.0154,,0.01,1.0,,,,,,,,,0.0607,,,,,,,,,,
14109723,home,Kasımpaşa,Mortadha Ben Ouanes,mortadha-ben-ouanes,M. B. Ouanes,M,12,182.0,1246,M,919225,EUR,773107200,M,12,12,False,34.0,29.0,2.0,1.0,0.0,11.0,12.0,18.0,22.0,5.0,,,90.0,52.0,6.9,14.0,0.580773,96.403985837004,15.0,0.52500000000001,9.45,,1,,0.55,0.04,-0.21,,5.0,,1.0,4.0,2.0,1.0,2.0,1.0,,,1.0,,,,,2.0,1.0,0.0077,2.0,-0.07,,1.0,,,,,,,,,1.0,,,,,,,,,
