match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_outfielderBlock,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside
12436455,home,Chelsea,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,False,39.0,33.0,10.0,5.0,0.0,32.0,34.0,1.0,5.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,3.0,1.0,90.0,55.0,6.7,6.0,0.0011738,0,0.0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436455,home,Chelsea,Reece James,reece-james,R. James,D,24,180,49594,M,ReeceJ,885908,EUR,944611200,D,24,24,False,67.0,60.0,9.0,4.0,0.0,29.0,31.0,32.0,39.0,3.0,9.0,1.0,4.0,,,,,,77.0,92.0,8.0,11.0,0.0421594,2,,,,True,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0505,2.0,,,,,,,,,
12436455,home,Chelsea,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,tosinadarabioyo,352668,EUR,875059200,D,4,4,False,93.0,89.0,5.0,2.0,0.0,69.0,69.0,20.0,24.0,1.0,2.0,2.0,2.0,,,,,,90.0,99.0,7.4,5.0,0.0167813,1,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.2403,,1.0,1.0,0.7384,,,,,,
12436455,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,23,23,False,80.0,77.0,3.0,2.0,1.0,52.0,53.0,25.0,28.0,4.0,6.0,7.0,1.0,,,,,,90.0,97.0,8.4,4.0,0.015075,2,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,3.0,,,,,1.0,1.0,0.1404,2.0,1.0,,,2.0,1.0,,,,
12436455,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,False,53.0,42.0,6.0,1.0,0.0,18.0,18.0,25.0,36.0,,1.0,,9.0,,,,,,90.0,63.0,7.4,12.0,0.0604898,1,,,,,1.0,1.0,2.0,3.0,,,,,,,,,1.0,1.0,1.0,0.8968,,1.0,1.0,0.981,,1.0,,,,
12436455,home,Chelsea,Kiernan Dewsbury-Hall,dewsbury-hall-kiernan,K. Dewsbury-Hall,M,22,178,10632,M,kdh_8,861970,EUR,905040000,M,22,22,False,33.0,31.0,2.0,1.0,1.0,13.0,14.0,18.0,20.0,,3.0,1.0,1.0,,,,,,77.0,49.0,7.2,9.0,0.139459,1,,,,,1.0,,1.0,7.0,2.0,,,1.0,,,2.0,2.0,1.0,1.0,1.0,0.2226,1.0,,,,1.0,,1.0,2.0,,
12436455,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,59.0,51.0,4.0,2.0,0.0,29.0,31.0,22.0,28.0,1.0,7.0,2.0,7.0,,,,,,90.0,80.0,6.9,12.0,0.0145478,1,,,,,,,,3.0,3.0,1.0,,1.0,1.0,,3.0,2.0,2.0,2.0,1.0,0.0234,,,,,,1.0,,,,
12436455,home,Chelsea,Noni Madueke,noni-madueke,N. Madueke,M,20,182,40178,M,nonzinoo10,966547,EUR,1015718400,M,11,11,False,22.0,19.0,1.0,1.0,0.0,4.0,4.0,16.0,25.0,,2.0,1.0,,,,,,,84.0,55.0,7.4,20.0,0.396068,6,,,,,7.0,1.0,,10.0,3.0,1.0,2.0,2.0,,,,,4.0,1.0,2.0,1.1839,2.0,2.0,1.0,1.0404,,,3.0,4.0,,
12436455,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,40.0,34.0,4.0,3.0,0.0,13.0,14.0,23.0,29.0,,2.0,,3.0,,,,,,84.0,55.0,7.2,11.0,0.120314,3,,,,,3.0,2.0,,2.0,2.0,,1.0,1.0,,,,,1.0,2.0,,0.1825,3.0,1.0,,0.3144,,,,,,
12436455,home,Chelsea,Pedro Neto,pedro-neto,P. Neto,M,7,172,39913,M,pedroneto_30,879349,EUR,952560000,M,7,7,False,19.0,15.0,2.0,2.0,0.0,3.0,3.0,13.0,22.0,,,1.0,1.0,,,,,,62.0,31.0,6.7,12.0,0.0906565,0,,,,,6.0,1.0,2.0,2.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,
