match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_challengeLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals,stat_totalOffside,stat_wonContest,stat_punches,stat_lastManTackle,stat_errorLeadToAShot,stat_clearanceOffLine
14025075,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,1,1,False,41.0,29.0,14.0,3.0,0.0,29.0,31.0,10.0,7.0,1.0,2.0,2.0,90.0,50.0,7.2,12.0,7.352e-05,0.3203,0,0.1832,0.01,0.0,0.23,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025075,home,Fulham,Kenny Tete,kenny-tete,K. Tete,D,2,180,1146,M,190877,EUR,813196800,D,2,2,False,33.0,25.0,3.0,1.0,0.0,12.0,15.0,18.0,,,,,90.0,63.0,6.7,17.0,0.0250129,,0,,0.17,-0.23,0.15,,13.0,3.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14025075,home,Fulham,Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2378,M,362682,EUR,833500800,D,5,5,False,75.0,69.0,4.0,2.0,0.0,44.0,46.0,29.0,1.0,,,,90.0,92.0,7.7,6.0,0.0184491,,2,,0.17,0.15,0.62,,25.0,,,,2.0,4.0,,,13.0,,1.0,1.0,,,,,True,3.0,2.0,2.0,1.0,0.0584,-0.28,,,,,,,,,,,,,,,
14025075,home,Fulham,Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,8710,M,861972,EUR,946598400,D,3,3,False,73.0,67.0,6.0,1.0,0.0,43.0,44.0,29.0,5.0,,,,90.0,87.0,7.1,8.0,0.0313295,,0,,0.23,0.09,0.23,,24.0,1.0,1.0,2.0,3.0,4.0,,1.0,5.0,,2.0,2.0,1.0,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,
14025075,home,Fulham,Ryan Sessegnon,ryan-sessegnon,R. Sessegnon,D,30,178,1731,M,836698,EUR,958608000,D,30,30,False,37.0,32.0,3.0,3.0,0.0,17.0,20.0,17.0,2.0,,,,90.0,61.0,6.9,12.0,0.0486098,,2,,0.28,0.02,0.2,,15.0,4.0,,1.0,4.0,1.0,2.0,1.0,3.0,1.0,,,,1.0,,1.0,,,,1.0,,0.1366,-0.43,,,1.0,1.0,,,,,,,,,,,
14025075,home,Fulham,Sander Berge,sander-berge,S. Berge,M,16,195,2096,M,793167,EUR,887414400,M,16,16,False,62.0,55.0,5.0,5.0,0.0,23.0,26.0,36.0,5.0,,,,90.0,73.0,7.8,9.0,0.114354,,1,,0.27,0.31,0.24,,32.0,2.0,1.0,,1.0,7.0,,,2.0,,3.0,2.0,1.0,,1.0,3.0,,4.0,,,,0.0361,-0.13,,,,,1.0,1.0,0.0234,,,,,,,,
14025075,home,Fulham,Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,8263,M,352770,EUR,831081600,M,17,17,False,51.0,45.0,5.0,3.0,0.0,21.0,24.0,27.0,6.0,,,,89.0,71.0,7.1,13.0,0.039446,,2,,0.15,0.31,0.31,,24.0,3.0,,,4.0,4.0,2.0,2.0,2.0,,3.0,1.0,,1.0,,,,,,1.0,,0.0729,-0.19,,,,,,1.0,0.0339,alexanderiwobi,,,,,,,
14025075,home,Fulham,Harry Wilson,harry-wilson,H. Wilson,M,8,173,4932,M,355528,EUR,858988800,M,8,8,False,20.0,17.0,,,0.0,2.0,2.0,18.0,,,,,89.0,36.0,6.5,9.0,0.0626446,,4,,0.19,0.15,0.0,,15.0,5.0,1.0,,2.0,2.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,2.0,,0.3623,-0.67,,,,2.0,,,,,,,,,,,
14025075,home,Fulham,Joshua King,joshua-king,J. King,M,24,172,1804,M,1546231,EUR,1167782400,M,24,24,False,14.0,11.0,,,0.0,1.0,2.0,12.0,2.0,,,,64.0,27.0,6.2,9.0,0.0450258,,2,,0.02,0.01,0.15,,10.0,,,3.0,5.0,,,2.0,,1.0,,,3.0,,,1.0,,,,2.0,,0.1115,-0.19,Joshua King,,,,,,,,,,,,,,
14025075,home,Fulham,Kevin,kevin,Kevin,M,22,176,5325,M,1112879,EUR,1041638400,M,22,22,False,21.0,19.0,2.0,2.0,0.0,7.0,7.0,14.0,5.0,,,,64.0,40.0,7.3,9.0,0.155736,,3,,0.35,0.47,0.19,,12.0,6.0,3.0,,4.0,4.0,1.0,3.0,,2.0,,,,3.0,,1.0,,1.0,,1.0,,0.2764,-0.52,Kevin,,1.0,,,2.0,0.4097,,,,,,,,
