match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_shotOffTarget,stat_interceptionWon,stat_totalContest,stat_wonContest,stat_hitWoodwork,stat_blockedScoringAttempt,stat_fouls,stat_dispossessed,stat_goals,stat_goalAssist,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_punches
12189910,home,Union Omaha SC,Rashid Nuhu,rashid-nuhu,R. Nuhu,G,24,187.0,15,M,1026478,EUR,818294400.0,G,24,24,False,True,25.0,20.0,11.0,6.0,14.0,15.0,6.0,10.0,1.0,1.0,8.0,4.0,90.0,33.0,6.8,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189910,home,Union Omaha SC,Jerome Mechack,jerome-mechack,J. Mechack,D,,168.0,168,M,556152,EUR,640656000.0,D,2,2,False,,62.0,50.0,14.0,9.0,38.0,47.0,13.0,16.0,2.0,1.0,2.0,,90.0,77.0,7.3,14.0,0,1.0,1.0,1.0,3.0,8.0,3.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12189910,home,Union Omaha SC,Luca Mastrantonio,luca-mastrantonio,L. Mastrantonio,D,4,185.0,7,M,1113510,EUR,833155200.0,D,4,4,False,,64.0,56.0,10.0,5.0,41.0,44.0,15.0,20.0,2.0,1.0,4.0,,90.0,70.0,6.9,8.0,1,,,1.0,2.0,2.0,2.0,,,,,,Luca Mastrantonio,,1.0,1.0,,,,,,,,,,,,,,,
12189910,home,Union Omaha SC,Blake Malone,blake-malone,B. Malone,D,3,180.0,1,M,1019781,EUR,985305600.0,D,3,3,False,,61.0,53.0,9.0,7.0,22.0,25.0,31.0,36.0,2.0,,1.0,,90.0,69.0,7.0,9.0,2,,,2.0,3.0,3.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
12189910,home,Union Omaha SC,Dion Jeremy Acoff,acoff-dion-jeremy,D. J. Acoff,M,26,175.0,2,M,839980,EUR,685584000.0,M,26,26,False,,23.0,18.0,1.0,,12.0,13.0,6.0,15.0,,,3.0,,78.0,49.0,7.2,13.0,1,5.0,,,,3.0,,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
12189910,home,Union Omaha SC,PC,pc,PC,M,,173.0,29,M,353628,EUR,763257600.0,M,6,6,False,,62.0,55.0,5.0,4.0,20.0,20.0,36.0,48.0,5.0,,6.0,,90.0,83.0,7.1,16.0,2,6.0,1.0,1.0,,4.0,1.0,1.0,,4.0,3.0,1.0,,,1.0,,,1.0,,,,1.0,4.0,,,,,,,,
12189910,home,Union Omaha SC,Pedro Dolabella,pedro-dolabella,P. Dolabella,M,8,193.0,18,M,1197669,EUR,933206400.0,M,9,9,False,,36.0,31.0,5.0,5.0,13.0,15.0,18.0,22.0,5.0,1.0,6.0,,78.0,42.0,7.2,8.0,1,1.0,,1.0,1.0,2.0,,,,,1.0,,Pedro Dolabella,,1.0,,,,,,,,1.0,2.0,1.0,,,,,,
12189910,home,Union Omaha SC,Joe Gallardo,joe-gallardo,J. Gallardo,M,7,171.0,15,M,818393,EUR,883612800.0,M,7,7,False,,27.0,13.0,1.0,1.0,5.0,9.0,12.0,26.0,6.0,1.0,2.0,,69.0,49.0,7.6,23.0,3,8.0,4.0,,1.0,6.0,,1.0,1.0,2.0,2.0,2.0,,,2.0,,1.0,1.0,2.0,2.0,,,3.0,2.0,,,,,,,
12189910,home,Union Omaha SC,Josué Gómez,josue-gomez,J. Gómez,F,21,175.0,15,M,885351,EUR,777686400.0,F,21,21,False,,40.0,31.0,,,7.0,8.0,24.0,33.0,2.0,1.0,2.0,,90.0,58.0,7.8,13.0,2,1.0,,,2.0,8.0,,1.0,1.0,3.0,4.0,2.0,,,,,2.0,1.0,1.0,1.0,,,1.0,,,1.0,2.0,,,,
12189910,home,Union Omaha SC,Marco Milanese,marco-milanese,M. Milanese,D,,185.0,12,M,867259,EUR,901843200.0,F,5,5,False,,35.0,29.0,5.0,3.0,10.0,14.0,22.0,27.0,6.0,2.0,3.0,,90.0,53.0,7.3,13.0,1,6.0,3.0,2.0,,4.0,,2.0,1.0,3.0,1.0,,,,1.0,,,,2.0,1.0,,,1.0,,1.0,,,,,,
