match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_wonTackle,player_firstName,player_lastName,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
12437764,home,Espanyol,Joan García,joan-garcia,J. García,G,13,193,111965,M,930267,EUR,988934400,G,1,1,False,25.0,18.0,11.0,4.0,0.0,17.0,19.0,1.0,6.0,1.0,1.0,2.0,12.0,3.0,2.0,2.0,2.0,90.0,37.0,7.2,7.0,0.00033679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437764,home,Espanyol,Álvaro Tejero,alvaro-tejero,Á. Tejero,D,15,173,307,M,826679,EUR,837820800,D,12,12,False,49.0,39.0,6.0,1.0,0.0,20.0,24.0,20.0,36.0,,2.0,2.0,1.0,,,,,90.0,79.0,7.1,21.0,0.0654235,0,11.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12437764,home,Espanyol,Marash Kumbulla,marash-kumbulla,M. Kumbulla,D,4,191,1585,M,893642,EUR,949968000,D,4,4,False,42.0,38.0,3.0,3.0,0.0,32.0,34.0,6.0,8.0,3.0,4.0,4.0,5.0,,,,,90.0,51.0,7.0,5.0,0.00292501,0,,,8.0,1.0,,1.0,,1.0,,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12437764,home,Espanyol,Leandro Cabrera,leandro-cabrera,L. Cabrera,D,6,190,819,M,81992,EUR,677116800,D,6,6,False,50.0,43.0,9.0,6.0,0.0,28.0,30.0,15.0,21.0,4.0,4.0,5.0,2.0,,,,,90.0,62.0,7.3,10.0,0.0955059,0,1.0,,3.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,
12437764,home,Espanyol,Brian Oliván,brian-olivan,B. Oliván,D,12,179,147,M,351500,EUR,765158400,D,14,14,False,26.0,20.0,7.0,4.0,0.0,10.0,11.0,11.0,19.0,,,2.0,1.0,,,,,90.0,48.0,7.0,12.0,0.0298991,2,4.0,1.0,3.0,1.0,1.0,,,,2.0,2.0,,,,,,1.0,1.0,1.0,2.0,0.0173,,,,,,,,,
12437764,home,Espanyol,Antoniu Roca,antoniu-roca,A. Roca,M,20,180,175,M,1099344,EUR,1031184000,M,31,31,False,9.0,7.0,,,0.0,1.0,2.0,7.0,10.0,,7.0,,2.0,,,,,60.0,24.0,7.1,6.0,0.0472304,0,3.0,1.0,2.0,1.0,,2.0,2.0,1.0,,,,,2.0,,,,,2.0,2.0,,3.0,3.0,,,,,,,
12437764,home,Espanyol,Alex Král,alex-kral,A. Král,M,33,185,664,M,825740,EUR,895536000,M,20,20,False,25.0,20.0,,,0.0,12.0,15.0,8.0,11.0,2.0,7.0,1.0,2.0,,,,,90.0,42.0,6.8,13.0,0.00409932,0,1.0,,5.0,1.0,,3.0,1.0,2.0,1.0,,2.0,,2.0,,,,,3.0,,,1.0,1.0,,,,,,,
12437764,home,Espanyol,Pol Lozano,pol-lozano,P. Lozano,M,10,176,521,M,826010,EUR,939168000,M,10,10,False,42.0,38.0,2.0,1.0,0.0,17.0,18.0,22.0,26.0,,6.0,,8.0,,,,,90.0,58.0,6.9,7.0,0.0336377,1,2.0,1.0,6.0,1.0,,4.0,2.0,2.0,,1.0,,,2.0,,,,,,,0.0155,2.0,,1.0,0.2781,,,,,
12437764,home,Espanyol,Carlos Romero,carlos-romero,C. Romero,D,22,174,1103,M,1396048,EUR,1004313600,M,22,22,False,32.0,22.0,5.0,,0.0,6.0,7.0,16.0,27.0,,2.0,1.0,10.0,,,,,86.0,43.0,6.8,16.0,0.0164137,1,2.0,,2.0,2.0,1.0,1.0,,,1.0,,,,,Carlos Romero,,1.0,,3.0,,0.0178,1.0,1.0,,,,,,,
12437764,home,Espanyol,Irvin Cardona,irvin-cardona,I. Cardona,F,7,185,565,M,605552,EUR,870998400,F,24,24,False,12.0,10.0,,,0.0,3.0,3.0,7.0,9.0,,4.0,,,,,,,74.0,26.0,6.5,7.0,0.0168131,0,,,3.0,,,1.0,3.0,,1.0,,1.0,,,,,,,2.0,1.0,,2.0,,,,,,,,
