match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_goals,stat_unsuccessfulTouch,captain,stat_goalAssist,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_totalOffside
11406875,home,Genoa,Josep Martínez,josep-martinez,J. Martínez,G,13,191,2817,M,845291,EUR,896227200,G,1,1,False,54.0,36.0,28.0,12.0,27.0,30.0,9.0,24.0,1.0,10.0,1.0,4.0,5.0,1.0,1.0,1.0,90.0,63.0,6.8,18.0,0.0129139,0,0.9261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406875,home,Genoa,Alessandro Vogliacco,alessandro-vogliacco,A. Vogliacco,D,4,186,344,M,807295,EUR,905731200,D,14,14,False,24.0,21.0,3.0,,12.0,13.0,9.0,12.0,6.0,4.0,,,,,,,89.0,42.0,6.5,5.0,0.0125541,1,,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0111,,,,,,,,,,,,,,,,,,,,,,,,
11406875,home,Genoa,Mattia Bani,mattia-bani,M. Bani,D,13,188,270,M,250547,EUR,755481600,D,13,13,False,58.0,52.0,5.0,4.0,40.0,44.0,12.0,14.0,4.0,10.0,,,,,,,90.0,74.0,6.7,6.0,0.0217368,0,,,6.0,7.0,1.0,,,4.0,1.0,,,,4.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
11406875,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,64.0,54.0,9.0,4.0,36.0,38.0,18.0,26.0,,4.0,,,,,,,90.0,79.0,6.8,11.0,0.0116679,1,,,2.0,5.0,1.0,,,1.0,3.0,0.034,,,1.0,1.0,1.0,3.0,1.0,,1.0,0.1756,,,,,,,,,,,,,,
11406875,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179,199,M,184421,EUR,726883200,M,20,20,False,9.0,8.0,1.0,,1.0,1.0,7.0,12.0,,4.0,,,,,,,83.0,17.0,6.4,7.0,0.00785721,0,,4.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11406875,home,Genoa,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181,4666,M,195850,EUR,736473600,M,17,17,False,63.0,51.0,10.0,4.0,24.0,25.0,27.0,38.0,,8.0,,,,,,,90.0,79.0,7.1,16.0,0.0321787,5,,,10.0,3.0,1.0,1.0,1.0,,1.0,0.1687,,,4.0,1.0,1.0,,,4.0,2.0,0.3079,malinovskyi18,2.0,1.0,2.0,1.0,2.0,,,,,,,,
11406875,home,Genoa,Milan Badelj,milan-badelj,M. Badelj,M,,186,902,M,39482,EUR,604368000,M,47,47,False,45.0,35.0,2.0,,16.0,16.0,19.0,30.0,1.0,5.0,,,,,,,63.0,61.0,7.4,14.0,0.0360705,0,,1.0,2.0,6.0,1.0,1.0,,1.0,3.0,,,,,1.0,,2.0,,,,,,2.0,2.0,,,2.0,True,1.0,3.0,,,,,
11406875,home,Genoa,Kevin Strootman,kevin-strootman,K. Strootman,M,,186,405,M,34221,EUR,634867200,M,8,8,False,51.0,45.0,3.0,2.0,16.0,18.0,32.0,37.0,2.0,6.0,,,,,,,63.0,64.0,6.8,9.0,0.150969,0,,4.0,4.0,3.0,3.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,1.0,,,2.0,3.0,,,,
11406875,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,45.0,31.0,4.0,1.0,15.0,18.0,16.0,28.0,1.0,8.0,,,,,,,90.0,62.0,6.7,17.0,0.00801891,2,,1.0,1.0,4.0,1.0,,1.0,1.0,4.0,0.099,,,,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,
11406875,home,Genoa,Mateo Retegui,mateo-retegui,M. Retegui,F,32,186,15837,M,914501,EUR,925344000,F,19,19,False,30.0,24.0,,,8.0,8.0,16.0,23.0,,6.0,,,,,,,90.0,48.0,6.9,16.0,0.0355929,3,,1.0,11.0,5.0,,1.0,,,1.0,0.1159,,,5.0,2.0,,,1.0,2.0,2.0,0.4526,mateoretegui,5.0,1.0,1.0,,4.0,,,,,,,,
