match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonTackle,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_wasFouled,player_sofascoreId,captain,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_goalAssist
11408433,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,31.0,20.0,23.0,12.0,11.0,13.0,9.0,18.0,2.0,10.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,42.0,7.2,12.0,0.00123592,0,-0.1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408433,home,SC Farense,Fran Delgado,fran-delgado,F. Delgado,D,2,181,27,M,1066011,EUR,994809600,D,2,2,False,19.0,9.0,4.0,,6.0,9.0,3.0,11.0,2.0,4.0,,,,,,,77.0,38.0,6.4,15.0,0.178262,0,,Fran Delgado,,1.0,5.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
11408433,home,SC Farense,Gonçalo Silva,goncalo-silva,G. Silva,D,37,184,75,M,169729,EUR,675993600,D,37,37,False,42.0,36.0,6.0,3.0,30.0,31.0,6.0,11.0,8.0,3.0,,,,,,,90.0,58.0,7.3,7.0,0.00984396,2,,,,,5.0,4.0,,,,,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.1082,0.3882,,,,,,,,,,,,,
11408433,home,SC Farense,Igor Rossi,igor-rossi,I. Rossi,D,,189,32,M,147732,EUR,605491200,D,3,3,False,53.0,48.0,6.0,4.0,40.0,41.0,8.0,12.0,3.0,,,,,,,,90.0,61.0,6.8,6.0,0.00743482,0,,,,,2.0,4.0,,,,1.0,,,2.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,,
11408433,home,SC Farense,Talys,talys,Talys,D,,179,45,M,913907,EUR,918604800,D,12,12,False,31.0,18.0,10.0,2.0,10.0,16.0,9.0,22.0,3.0,5.0,1.0,,,,,,88.0,62.0,7.0,21.0,0.385866,0,,,,7.0,4.0,9.0,,2.0,2.0,3.0,2.0,1.0,,2.0,,,,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,,
11408433,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,29.0,22.0,5.0,2.0,15.0,16.0,7.0,13.0,3.0,2.0,,,,,,,90.0,37.0,6.6,7.0,0.0116812,1,,,,,5.0,3.0,,,,2.0,2.0,,2.0,1.0,1.0,,,1.0,0.0218,,2.0,,1.0,,,,,,,,,,
11408433,home,SC Farense,Mohamed Belloumi,mohamed-belloumi,M. Belloumi,F,10,174,4940,M,1125839,EUR,1022889600,M,62,62,False,7.0,2.0,,,,,2.0,9.0,,1.0,1.0,,,,,,67.0,17.0,6.5,12.0,0.00934217,0,,,,2.0,4.0,2.0,,2.0,,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,b.m.belooumi.10,,,,,,,
11408433,home,SC Farense,Fabrício Isidoro,fabricio-isidoro,F. Isidoro,M,14,172,31,M,915638,EUR,696556800,M,14,14,False,18.0,16.0,,,8.0,8.0,8.0,10.0,1.0,3.0,4.0,,,,,,78.0,39.0,7.5,7.0,0.00514688,1,,,,,4.0,6.0,1.0,,,2.0,1.0,,2.0,,,1.0,1.0,1.0,0.4477,0.6189,,,,,4.0,,True,1.0,,,,,
11408433,home,SC Farense,Mattheus,mattheus,Mattheus,M,,182,151,M,243575,EUR,773539200,M,27,27,False,49.0,37.0,3.0,2.0,22.0,25.0,15.0,25.0,,5.0,,,,,,,90.0,57.0,6.8,13.0,0.0111995,4,,,,1.0,6.0,6.0,,,,,2.0,,1.0,4.0,,2.0,,1.0,0.1729,0.5127,,,3.0,,2.0,,,,2.0,,,,
11408433,home,SC Farense,Marco Matias,marco-matias,M. Matias,F,77,177,35,M,77929,EUR,610761600,M,77,77,False,8.0,6.0,3.0,2.0,1.0,1.0,5.0,11.0,,4.0,1.0,,,,,,67.0,20.0,6.5,9.0,0.00841295,2,,,,4.0,8.0,1.0,2.0,,,1.0,4.0,,1.0,,1.0,1.0,,,0.0455,0.1352,1.0,,1.0,,,,,,,1.0,,,
