match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wasFouled,stat_aerialWon,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceCreated,captain,stat_hitWoodwork,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_ownGoals,stat_goalAssist
11370011,home,Club Brugge KV,Nordin Jackers,nordin-jackers,N. Jackers,G,29,185,424,M,361722,EUR,873417600,G,29,29,False,23.0,20.0,6.0,3.0,18.0,19.0,2.0,4.0,1.0,2.0,6.0,1.0,1.0,1.0,90.0,33.0,6.7,3.0,0.00077556,0,-0.7146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370011,home,Club Brugge KV,Denis Odoi,denis-odoi,D. Odoi,M,3,177,876,M,58994,EUR,580694400,D,6,6,False,23.0,19.0,3.0,1.0,6.0,6.0,13.0,19.0,1.0,3.0,2.0,,,,45.0,35.0,6.4,9.0,0.0104394,0,,Denis,Odoi,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370011,home,Club Brugge KV,Joel Ordóñez,joel-ordonez,J. Ordóñez,D,4,188,4924,M,1187275,EUR,1082505600,D,4,4,False,66.0,60.0,6.0,1.0,39.0,41.0,21.0,25.0,3.0,5.0,1.0,,,,90.0,76.0,6.9,7.0,0.0101142,0,,,,,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11370011,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,67.0,59.0,7.0,2.0,32.0,35.0,27.0,32.0,3.0,5.0,1.0,,,,90.0,82.0,6.8,9.0,0.0151513,2,,,,,4.0,,,1.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,0.8278,,,,,,,,,,,,,,,,
11370011,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,38.0,30.0,5.0,4.0,15.0,18.0,17.0,25.0,6.0,1.0,8.0,,,,90.0,72.0,8.6,18.0,0.11199,3,,Bjorn Meijer,,5.0,4.0,3.0,,,4.0,,2.0,1.0,,,,1.0,3.0,1.0,0.1869,2.0,2.0,1.0,1.0,3.0,0.871,2.0,,,,,,,,,
11370011,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,False,32.0,27.0,4.0,2.0,6.0,7.0,24.0,32.0,4.0,1.0,4.0,,,,90.0,50.0,7.2,10.0,0.0584561,1,,,,7.0,3.0,,,,,,4.0,1.0,,2.0,,,1.0,1.0,0.0118,3.0,1.0,,,1.0,0.0225,1.0,,,,,,,,,
11370011,home,Club Brugge KV,Hugo Vetlesen,hugo-vetlesen,H. Vetlesen,M,10,174,784,M,877236,EUR,951696000,M,10,10,False,53.0,46.0,8.0,5.0,17.0,20.0,29.0,33.0,5.0,2.0,3.0,,,,90.0,70.0,7.0,11.0,0.0399703,1,,,,,6.0,1.0,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,,,3.0,2.0,0.0557,,,,,,,,1.0,1.0,,,,,,,
11370011,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,42.0,33.0,4.0,1.0,5.0,9.0,32.0,46.0,5.0,1.0,7.0,,,,87.0,72.0,8.4,22.0,0.481493,4,,,,13.0,2.0,,3.0,1.0,2.0,,,,1.0,,,3.0,3.0,,0.229,4.0,,,2.0,,,6.0,2.0,1.0,2.0,,,,,,
11370011,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,66.0,60.0,5.0,3.0,24.0,25.0,36.0,41.0,4.0,,6.0,,,,90.0,79.0,7.6,9.0,0.113892,3,,,,,6.0,1.0,,1.0,2.0,,1.0,,1.0,,,,,4.0,0.144,,2.0,1.0,1.0,,0.4657,1.0,,1.0,,True,,,,,
11370011,home,Club Brugge KV,Philip Zinckernagel,philip-zinckernagel,P. Zinckernagel,F,11,175,1060,M,328247,EUR,787536000,M,77,77,False,20.0,15.0,1.0,,4.0,5.0,11.0,15.0,3.0,,,,,,59.0,31.0,7.0,8.0,0.0198204,4,,,,,4.0,3.0,,2.0,1.0,,,,,,,,,1.0,0.2312,,3.0,,,,0.6368,,,1.0,,,,,,,
