match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialWon,stat_totalOffside,stat_totalCross,stat_totalContest,stat_wonContest,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_accurateCross,stat_challengeLost,stat_wonTackle,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotValueNormalized,stat_dispossessed,stat_shotOffTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_errorLeadToAGoal
14598945,home,Burnley,Max Weiss,,,max-weiss,M. Weiss,G,13,190.0,244,M,1128801,EUR,1087257600,G,13,13,False,43.0,37.0,12.0,6.0,0.0,33.0,35.0,4.0,8.0,3.0,4.0,1.0,1.0,3.0,3.0,90.0,48.0,6.1,6.0,0.1492,0,0.03,-0.02,-0.19,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14598945,home,Burnley,Axel Tuanzebe,,,axel-tuanzebe,A. Tuanzebe,D,6,185.0,6325,M,817979,EUR,879465600,D,6,6,False,50.0,45.0,4.0,3.0,0.0,35.0,39.0,10.0,11.0,5.0,4.0,,,,,90.0,61.0,6.5,6.0,,0,0.16,0.02,-0.17,,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
14598945,home,Burnley,Joe Worrall,,,joe-worrall,J. Worrall,D,4,193.0,315,M,838399,EUR,852854400,D,4,4,False,53.0,50.0,1.0,,0.0,39.0,40.0,11.0,13.0,3.0,4.0,,,,,90.0,62.0,6.3,4.0,,0,0.28,0.17,-0.16,,3.0,4.0,2.0,1.0,,,1.0,1.0,True,2.0,1.0,,,,,,,,,,,,,,,,,,
14598945,home,Burnley,Bashir Humphreys,,,bashir-humphreys,B. Humphreys,D,12,186.0,1278,M,996910,EUR,1047686400,D,12,12,False,68.0,59.0,7.0,3.0,0.0,42.0,47.0,17.0,21.0,3.0,5.0,,,,,90.0,86.0,6.5,13.0,,0,-0.02,0.15,-0.34,,1.0,1.0,4.0,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14598945,home,Burnley,Oliver Sonne,,,oliver-sonne,O. Sonne,D,17,184.0,5401,M,1008456,EUR,973814400,M,22,22,False,45.0,33.0,3.0,1.0,0.0,18.0,21.0,15.0,24.0,2.0,5.0,,,,,90.0,67.0,6.6,14.0,,0,0.12,0.05,-0.13,,1.0,4.0,5.0,,1.0,2.0,1.0,2.0,,2.0,,1.0,,,1.0,1.0,oliiversonne,1.0,1.0,1.0,,,,,,,,,
14598945,home,Burnley,Lesley Ugochukwu,,,lesley-ugochukwu,L. Ugochukwu,M,8,188.0,5003,M,1048916,EUR,1080259200,M,8,8,False,22.0,21.0,,,0.0,11.0,12.0,10.0,10.0,,,,,,,68.0,33.0,6.7,3.0,,2,0.11,0.26,-0.1,,,1.0,4.0,,,1.0,1.0,,,,,,1.0,,3.0,1.0,l.ugochukwu8,,,,1.0,1.0,-0.3,,,,,,
14598945,home,Burnley,Hannibal Mejbri,,,hannibal-mejbri,H. Mejbri,M,28,182.0,23824,M,1009386,EUR,1043107200,M,28,28,False,59.0,50.0,8.0,5.0,0.0,21.0,22.0,29.0,37.0,,9.0,,,,,90.0,80.0,6.9,18.0,,1,0.48,0.32,-0.32,,,11.0,6.0,,,2.0,3.0,3.0,,,,1.0,3.0,,4.0,3.0,hannibal_mj,1.0,3.0,1.0,,,-0.09,2.0,1.0,,,,
14598945,home,Burnley,Lucas Pires,,,lucas-pires,L. Pires,D,23,182.0,554,M,1136896,EUR,985392000,M,23,23,False,31.0,28.0,1.0,1.0,0.0,17.0,19.0,11.0,12.0,3.0,3.0,,,,,90.0,57.0,6.6,10.0,,0,0.29,-0.21,-0.18,,,7.0,4.0,,2.0,3.0,1.0,,,,,2.0,2.0,1.0,,1.0,,,3.0,2.0,,,,3.0,,,,,
14598945,home,Burnley,Marcus Edwards,,,edwards-marcus,M. Edwards,M,10,167.0,2800,M,795066,EUR,912643200,F,10,10,False,21.0,14.0,2.0,1.0,1.0,7.0,10.0,7.0,11.0,1.0,7.0,,,,,78.0,47.0,6.9,19.0,,1,0.19,0.41,0.0,,1.0,9.0,5.0,,2.0,2.0,2.0,1.0,,1.0,,2.0,5.0,2.0,,2.0,,,,1.0,,,-0.36,4.0,1.0,1.0,,,
14598945,home,Burnley,Armando Broja,,,armando-broja,A. Broja,F,27,191.0,8695,M,996985,EUR,1000080000,F,27,27,False,12.0,10.0,,,0.0,4.0,5.0,6.0,7.0,,2.0,,,,,78.0,24.0,6.3,8.0,,4,0.0,0.24,-0.06,,2.0,6.0,3.0,,,1.0,4.0,1.0,,2.0,1.0,,1.0,,,1.0,armando.broja,,1.0,,3.0,1.0,-0.38,1.0,,,1.0,,
